ticker,PFG UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-12-19,0.3541
2017-12-20,0.5504
2017-12-21,-0.014
2017-12-22,0.0281
2017-12-26,0.0982
2017-12-27,-0.3645
2017-12-28,0.4503
2017-12-29,-1.1626
2018-01-02,-0.2551
2018-01-03,0.2131
2018-01-04,1.3044
2018-01-05,0.7698
2018-01-08,0.2917
2018-01-09,1.0525
2018-01-10,0.5619
2018-01-11,0.6814
2018-01-12,0.4467
2018-01-16,-1.7652999999999999
2018-01-17,0.7545
2018-01-18,0.0408
2018-01-19,0.7757
2018-01-22,-0.108
2018-01-23,-0.5543
2018-01-24,0.5982
2018-01-25,0.3514
2018-01-26,1.0504
2018-01-29,-0.7196
2018-01-30,-8.0537
2018-01-31,-1.3139
2018-02-01,1.2722
2018-02-02,-3.0821
2018-02-05,-4.22
2018-02-06,1.5577999999999999
2018-02-07,-0.9606
2018-02-08,-5.5382
2018-02-09,1.6726999999999999
2018-02-12,0.733
2018-02-13,-0.194
2018-02-14,2.5113
2018-02-15,-0.6322
2018-02-16,0.2863
2018-02-20,-0.5551
2018-02-21,0.9569
2018-02-22,-1.4692
2018-02-23,1.2506
2018-02-26,1.3143
2018-02-27,-0.6408
2018-02-28,-1.9506000000000001
2018-03-01,-1.829
2018-03-02,0.67
2018-03-05,0.4583
2018-03-06,0.3585
2018-03-07,-0.0162
2018-03-08,-0.341
2018-03-09,2.7375
2018-03-12,0.0
2018-03-13,-0.5868
2018-03-14,-1.0051
2018-03-15,-0.1289
2018-03-16,0.2259
2018-03-19,-0.7889
2018-03-20,0.1947
2018-03-21,0.7451
2018-03-22,-3.6494999999999997
2018-03-23,-3.6209
2018-03-26,2.545
2018-03-27,-0.7429
2018-03-28,1.0376
2018-03-29,2.5421
2018-04-02,-2.4462
2018-04-03,1.2959
2018-04-04,1.4122
2018-04-05,0.4423
2018-04-06,-2.7728
2018-04-09,0.0336
2018-04-10,2.4149
2018-04-11,-1.4573
2018-04-12,1.4457
2018-04-13,-0.6552
2018-04-16,0.676
2018-04-17,-1.3266
2018-04-18,1.0622
2018-04-19,0.1807
2018-04-20,-0.1803
2018-04-23,0.9361
2018-04-24,-0.6671
2018-04-25,0.0491
2018-04-26,0.3111
2018-04-27,-1.322
2018-04-30,-2.0509
2018-05-01,-1.5535
2018-05-02,-2.5728999999999997
2018-05-03,-1.6901000000000002
2018-05-04,2.346
2018-05-07,0.0175
2018-05-08,0.4724
2018-05-09,0.505
2018-05-10,1.7845
