ticker,FSLR UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-20,1.0509
2006-11-21,-1.6
2006-11-22,9.2683
2006-11-24,3.2366
2006-11-27,2.1261
2006-11-28,-0.5999
2006-11-29,0.355
2006-11-30,0.1061
2006-12-01,-1.4487999999999999
2006-12-04,-0.0359
2006-12-05,-2.8693999999999997
2006-12-06,0.4431
2006-12-07,0.5515
2006-12-08,0.6581
2006-12-11,1.5255999999999998
2006-12-12,-2.6834
2006-12-13,1.6176
2006-12-14,1.0492
2006-12-15,4.01
2006-12-18,-1.5835
2006-12-19,-2.7982
2006-12-20,-0.036
2006-12-21,-3.9237
2006-12-22,3.1471999999999998
2006-12-26,-1.5619
2006-12-27,6.31
2006-12-28,3.6446
2006-12-29,-0.2009
2007-01-03,-4.3624
2007-01-04,0.7018
2007-01-05,-1.9163999999999999
2007-01-08,2.6643
2007-01-09,1.2803
2007-01-10,-0.3758
2007-01-11,0.6173
2007-01-12,0.6476
2007-01-16,-0.8805
2007-01-17,-0.8541
2007-01-18,-2.4121
2007-01-19,-2.1186
2007-01-22,0.5772
2007-01-23,3.4792
2007-01-24,1.0399
2007-01-25,0.9605
2007-01-26,-0.9854
2007-01-29,6.8634
2007-01-30,5.0739
2007-01-31,-1.0697
2007-02-01,0.8959
2007-02-02,-4.4703
2007-02-05,5.0641
2007-02-06,0.0915
2007-02-07,1.9201000000000001
2007-02-08,1.0467
2007-02-09,-2.7523
2007-02-12,0.7304
2007-02-13,3.565
2007-02-14,27.5963
2007-02-15,3.2236
2007-02-16,0.2436
2007-02-20,8.7274
2007-02-21,4.0236
2007-02-22,-3.8875
2007-02-23,0.4675
2007-02-26,4.9767
2007-02-27,-5.5502
2007-02-28,-2.5709
2007-03-01,0.2723
2007-03-02,-3.3626
2007-03-05,-4.625
2007-03-06,4.9173
2007-03-07,2.851
2007-03-08,8.9248
2007-03-09,0.3663
2007-03-12,11.237
2007-03-13,-7.2354
2007-03-14,1.3775
2007-03-15,-3.2500999999999998
2007-03-16,-2.2205
2007-03-19,1.9022000000000001
2007-03-20,-0.381
2007-03-21,4.2065
2007-03-22,6.6789
2007-03-23,0.1892
2007-03-26,-2.1288
2007-03-27,-2.6837
2007-03-28,-1.7664
2007-03-29,-2.3853
2007-03-30,-2.2368
2007-04-02,7.4601
2007-04-03,-0.2505
2007-04-04,2.7622999999999998
2007-04-05,-1.4487999999999999
2007-04-09,1.8597000000000001
2007-04-10,4.5905000000000005
2007-04-11,3.458
