ticker,KG UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-05-24,-1.9417
2000-05-25,0.1238
2000-05-26,-0.7417
2000-05-30,3.6115
2000-05-31,2.8846
2000-06-01,2.6869
2000-06-02,3.7542999999999997
2000-06-05,-0.8772
2000-06-06,1.2168
2000-06-07,1.5301
2000-06-08,-0.5382
2000-06-09,3.4632
2000-06-12,-0.6276
2000-06-13,-1.4737
2000-06-14,0.8547
2000-06-15,1.6949
2000-06-16,0.2083
2000-06-19,-2.079
2000-06-20,7.0064
2000-06-21,2.7778
2000-06-22,-4.0058
2000-06-23,4.0724
2000-06-26,0.2899
2000-06-27,-2.1676
2000-06-28,3.3973
2000-06-29,-0.5714
2000-06-30,0.8621
2000-07-03,-2.5641
2000-07-05,-1.7544
2000-07-06,3.7202
2000-07-07,-0.1435
2000-07-10,2.1552
2000-07-11,2.8129
2000-07-12,-0.5472
2000-07-13,-19.6699
2000-07-14,-10.7877
2000-07-17,-2.8791
2000-07-18,-2.7668
2000-07-19,-2.2358000000000002
2000-07-20,13.7214
2000-07-21,-2.925
2000-07-24,0.7533
2000-07-25,0.0
2000-07-26,-2.9907
2000-07-27,-6.3584
2000-07-28,1.6461000000000001
2000-07-31,-2.4291
2000-08-01,7.6763
2000-08-02,14.2582
2000-08-03,2.0236
2000-08-04,-4.6281
2000-08-07,2.0797
2000-08-08,-5.4329
2000-08-09,2.693
2000-08-10,-1.2238
2000-08-11,0.177
2000-08-14,3.1802
2000-08-15,0.1712
2000-08-16,-1.0256
2000-08-17,2.0725
2000-08-18,-2.8765
2000-08-21,0.1742
2000-08-22,1.0435
2000-08-23,-3.4423
2000-08-24,1.7825
2000-08-25,-2.1016
2000-08-28,-5.5456
2000-08-29,4.9242
2000-08-30,4.3321
2000-08-31,-11.0727
2000-09-01,16.3424
2000-09-05,-6.0201
2000-09-06,-4.6263
2000-09-07,-7.4627
2000-09-08,3.629
2000-09-11,0.7782
2000-09-12,-3.668
2000-09-13,2.004
2000-09-14,-0.1965
2000-09-15,-3.1496
2000-09-18,-4.065
2000-09-19,4.2373
2000-09-20,3.252
2000-09-21,4.7244
2000-09-22,-3.1955
2000-09-25,-0.7767
2000-09-26,-5.0881
2000-09-27,-3.5052
2000-09-28,6.4103
2000-09-29,7.4297
2000-10-02,8.2243
2000-10-03,-3.2815
2000-10-04,1.25
2000-10-05,3.5273
2000-10-06,2.5554
2000-10-09,3.8205999999999998
2000-10-10,9.92
2000-10-11,-3.3479
2000-10-12,-3.9157
