ticker,KMI UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-02-14,-1.1272
2011-02-15,0.7818
2011-02-16,-0.7111
2011-02-17,-0.5534
2011-02-18,2.6841
2011-02-22,-2.072
2011-02-23,-0.9766
2011-02-24,0.1315
2011-02-25,0.1313
2011-02-28,0.0
2011-03-01,-0.1639
2011-03-02,0.3941
2011-03-03,0.6542
2011-03-04,0.26
2011-03-07,0.1621
2011-03-08,0.2265
2011-03-09,-0.7104
2011-03-10,-2.1138
2011-03-11,0.0
2011-03-14,-0.3654
2011-03-15,-0.3668
2011-03-16,0.5689
2011-03-17,0.3328
2011-03-18,1.1609
2011-03-21,1.0492
2011-03-22,-0.3894
2011-03-23,-2.215
2011-03-24,0.0999
2011-03-25,-1.7637
2011-03-28,0.3388
2011-03-29,0.5739
2011-03-30,-0.3357
2011-03-31,-0.1684
2011-04-01,-0.4723
2011-04-04,-0.2034
2011-04-05,0.0
2011-04-06,0.0679
2011-04-07,-0.8147
2011-04-08,0.3765
2011-04-11,-0.2728
2011-04-12,-1.7778
2011-04-13,0.3481
2011-04-14,1.0059
2011-04-15,-0.8242
2011-04-18,-1.2465
2011-04-19,0.9116
2011-04-20,2.328
2011-04-21,0.6112
2011-04-25,-0.9112
2011-04-26,-0.8174
2011-04-27,-0.8929
2011-04-28,0.3812
2011-04-29,-0.8672
2011-05-02,0.8397
2011-05-03,-2.186
2011-05-04,-0.8159
2011-05-05,0.0715
2011-05-06,0.0715
2011-05-09,1.0357
2011-05-10,0.813
2011-05-11,-0.7363
2011-05-12,0.4945
2011-05-13,-1.8277999999999999
2011-05-16,-1.3963
2011-05-17,-0.1452
2011-05-18,0.2182
2011-05-19,2.6488
2011-05-20,0.7423
2011-05-23,-0.5965
2011-05-24,2.5768
2011-05-25,-0.1376
2011-05-26,-1.1371
2011-05-27,1.7079
2011-05-31,0.377
2011-06-01,-0.9901
2011-06-02,1.3103
2011-06-03,1.2594
2011-06-06,-0.7731
2011-06-07,0.9146
2011-06-08,-0.2014
2011-06-09,-0.1345
2011-06-10,-0.5389
2011-06-13,-0.2709
2011-06-14,0.1698
2011-06-15,-0.4746
2011-06-16,-0.5109
2011-06-17,1.6775
2011-06-20,-0.303
2011-06-21,0.0338
2011-06-22,0.0
2011-06-23,-1.7556
2011-06-24,-1.7182
2011-06-27,-1.1888
2011-06-28,0.1415
2011-06-29,0.3534
2011-06-30,1.162
2011-07-01,1.8796
2011-07-05,-0.0342
2011-07-06,-0.5126
