ticker,BGEN UQ Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,4.142
2000-01-04,-16.9744
2000-01-05,1.1121
2000-01-06,1.4382
2000-01-07,1.9183
2000-01-10,5.7283
2000-01-11,-7.1981
2000-01-12,-1.3344
2000-01-13,4.5647
2000-01-14,1.7785
2000-01-18,4.7657
2000-01-19,6.8234
2000-01-20,5.11
2000-01-21,-0.6077
2000-01-24,-7.4049
2000-01-25,12.5459
2000-01-26,1.1734
2000-01-27,2.7706
2000-01-28,-7.4608
2000-01-31,-6.5041
2000-02-01,9.4203
2000-02-02,-0.3974
2000-02-03,9.242
2000-02-04,-3.4693
2000-02-07,-0.8827
2000-02-08,1.2723
2000-02-09,-3.0779
2000-02-10,3.6941
2000-02-11,-3.125
2000-02-14,4.5161
2000-02-15,-0.9877
2000-02-16,7.2943
2000-02-17,7.7280999999999995
2000-02-18,-5.6634
2000-02-22,-2.6872
2000-02-23,12.3384
2000-02-24,-4.4979
2000-02-25,-6.0241
2000-02-28,-2.2145
2000-02-29,2.9201
2000-03-01,1.9687000000000001
2000-03-02,-0.4543
2000-03-03,7.587
2000-03-06,-2.1209
2000-03-07,-8.8299
2000-03-08,-5.1099
2000-03-09,-9.8309
2000-03-10,-6.5972
2000-03-13,-4.684
2000-03-14,-3.9782
2000-03-15,1.6247
2000-03-16,11.0312
2000-03-17,-2.2318
2000-03-20,-6.6274
2000-03-21,-1.4196
2000-03-22,4.32
2000-03-23,-6.5951
2000-03-24,1.8883
2000-03-27,2.7397
2000-03-28,-0.6275
2000-03-29,-6.5509
2000-03-30,-4.6453
2000-03-31,-0.9743
2000-04-03,-7.8712
2000-04-04,-2.3301
2000-04-05,9.841
2000-04-06,-6.1538
2000-04-07,3.4716
2000-04-10,-3.0755
2000-04-11,-18.4615
2000-04-12,4.0094
2000-04-13,1.5873
2000-04-14,-9.4866
2000-04-17,2.836
2000-04-18,7.7938
2000-04-19,-2.5584
2000-04-20,-2.7397
2000-04-24,-3.169
2000-04-25,7.3939
2000-04-26,-0.9029
2000-04-27,-0.5695
2000-04-28,7.7892
2000-05-01,-1.0627
2000-05-02,1.2889
2000-05-03,-5.4083
2000-05-04,-2.13
2000-05-05,7.9038
2000-05-08,-1.0616
2000-05-09,-4.8283000000000005
2000-05-10,-7.6663
2000-05-11,1.7094
2000-05-12,3.7215
2000-05-15,0.8102
2000-05-16,7.0034
2000-05-17,-4.5064
2000-05-18,-4.4944
2000-05-19,-0.7059
2000-05-22,-1.6588
