ticker,ZTS-W UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-20,0.1334
2013-06-21,2.565
2013-06-24,-0.9419
2013-06-25,3.2131
2013-06-26,-1.4929999999999999
2013-06-27,-0.0322
