ticker,LEHMQ UP Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.213
2000-01-04,-6.6246
2000-01-05,-4.3919
2000-01-06,4.8587
2000-01-07,-4.3808
2000-01-10,4.5815
2000-01-11,-1.2637
2000-01-12,-0.3413
2000-01-13,-1.7123
2000-01-14,5.7491
2000-01-18,1.4827
2000-01-19,-0.6494
2000-01-20,0.1634
2000-01-21,-7.8303
2000-01-24,-1.7699
2000-01-25,1.5314999999999999
2000-01-26,2.307
2000-01-27,1.6479
2000-01-28,-4.6928
2000-01-31,1.6115
2000-02-01,-0.8811
2000-02-02,2.5778
2000-02-03,-2.5997
2000-02-04,-0.7117
2000-02-07,3.2258
2000-02-08,1.3021
2000-02-09,-2.3136
2000-02-10,-3.6842
2000-02-11,-1.7523
2000-02-14,-1.1142
2000-02-15,-0.8451
2000-02-16,-1.1364
2000-02-17,0.4789
2000-02-18,-3.9085
2000-02-22,-1.6865
2000-02-23,3.1282
2000-02-24,4.6967
2000-02-25,3.271
2000-02-28,-1.7195
2000-02-29,7.5506
2000-03-01,10.0171
2000-03-02,-2.3346
2000-03-03,3.6653000000000002
2000-03-06,2.6902
2000-03-07,-4.1916
2000-03-08,-2.0313
2000-03-09,-0.7177
2000-03-10,8.9157
2000-03-13,-4.7198
2000-03-14,0.3096
2000-03-15,-0.1543
2000-03-16,9.0417
2000-03-17,3.8270999999999997
2000-03-20,-4.3003
2000-03-21,2.2111
2000-03-22,4.1172
2000-03-23,8.5791
2000-03-24,3.642
2000-03-27,-4.7052
2000-03-28,2.0625
2000-03-29,-0.8573
2000-03-30,-0.0618
2000-03-31,-4.8208
2000-04-03,3.2468
2000-04-04,-9.1824
2000-04-05,-2.4931
2000-04-06,10.4403
2000-04-07,-4.3087
2000-04-10,5.914
2000-04-11,-3.1726
2000-04-12,-0.7208
2000-04-13,-0.7921
2000-04-14,-19.6274
2000-04-17,-0.4967
2000-04-18,10.8985
2000-04-19,0.15
2000-04-20,-0.4494
2000-04-24,2.9345
2000-04-25,2.8509
2000-04-26,-2.5586
2000-04-27,-2.2611
2000-04-28,-1.2687
2000-05-01,5.291
2000-05-02,-0.9332
2000-05-03,-6.1594
2000-05-04,0.3861
2000-05-05,0.1538
2000-05-08,4.8387
2000-05-09,-3.1502
2000-05-10,-5.3707
2000-05-11,2.1391
2000-05-12,4.232
2000-05-15,7.218
2000-05-16,-4.3478
2000-05-17,1.7595
2000-05-18,1.4409
2000-05-22,-10.5114
2000-05-23,3.6508000000000003
