ticker,UAL UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-10-04,-2.4291
2010-10-05,1.5352999999999999
2010-10-06,2.0433
2010-10-07,3.0036
2010-10-08,2.7994
2010-10-11,-1.5129000000000001
2010-10-12,3.6098
2010-10-13,-1.0749
2010-10-14,-3.2222
2010-10-15,1.2389000000000001
2010-10-18,0.6501
2010-10-19,-2.3936
2010-10-20,7.5516
2010-10-21,0.6153
2010-10-22,-0.3237
2010-10-25,0.0
2010-10-26,2.6344
2010-10-27,3.8326000000000002
2010-10-28,-2.0657
2010-10-29,0.4149
2010-11-01,-2.2039
2010-11-02,0.7394
2010-11-03,1.1185
2010-11-04,-3.6986
2010-11-05,0.0
2010-11-08,2.6202
2010-11-09,-1.8888
2010-11-10,-0.0357
2010-11-11,1.2839
2010-11-12,-1.8662
2010-11-15,-1.4352
2010-11-16,-1.0557
2010-11-17,0.5887
2010-11-18,2.3409
2010-11-19,2.2873
2010-11-22,0.2096
2010-11-23,-2.6499
2010-11-24,4.6203
2010-11-26,-1.1982
2010-11-29,-2.2869
2010-11-30,-1.8439999999999999
2010-12-01,2.4928
2010-12-02,-0.564
2010-12-03,-1.7015
2010-12-06,-2.4883
2010-12-07,-4.6598
2010-12-08,-1.3963999999999999
2010-12-09,2.8718
2010-12-10,-0.1912
2010-12-13,-3.4866
2010-12-14,-3.0965
2010-12-15,-2.2532
2010-12-16,2.1375
2010-12-17,-0.9438
2010-12-20,0.2486
2010-12-21,0.4545
2010-12-22,0.4114
2010-12-23,-4.0967
2010-12-27,0.0
2010-12-28,-0.598
2010-12-29,0.8165
2010-12-30,2.3444
2010-12-31,-0.7913
2011-01-03,5.4996
2011-01-04,1.5917
2011-01-05,-0.7051
2011-01-06,1.5779
2011-01-07,0.7767
2011-01-10,0.9634
2011-01-11,-1.9466
2011-01-12,0.8174
2011-01-13,0.2317
2011-01-14,-0.3082
2011-01-18,-3.323
2011-01-19,-2.558
2011-01-20,-0.8203
2011-01-21,-1.7783
2011-01-24,1.5579
2011-01-25,-0.1244
2011-01-26,7.0569
2011-01-27,4.5366
2011-01-28,-4.1172
2011-01-31,-1.7408000000000001
2011-02-01,-0.5512
2011-02-02,-1.9794
2011-02-03,3.5137
2011-02-04,0.078
2011-02-07,3.0019
2011-02-08,1.2490999999999999
2011-02-09,-0.486
2011-02-10,-0.2254
2011-02-11,2.7485
2011-02-14,-1.2825
2011-02-15,0.928
2011-02-16,1.0666
2011-02-17,-0.1092
2011-02-18,-1.9308
