ticker,MMC UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.1757
2000-01-04,-4.4944
2000-01-05,-3.5986000000000002
2000-01-06,6.6188
2000-01-07,3.6536
2000-01-10,0.0
2000-01-11,0.9138
2000-01-12,-0.8409
2000-01-13,1.7612999999999999
2000-01-14,6.5385
2000-01-18,-1.7449
2000-01-19,0.9798
2000-01-20,-1.7586
2000-01-21,0.2469
2000-01-24,0.8005
2000-01-25,-1.3439
2000-01-26,-0.1858
2000-01-27,0.0
2000-01-28,-4.7146
2000-01-31,-2.0833
2000-02-01,3.7899000000000003
2000-02-02,-2.9468
2000-02-03,1.8481999999999998
2000-02-04,0.2592
2000-02-07,-1.5514000000000001
2000-02-08,-0.3283
2000-02-09,-3.0962
2000-02-10,-5.0306
2000-02-11,-3.2928
2000-02-14,-1.2583
2000-02-15,1.3493
2000-02-16,-2.071
2000-02-17,4.0785
2000-02-18,-3.7736
2000-02-22,-1.7345000000000002
2000-02-23,-0.5372
2000-02-24,-1.466
2000-02-25,-2.7408
2000-02-28,-0.6441
2000-02-29,0.3241
2000-03-01,0.8885
2000-03-02,2.2418
2000-03-03,-0.2349
2000-03-06,-2.0408
2000-03-07,-5.6891
2000-03-08,-0.4248
2000-03-09,-0.3413
2000-03-10,2.1404
2000-03-13,1.5088
2000-03-14,5.2023
2000-03-15,13.7363
2000-03-16,9.937899999999999
2000-03-17,-5.2103
2000-03-20,-2.4503
2000-03-21,1.6972
2000-03-22,1.3351
2000-03-23,2.1739
2000-03-24,-0.9671
2000-03-27,-3.6458
2000-03-28,2.2973
2000-03-29,-0.7926
2000-03-30,10.6525
2000-03-31,6.1974
2000-04-03,-3.7394
2000-04-04,-1.1183
2000-04-05,-3.4524
2000-04-06,3.8964
2000-04-07,-4.2908
2000-04-10,0.9963
2000-04-11,0.2466
2000-04-12,1.2915
2000-04-13,-0.6072
2000-04-14,-6.5363
2000-04-17,-3.9869
2000-04-18,3.4037
2000-04-19,-0.7242
2000-04-20,2.5862
2000-04-24,-0.2586
2000-04-25,5.768
2000-04-26,-1.9607999999999999
2000-04-27,0.4375
2000-04-28,-1.8668
2000-05-01,4.5656
2000-05-02,-0.9096
2000-05-03,-4.4064
2000-05-04,1.6644999999999999
2000-05-05,-0.9446
2000-05-08,1.7165
2000-05-09,-2.0625
2000-05-10,-2.9994
2000-05-11,2.3026
2000-05-12,-1.1576
2000-05-15,10.3448
2000-05-16,1.592
2000-05-17,-0.5223
2000-05-18,0.2334
