ticker,BRK B UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
1/3/2000,-3.5519
1/4/2000,-3.4561
1/5/2000,1.6432
1/6/2000,4.157
1/7/2000,0.8869
1/10/2000,-0.3846
1/11/2000,-1.8753
1/12/2000,-1.9112
1/13/2000,0.8596
1/14/2000,-3.3523
1/18/2000,-0.0588
1/19/2000,0.5294
1/20/2000,-0.5266
1/21/2000,0.6471
1/24/2000,-0.6429
1/25/2000,0.1765
1/26/2000,0.2349
1/27/2000,-0.6444
1/28/2000,-2.1226
1/31/2000,-0.8434
2/1/2000,1.7618
2/2/2000,-2.0896
2/3/2000,1.8293
2/4/2000,-0.8982
2/7/2000,0.5438
2/8/2000,-1.7428
2/9/2000,-2.8746
2/10/2000,-2.5189
2/11/2000,-2.6486
2/14/2000,-5.5076
2/15/2000,7.5843
2/16/2000,8.6162
2/17/2000,-0.0601
2/18/2000,1.383
2/22/2000,-3.9146
2/23/2000,-0.2469
2/24/2000,-4.7649
2/25/2000,-3.1839
2/28/2000,-2.0134
2/29/2000,-1.3699
3/1/2000,1.875
3/2/2000,0.0682
3/3/2000,0.0681
3/6/2000,-1.6338
3/7/2000,0.346
3/8/2000,-0.7586
3/9/2000,-2.7102
3/10/2000,-2.1429
3/13/2000,8.6131
3/14/2000,-2.2177
3/15/2000,11.7526
3/16/2000,4.674
3/17/2000,0.0588
3/20/2000,-1.468
3/21/2000,6.8534
3/22/2000,0.5577
3/23/2000,-1.6084
3/24/2000,1.4092
3/27/2000,-4.9472
3/28/2000,-2.5146
3/29/2000,0
3/30/2000,4.3191
3/31/2000,4.6578
4/3/2000,-3.5714
4/4/2000,3.0769
4/5/2000,1.6031
4/6/2000,1.3602
4/7/2000,-1.1809
4/10/2000,-1.0864
4/11/2000,-0.9336
4/12/2000,3.714
4/13/2000,1.1758
4/14/2000,-2.4828
4/17/2000,0.7042
4/18/2000,1.3986
4/19/2000,-0.2653
4/20/2000,1.8085
4/24/2000,1.3584
4/25/2000,0.6186
4/26/2000,-1.3832
4/27/2000,-0.2597
4/28/2000,-0.2018
5/1/2000,-3.0857
5/2/2000,-5.8158
5/3/2000,-0.2287
5/4/2000,1.7765
5/5/2000,1.0135
5/8/2000,0.5017
5/9/2000,-1.8303
5/10/2000,-1.0169
5/11/2000,1.1416
5/12/2000,0.0564
5/15/2000,6.599
5/16/2000,1.8519
5/17/2000,-1.2468
5/18/2000,-0.1578
5/19/2000,-1.5806
5/22/2000,-2.3019
5/23/2000,-1.6438
