ticker,MAT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.4762
2000-01-04,0.9569
2000-01-05,-3.3175
2000-01-06,2.451
2000-01-07,-2.8708
2000-01-10,2.4631
2000-01-11,2.8846
2000-01-12,-1.4019
2000-01-13,4.2654
2000-01-14,-5.9091000000000005
2000-01-18,-1.9324
2000-01-19,-1.4778
2000-01-20,-2.0
2000-01-21,-3.0612
2000-01-24,-7.3684
2000-01-25,-6.25
2000-01-26,7.2727
2000-01-27,-0.565
2000-01-28,-1.1364
2000-01-31,-4.023
2000-02-01,-0.5988
2000-02-02,13.8554
2000-02-03,-7.9365
2000-02-04,-1.1494
2000-02-07,-1.1628
2000-02-08,-1.7647
2000-02-09,2.9939999999999998
2000-02-10,-4.6512
2000-02-11,4.2683
2000-02-14,6.4327
2000-02-15,-3.8462
2000-02-16,1.1429
2000-02-17,-2.8249
2000-02-18,-2.907
2000-02-22,0.0
2000-02-23,-1.1976
2000-02-24,-3.0303
2000-02-25,-3.125
2000-02-28,0.6452
2000-02-29,-1.2821
2000-03-01,-0.6494
2000-03-02,-0.6536
2000-03-03,7.8947
2000-03-06,-3.0488
2000-03-07,-4.4025
2000-03-08,-3.0
2000-03-09,0.0
2000-03-10,-0.6849
2000-03-13,13.1034
2000-03-14,-3.6585
2000-03-15,3.7975
2000-03-16,1.8293
2000-03-17,4.7904
2000-03-20,-0.5714
2000-03-21,-2.2989
2000-03-22,-2.9412000000000003
2000-03-23,1.8182
2000-03-24,0.0
2000-03-27,0.5952
2000-03-28,1.7751000000000001
2000-03-29,-3.4884
2000-03-30,-0.6024
2000-03-31,1.8182
2000-04-03,4.1667
2000-04-04,-4.0
2000-04-05,13.0952
2000-04-06,4.2105
2000-04-07,0.0
2000-04-10,-3.0303
2000-04-11,0.0
2000-04-12,0.5208
2000-04-13,-2.5907
2000-04-14,-5.3191
2000-04-17,1.1236
2000-04-18,4.4444
2000-04-19,-0.5319
2000-04-20,-2.6738
2000-04-24,-0.5495
2000-04-25,8.2873
2000-04-26,-0.5102
2000-04-27,1.0256
2000-04-28,0.0
2000-05-01,-1.5228000000000002
2000-05-02,-1.5464
2000-05-03,-1.5707
2000-05-04,-1.5957
2000-05-05,1.0811
2000-05-08,1.6042999999999998
2000-05-09,-2.1053
2000-05-10,-2.6882
2000-05-11,-1.105
2000-05-12,-3.9106
2000-05-15,1.7442
2000-05-16,2.8571
2000-05-17,13.3333
2000-05-18,2.451
2000-05-19,-3.8278
2000-05-22,-1.4925
