ticker,TWC UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-03-02,-3.4164
2007-03-05,-4.2553
2007-03-06,1.0833
2007-03-07,1.4015
2007-03-08,-0.4336
2007-03-09,0.1633
2007-03-12,-0.8696
2007-03-13,-0.0548
2007-03-14,0.1097
2007-03-15,0.7671
2007-03-16,2.3654
2007-03-19,0.9296
2007-03-20,0.7895
2007-03-21,-0.1044
2007-03-22,-0.2875
2007-03-23,0.1311
2007-03-26,-1.0471
2007-03-27,-0.9524
2007-03-28,-0.2404
2007-03-29,-0.8032
2007-03-30,1.1336
2007-04-02,-1.1209
2007-04-03,0.4588
2007-04-04,-0.3224
2007-04-05,-0.2695
2007-04-09,-0.1351
2007-04-10,1.0825
2007-04-11,1.8474
2007-04-12,1.6036000000000001
2007-04-13,1.7335
2007-04-16,0.3306
2007-04-17,-1.9264999999999999
2007-04-18,0.1809
2007-04-19,-0.5934
2007-04-20,0.0519
2007-04-23,-1.7639
2007-04-24,-1.5051
2007-04-25,-0.2949
2007-04-26,-1.1293
2007-04-27,-0.6799
2007-04-30,0.8215
2007-05-01,-1.6295
2007-05-02,2.0155
2007-05-03,2.4628
2007-05-04,-0.2113
2007-05-07,0.5823
2007-05-08,-1.7105000000000001
2007-05-09,-0.9906
2007-05-10,-0.3515
2007-05-11,0.597
2007-05-14,-1.0521
2007-05-15,0.6543
2007-05-16,1.8147
2007-05-17,0.1862
2007-05-18,0.6373
2007-05-21,1.0818
2007-05-22,0.5482
2007-05-23,-0.2856
2007-05-24,-0.4426
2007-05-25,0.8107
2007-05-29,0.5966
2007-05-30,0.1805
2007-05-31,-1.1326
2007-06-01,0.7029
2007-06-04,-0.5946
2007-06-05,-0.5202
2007-06-06,-0.2876
2007-06-07,-1.2061
2007-06-08,1.1943
2007-06-11,0.3147
2007-06-12,-1.6471
2007-06-13,1.1962
2007-06-14,0.3152
2007-06-15,1.0998
2007-06-18,1.2691
2007-06-19,0.0512
2007-06-20,0.4601
2007-06-21,0.8142
2007-06-22,-0.3029
2007-06-25,-0.2532
2007-06-26,0.0761
2007-06-27,0.6848
2007-06-28,-0.3275
2007-06-29,-1.0109
2007-07-02,1.4807000000000001
2007-07-03,0.805
2007-07-05,0.0998
2007-07-06,0.3989
2007-07-09,-0.6705
2007-07-10,-0.275
2007-07-11,-0.2256
2007-07-12,0.3518
2007-07-13,0.4757
2007-07-16,-0.2741
2007-07-17,1.0745
2007-07-18,1.5328
2007-07-19,1.4122
2007-07-20,-0.2401
