ticker,RIG UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.4119
2000-01-04,-5.8934999999999995
2000-01-05,-3.4343
2000-01-06,7.5314
2000-01-07,6.4202
2000-01-10,-0.3656
2000-01-11,0.9174
2000-01-12,-2.5455
2000-01-13,4.4776
2000-01-14,0.8929
2000-01-18,9.0265
2000-01-19,-4.2208
2000-01-20,-1.3559
2000-01-21,4.4674
2000-01-24,-5.4276
2000-01-25,1.3913
2000-01-26,-4.2882
2000-01-27,-6.0932
2000-01-28,-3.0534
2000-01-31,0.1969
2000-02-01,5.8939
2000-02-02,2.9685
2000-02-03,0.0
2000-02-04,0.3604
2000-02-07,0.3591
2000-02-08,-2.5045
2000-02-09,-7.5229
2000-02-10,7.1429
2000-02-11,1.4815
2000-02-14,1.6423
2000-02-15,6.2837
2000-02-16,0.6757
2000-02-17,-2.0134
2000-02-18,-4.1096
2000-02-22,-1.7856999999999998
2000-02-23,-1.8182
2000-02-24,-0.9259
2000-02-25,3.3645
2000-02-28,3.9783
2000-02-29,9.7391
2000-03-01,6.4152000000000005
2000-03-02,7.1535
2000-03-03,-0.9736
2000-03-06,3.0899
2000-03-07,8.1744
2000-03-08,-11.335
2000-03-09,-0.9943
2000-03-10,1.5782
2000-03-13,-1.1299
2000-03-14,-2.7143
2000-03-15,-3.0837
2000-03-16,6.5152
2000-03-17,-2.1337
2000-03-20,-6.686
2000-03-21,4.0498
2000-03-22,8.6826
2000-03-23,-0.2755
2000-03-24,2.0718
2000-03-27,1.0825
2000-03-28,-3.6145
2000-03-29,11.1111
2000-03-30,-2.0
2000-03-31,4.7194
2000-04-03,2.8015
2000-04-04,-7.2275
2000-04-05,-6.1303
2000-04-06,1.6327
2000-04-07,-1.6064
2000-04-10,-5.7143
2000-04-11,5.6277
2000-04-12,5.1913
2000-04-13,-5.7143
2000-04-14,-2.2039
2000-04-17,-2.1127
2000-04-18,8.2014
2000-04-19,-0.5319
2000-04-20,-0.2674
2000-04-24,-2.4129
2000-04-25,-2.0604
2000-04-26,3.3661
2000-04-27,3.1208
2000-04-28,-1.0526
2000-05-01,0.6649
2000-05-02,4.2272
2000-05-03,-3.0418
2000-05-04,3.6601
2000-05-05,0.6305
2000-05-08,0.0
2000-05-09,1.0025
2000-05-10,-1.6129
2000-05-11,0.5044
2000-05-12,3.6386
2000-05-15,5.3269
2000-05-16,-4.4828
2000-05-17,2.1661
2000-05-18,-6.4782
2000-05-19,0.5038
2000-05-22,-5.8897
