ticker,ILMN UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-07-31,-10.6502
2000-08-01,1.4285999999999999
2000-08-02,7.3944
2000-08-03,16.0656
2000-08-04,-7.4859
2000-08-07,3.2061
2000-08-08,-2.9956
2000-08-09,4.4605
2000-08-10,5.1095
2000-08-11,-6.9444
2000-08-14,-4.4776
2000-08-15,0.0
2000-08-16,6.5625
2000-08-17,-1.7595
2000-08-18,5.0746
2000-08-21,2.6989
2000-08-22,-6.7773
2000-08-23,-2.3739
2000-08-24,-2.6976
2000-08-25,4.3342
2000-08-28,-0.2994
2000-08-29,2.1021
2000-08-30,-5.8824
2000-08-31,11.875
2000-09-01,4.1899
2000-09-05,-1.8767
2000-09-06,-8.1967
2000-09-07,7.1429
2000-09-08,-4.5833
2000-09-11,-4.2213
2000-09-12,-0.9119
2000-09-13,-10.4294
2000-09-14,1.3699
2000-09-15,2.027
2000-09-18,-9.9338
2000-09-19,-2.0221
2000-09-20,2.0638
2000-09-21,4.0441
2000-09-22,10.9541
2000-09-25,1.5924
2000-09-26,-0.1567
2000-09-27,4.5526
2000-09-28,5.1051
2000-09-29,3.7143
2000-10-02,0.8264
2000-10-03,-12.5683
2000-10-04,-9.6875
2000-10-05,-1.3841
2000-10-06,-15.614
2000-10-09,2.2869
2000-10-10,5.6911000000000005
2000-10-11,-1.5385
2000-10-12,0.7813
2000-10-13,8.9147
2000-10-16,1.0676
2000-10-17,1.9365999999999999
2000-10-18,-3.9724
2000-10-19,-0.3597
2000-10-20,-4.6931
2000-10-23,3.0303
2000-10-24,0.3676
2000-10-25,5.4945
2000-10-26,7.6389
2000-10-27,-5.8065
2000-10-30,-10.9589
2000-10-31,0.0
2000-11-01,3.2692
2000-11-02,6.1453
2000-11-03,2.4561
2000-11-06,11.3014
2000-11-07,0.9231
2000-11-08,-0.9146
2000-11-09,-4.3077
2000-11-10,-2.2508
2000-11-13,-2.6316
2000-11-14,-8.277
2000-11-15,-6.4457
2000-11-16,-20.0787
2000-11-17,-9.8522
2000-11-20,-6.5574
2000-11-21,-0.2924
2000-11-22,-24.9267
2000-11-24,21.875
2000-11-27,-1.6026
2000-11-28,-7.4919
2000-11-29,1.7606000000000002
2000-11-30,1.3841
2000-12-01,5.1195
2000-12-04,1.9481000000000002
2000-12-05,22.9299
2000-12-06,-3.1088
2000-12-07,-0.5348
2000-12-08,-2.1505
2000-12-11,-7.6923
2000-12-12,4.1667
2000-12-13,3.1429
2000-12-14,-4.1551
2000-12-15,6.3584
