ticker,FTNT UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-11-19,1.6245
2009-11-20,0.296
2009-11-23,-0.2361
2009-11-24,0.6509
2009-11-25,1.117
2009-11-27,-1.8023
2009-11-30,0.5921
2009-12-01,-1.0006
2009-12-02,-1.1891
2009-12-03,0.361
2009-12-04,3.5971
2009-12-07,-2.0833
2009-12-08,-2.1868
2009-12-09,2.6586
2009-12-10,-0.412
2009-12-11,0.1182
2009-12-14,0.3542
2009-12-15,-0.1176
2009-12-16,7.4794
2009-12-17,-1.6438000000000001
2009-12-18,-2.0613
2009-12-21,0.2844
2009-12-22,-2.2689
2009-12-23,4.2368
2009-12-24,2.2272
2009-12-28,-3.4314
2009-12-29,3.4969
2009-12-30,-1.7984
2009-12-31,-2.4972
2010-01-04,2.4474
2010-01-05,2.1667
2010-01-06,5.5465
2010-01-07,0.2061
2010-01-08,3.3933
2010-01-11,-0.4475
2010-01-12,-1.1489
2010-01-13,-1.7686
2010-01-14,2.3663
2010-01-15,-1.3568
2010-01-19,0.866
2010-01-20,-3.7374
2010-01-21,-3.5152
2010-01-22,-2.7732
2010-01-25,0.7271
2010-01-26,1.6657
2010-01-27,1.8569
2010-01-28,-4.5576
2010-01-29,-3.2022
2010-02-01,1.2768
2010-02-02,-1.8338
2010-02-03,-4.028
2010-02-04,-4.5012
2010-02-05,-0.0637
2010-02-08,1.3384
2010-02-09,4.3396
2010-02-10,1.6275
2010-02-11,-1.1269
2010-02-12,-0.8998
2010-02-16,-0.0605
2010-02-17,2.4833
2010-02-18,2.4232
2010-02-19,0.0
2010-02-22,-2.0773
2010-02-23,-1.7088999999999999
2010-02-24,-0.6595
2010-02-25,1.1467
2010-02-26,2.5060000000000002
2010-03-01,4.7148
2010-03-02,-2.9461
2010-03-03,-2.1191
2010-03-04,-1.2873
2010-03-05,1.067
2010-03-08,1.1144
2010-03-09,-1.3341
2010-03-10,-2.0576
2010-03-11,-1.7407
2010-03-12,-0.1833
2010-03-15,-0.0612
2010-03-16,0.9186
2010-03-17,2.7913
2010-03-18,1.4168
2010-03-19,-0.4657
2010-03-22,0.1754
2010-03-23,1.2259
2010-03-24,-0.7497
2010-03-25,-0.0581
2010-03-26,-0.8721
2010-03-29,2.0528
2010-03-30,1.4943
2010-03-31,-0.453
2010-04-01,0.6257
2010-04-05,-2.1481
2010-04-06,-0.5777
2010-04-07,0.6392
2010-04-08,-1.7898
2010-04-09,-0.8818
2010-04-12,0.949
2010-04-13,-3.4078
