ticker,RSHCQ UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,9.9111
2000-01-04,-0.2312
2000-01-05,4.4032
2000-01-06,-8.768
2000-01-07,-0.8516
2000-01-10,-4.2945
2000-01-11,-4.1026
2000-01-12,-2.4064
2000-01-13,3.5616
2000-01-14,0.3968
2000-01-18,3.2938
2000-01-19,2.1684
2000-01-20,1.7478
2000-01-21,-1.9632
2000-01-24,-3.2541
2000-01-25,-2.0699
2000-01-26,6.4729
2000-01-27,0.0
2000-01-28,-4.0943
2000-01-31,1.1643
2000-02-01,-5.8824
2000-02-02,0.6793
2000-02-03,-2.1592000000000002
2000-02-04,-4.5517
2000-02-07,-3.1792
2000-02-08,6.4179
2000-02-09,-4.0673
2000-02-10,-1.1696
2000-02-11,-3.8462
2000-02-14,-2.4615
2000-02-15,1.2618
2000-02-16,-3.7382999999999997
2000-02-17,0.3236
2000-02-18,3.2258
2000-02-22,5.0
2000-02-23,-5.0595
2000-02-24,-7.6803
2000-02-25,-0.5093
2000-02-28,0.3413
2000-02-29,3.5714
2000-03-01,6.0755
2000-03-02,-0.6192
2000-03-03,1.2461
2000-03-06,-2.6154
2000-03-07,-1.4218
2000-03-08,0.3205
2000-03-09,4.4728
2000-03-10,-2.4465
2000-03-13,0.627
2000-03-14,-0.9346
2000-03-15,6.2893
2000-03-16,2.6627
2000-03-17,7.2046
2000-03-20,-1.3441
2000-03-21,5.4496
2000-03-22,5.0388
2000-03-23,1.353
2000-03-24,-0.4854
2000-03-27,-3.6585
2000-03-28,-0.8861
2000-03-29,-2.1711
2000-03-30,7.8172
2000-03-31,-1.5758
2000-04-03,9.8522
2000-04-04,-3.3632
2000-04-05,2.3202
2000-04-06,-2.1542
2000-04-07,3.9397
2000-04-10,-2.4526
2000-04-11,-0.2286
2000-04-12,1.1455
2000-04-13,-1.9253
2000-04-14,-5.5427
2000-04-17,-6.1125
2000-04-18,4.0365
2000-04-19,3.6295
2000-04-20,4.4686
2000-04-24,1.0405
2000-04-25,3.3181
2000-04-26,2.5471
2000-04-27,-2.3758
2000-04-28,0.885
2000-05-01,2.7412
2000-05-02,-1.8143
2000-05-03,-2.6087
2000-05-04,-10.6027
2000-05-05,1.7478
2000-05-08,-2.2086
2000-05-09,-8.1556
2000-05-10,3.9617
2000-05-11,3.0223
2000-05-12,-3.3163
2000-05-15,-0.7916
2000-05-16,-0.6649
2000-05-17,-2.5435
2000-05-18,1.0989
2000-05-19,-1.9022000000000001
2000-05-22,0.9695
