ticker,FSL B UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
11/24/2004,-0.2778
11/26/2004,-0.2228
11/29/2004,2.0101
11/30/2004,2.0799
12/1/2004,-0.2145
12/2/2004,0.4299
12/3/2004,-1.5516
12/6/2004,-2.663
12/7/2004,-1.1725
12/8/2004,-0.452
12/9/2004,-2.6107
12/10/2004,-1.5152
12/13/2004,0
12/14/2004,3.8462
12/15/2004,2.906
12/16/2004,-1.7165
12/17/2004,2.0282
12/20/2004,-1.7118
12/21/2004,-0.1124
12/22/2004,-0.5062
12/23/2004,-0.3392
12/27/2004,0.9643
12/28/2004,-0.2809
12/29/2004,1.6901
12/30/2004,-0.277
12/31/2004,2
1/3/2005,-2.5599
1/4/2005,-3.5774
1/5/2005,-2.2029
1/6/2005,1.1263
1/7/2005,0.2345
1/10/2005,-0.5848
1/11/2005,-1.7059
1/12/2005,-0.1795
1/13/2005,1.1391
1/14/2005,1.7783
1/18/2005,3.5527
1/19/2005,0.6187
1/20/2005,-3.6892
1/21/2005,-3.4823
1/24/2005,-2.1046
1/25/2005,2.0885
1/26/2005,2.0457
1/27/2005,3.9505
1/28/2005,-2.0987
1/31/2005,1.2167
2/1/2005,-0.4007
2/2/2005,-1.2069
2/3/2005,-0.2909
2/4/2005,5.8343
2/7/2005,0.441
2/8/2005,6.0373
2/9/2005,-3.1573
2/10/2005,-1.1224
2/11/2005,2.7027
2/14/2005,-0.6316
2/15/2005,0.6356
2/16/2005,-0.3158
2/17/2005,-0.0528
2/18/2005,-1.9017
2/22/2005,-0.9155
2/23/2005,0.4891
2/24/2005,2.1633
2/25/2005,1.1117
2/28/2005,0.4188
3/1/2005,3.4932
3/2/2005,-2.5693
3/3/2005,-1.758
3/4/2005,-1.4737
3/7/2005,1.0684
3/8/2005,-2.0613
3/9/2005,-2.8602
3/10/2005,0.2222
3/11/2005,-1.8293
3/14/2005,2.4845
3/15/2005,-3.0854
3/16/2005,-0.4548
3/17/2005,1.1993
3/18/2005,-0.5643
3/21/2005,-0.0568
3/22/2005,-0.3407
3/23/2005,0.8547
3/24/2005,-1.2994
3/28/2005,-0.4007
3/29/2005,-0.7471
3/30/2005,-0.4053
3/31/2005,0.2907
4/1/2005,-1.1014
4/4/2005,-1.1137
4/5/2005,1.3041
4/6/2005,0.8777
4/7/2005,3.4223
4/8/2005,0.3926
4/11/2005,-0.3352
4/12/2005,-1.8498
4/13/2005,-0.9709
4/14/2005,-0.6344
4/15/2005,-4.2368
4/18/2005,0
