ticker,MU UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.4116
2000-01-04,-3.0478
2000-01-05,-1.0195
2000-01-06,1.6309
2000-01-07,-4.7297
2000-01-10,5.5851
2000-01-11,-2.8547000000000002
2000-01-12,2.5065
2000-01-13,2.7824999999999998
2000-01-14,-3.6095
2000-01-18,0.1702
2000-01-19,-2.124
2000-01-20,-3.0382
2000-01-21,-3.581
2000-01-24,2.4141
2000-01-25,-4.3518
2000-01-26,-3.6967
2000-01-27,1.9685000000000001
2000-01-28,-6.4672
2000-01-31,2.6832000000000003
2000-02-01,2.1106
2000-02-02,3.7401999999999997
2000-02-03,3.5103999999999997
2000-02-04,-1.0082
2000-02-07,9.7222
2000-02-08,2.7004
2000-02-09,-2.3829000000000002
2000-02-10,-2.5253
2000-02-11,-1.7271
2000-02-14,-4.7452
2000-02-15,2.214
2000-02-16,-4.2419
2000-02-17,-1.508
2000-02-18,-3.0622
2000-02-22,1.9743
2000-02-23,3.969
2000-02-24,4.5624
2000-02-25,4.8085
2000-02-28,6.1172
2000-02-29,25.6205
2000-03-01,3.6966
2000-03-02,-4.4253
2000-03-03,-4.0514
2000-03-06,2.4129
2000-03-07,7.5262
2000-03-08,-1.2173
2000-03-09,9.0573
2000-03-10,-3.6158
2000-03-13,10.6682
2000-03-14,-5.5085
2000-03-15,1.4574
2000-03-16,0.2762
2000-03-17,13.168
2000-03-20,4.0896
2000-03-21,-2.3386
2000-03-22,6.8487
2000-03-23,-3.4962
2000-03-24,0.1858
2000-03-27,4.1725
2000-03-28,-2.8037
2000-03-29,-6.7766
2000-03-30,-4.9607
2000-03-31,4.186
2000-04-03,-4.8115
2000-04-04,-4.3252
2000-04-05,12.4183
2000-04-06,1.4535
2000-04-07,-2.0057
2000-04-10,-5.1657
2000-04-11,-4.111
2000-04-12,-4.8232
2000-04-13,-4.3356
2000-04-14,-10.0647
2000-04-17,18.1937
2000-04-18,13.3444
2000-04-19,-4.3478
2000-04-20,2.1961
2000-04-24,-1.6492
2000-04-25,5.5386
2000-04-26,-0.9629
2000-04-27,2.528
2000-04-28,5.6425
2000-05-01,-5.6104
2000-05-02,-5.088
2000-05-03,0.0
2000-05-04,-1.4028
2000-05-05,-1.7276
2000-05-08,-3.4126
2000-05-09,-5.0321
2000-05-10,-5.186
2000-05-11,10.2259
2000-05-12,5.2859
2000-05-15,3.6885
2000-05-16,2.8656
2000-05-17,0.6724
2000-05-18,-1.145
2000-05-19,-6.2741
