ticker,CCI UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-04-26,4.9302
2001-04-27,4.4326
2001-04-30,3.9474
2001-05-01,-3.0216
2001-05-02,-0.0421
2001-05-03,-3.8753
2001-05-04,-1.8405
2001-05-07,-2.4554
2001-05-08,-7.5515
2001-05-09,-0.0495
2001-05-10,-3.9128
2001-05-11,-2.1649
2001-05-14,-1.2118
2001-05-15,-1.9733
2001-05-16,0.6529
2001-05-17,0.6486
2001-05-18,-4.6724
2001-05-21,-1.6901000000000002
2001-05-22,0.8596
2001-05-23,-3.4091
2001-05-24,1.4706000000000001
2001-05-25,-1.2753999999999999
2001-05-29,-3.993
2001-05-30,-1.896
2001-05-31,3.4913
2001-06-01,-3.3133
2001-06-04,1.433
2001-06-05,0.0
2001-06-06,0.1229
2001-06-07,1.8405
2001-06-08,-0.241
2001-06-11,-0.0604
2001-06-12,-3.9275
2001-06-13,-0.5031
2001-06-14,-5.1833
2001-06-15,-4.6667
2001-06-18,-3.8462
2001-06-19,-2.5455
2001-06-20,7.3881
2001-06-21,-1.2509000000000001
2001-06-22,-1.6186
2001-06-25,1.5737
2001-06-26,1.4085
2001-06-27,-2.4306
2001-06-28,6.0498
2001-06-29,10.0671
2001-07-02,-2.7439
2001-07-03,-0.7524
2001-07-05,-2.6532
2001-07-06,-5.9053
2001-07-09,0.9655
2001-07-10,-3.8251
2001-07-11,-5.5398
2001-07-12,2.1805
2001-07-13,4.8565000000000005
2001-07-16,-7.6491
2001-07-17,-0.7599
2001-07-18,-2.6034
2001-07-19,-17.0597
2001-07-20,4.1706
2001-07-23,-4.9136
2001-07-24,-4.7847
2001-07-25,-0.9045
2001-07-26,0.1014
2001-07-27,-1.925
2001-07-30,2.1694
2001-07-31,-1.4156
2001-08-01,-12.8205
2001-08-02,8.8235
2001-08-03,2.8108
2001-08-06,1.9979
2001-08-07,-1.5464
2001-08-08,1.9895
2001-08-09,-2.4641
2001-08-10,1.5789
2001-08-13,-0.6218
2001-08-14,-1.9811999999999999
2001-08-15,-6.9149
2001-08-16,-6.2857
2001-08-17,-2.439
2001-08-20,-3.75
2001-08-21,-2.4675000000000002
2001-08-22,0.7989
2001-08-23,10.4359
2001-08-24,8.612400000000001
2001-08-27,13.8767
2001-08-28,-3.2882
2001-08-29,0.0
2001-08-30,-0.9
2001-08-31,2.8254
2001-09-04,-3.3366
2001-09-05,-9.6447
2001-09-06,-6.7416
2001-09-07,6.6265
2001-09-10,1.6949
2001-09-17,0.0
