ticker,AGN UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.0942
2000-01-04,-3.3868
2000-01-05,2.0295
2000-01-06,1.2658
2000-01-07,6.9643
2000-01-10,3.6728
2000-01-11,-0.6441
2000-01-12,6.1588
2000-01-13,1.9847000000000001
2000-01-14,6.8862
2000-01-18,-4.0616
2000-01-19,1.7518
2000-01-20,-3.0129
2000-01-21,-4.142
2000-01-24,-3.3951000000000002
2000-01-25,-2.5559
2000-01-26,1.3115
2000-01-27,2.7508
2000-01-28,1.4173
2000-01-31,0.1553
2000-02-01,2.6357
2000-02-02,3.4743
2000-02-03,2.4818
2000-02-04,-3.4188
2000-02-07,2.6549
2000-02-08,-0.2874
2000-02-09,-2.1614
2000-02-10,-0.1473
2000-02-11,-3.0973
2000-02-14,5.0228
2000-02-15,-5.5072
2000-02-16,-1.5337
2000-02-17,-1.8692
2000-02-18,3.8095
2000-02-22,-0.9174
2000-02-23,0.1543
2000-02-24,-2.6193999999999997
2000-02-25,0.9494
2000-02-28,-0.1567
2000-02-29,0.471
2000-03-01,-3.5938
2000-03-02,-2.107
2000-03-03,-1.8212000000000002
2000-03-06,-1.3491
2000-03-07,-0.8547
2000-03-08,-2.2414
2000-03-09,8.4656
2000-03-10,-2.2763999999999998
2000-03-13,1.4975
2000-03-14,-6.0656
2000-03-15,-1.3961999999999999
2000-03-16,15.0442
2000-03-17,-4.1538
2000-03-20,-3.2103
2000-03-21,4.1459
2000-03-22,-0.4777
2000-03-23,-1.6
2000-03-24,0.0
2000-03-27,1.3008
2000-03-28,-3.6917999999999997
2000-03-29,0.0
2000-03-30,0.0
2000-03-31,5.8333
2000-04-03,-1.8898000000000001
2000-04-04,5.618
2000-04-05,10.4863
2000-04-06,-1.238
2000-04-07,-0.1393
2000-04-10,1.5342
2000-04-11,-0.8242
2000-04-12,4.0166
2000-04-13,0.6658
2000-04-14,-4.2328
2000-04-17,-1.105
2000-04-18,3.4916
2000-04-19,1.3495
2000-04-20,-1.7309999999999999
2000-04-24,-2.439
2000-04-25,2.3611
2000-04-26,-2.8494
2000-04-27,-2.3743
2000-04-28,2.8612
2000-05-01,-0.4172
2000-05-02,-1.5363
2000-05-03,-0.1418
2000-05-04,1.4205
2000-05-05,1.9607999999999999
2000-05-08,0.9615
2000-05-09,6.5306
2000-05-10,2.0434
2000-05-11,1.0013
2000-05-12,-1.487
2000-05-15,0.8805
2000-05-16,-1.2469000000000001
2000-05-17,-1.8939
2000-05-18,0.7722
