ticker,SWKS UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,9.5965
2000-01-04,-5.8706
2000-01-05,2.5899
2000-01-06,-9.7372
2000-01-07,10.274000000000001
2000-01-10,-5.4348
2000-01-11,-0.0547
2000-01-12,13.4447
2000-01-13,6.5894
2000-01-14,10.1449
2000-01-18,4.1118
2000-01-19,11.4929
2000-01-20,2.5859
2000-01-21,1.5884
2000-01-24,-3.433
2000-01-25,2.4991
2000-01-26,-4.8077
2000-01-27,0.4329
2000-01-28,0.5747
2000-01-31,-4.2857
2000-02-01,5.0746
2000-02-02,10.5824
2000-02-03,6.5511
2000-02-04,3.1344
2000-02-07,4.4126
2000-02-08,-10.1036
2000-02-09,-0.1868
2000-02-10,17.5296
2000-02-11,-1.6454
2000-02-14,19.0502
2000-02-15,-1.7452
2000-02-16,2.5144
2000-02-17,1.1476
2000-02-18,-7.6307
2000-02-22,4.8892
2000-02-23,5.9701
2000-02-24,1.7551
2000-02-25,1.8526
2000-02-28,-0.4181
2000-02-29,-2.4564
2000-03-01,0.5166
2000-03-02,-9.6039
2000-03-03,8.6817
2000-03-06,-7.1491
2000-03-07,2.2535
2000-03-08,4.3159
2000-03-09,1.3204
2000-03-10,-5.4735
2000-03-13,-3.3088
2000-03-14,-3.4221
2000-03-15,-1.1811
2000-03-16,-5.5279
2000-03-17,-2.0295
2000-03-20,-15.9537
2000-03-21,22.7593
2000-03-22,8.4746
2000-03-23,-8.9904
2000-03-24,4.1733
2000-03-27,-1.3692
2000-03-28,-5.0386
2000-03-29,-3.4651
2000-03-30,-6.6741
2000-03-31,-8.6538
2000-04-03,-2.7632
2000-04-04,3.9919000000000002
2000-04-05,5.1399
2000-04-06,5.9406
2000-04-07,4.1472
2000-04-10,-6.8424
2000-04-11,-8.4287
2000-04-12,-7.4293
2000-04-13,-7.7415
2000-04-14,-13.7798
2000-04-17,25.7143
2000-04-18,14.6129
2000-04-19,5.0968
2000-04-20,-6.6038
2000-04-24,-11.2374
2000-04-25,14.936
2000-04-26,-11.5099
2000-04-27,16.2238
2000-04-28,0.1203
2000-05-01,1.0817
2000-05-02,-2.497
2000-05-03,-1.9512
2000-05-04,2.2388
2000-05-05,11.8005
2000-05-08,-5.876
2000-05-09,-11.6763
2000-05-10,-5.2356
2000-05-11,12.5691
2000-05-12,-2.5766999999999998
2000-05-15,4.2821
2000-05-16,0.8454
2000-05-17,-4.0719
2000-05-18,-11.1111
2000-05-19,-3.0899
2000-05-22,-4.2029
