test_year,feature_names,importance
2005,debt_3,0.0
2005,debt_4,0.0
2005,default_1,0.011369706435530444
2005,default_12,0.0
2005,default_13,0.0
2005,default_14,0.0
2005,default_15,0.0
2005,default_16,0.0
2005,default_18,0.0
2005,default_2,0.0
2005,default_9,0.0
2005,democratic_18,0.0
2005,democratic_20,0.0
2005,democratic_8,0.0
2005,derivatives_1,0.0
2005,derivatives_15,0.0
2005,derivatives_16,0.0
2005,derivatives_20,0.0
2005,derivatives_9,0.0
2005,development_11,0.008103075375579789
2005,development_2,0.0
2005,development_3,0.0026434423321958643
2005,development_4,0.0
2005,development_5,0.0
2005,development_6,0.004040728672423714
2005,development_8,0.0038967986103921747
2005,district_1,0.0
2005,district_11,0.0
2005,district_12,0.0
2005,district_13,0.0
2005,district_15,0.004291252783675658
2005,district_16,0.005248806441862909
2005,district_18,0.0
2005,district_19,0.006182686756682435
2005,district_2,0.0
2005,district_3,0.0
2005,district_5,0.0
2005,district_8,0.0
2005,district_9,0.0
2005,dividend_11,0.0019067944591940264
2005,dividend_12,0.0
2005,dividend_14,0.0
2005,dividend_16,0.0
2005,dividend_20,0.0
2005,dividend_3,0.002112633598594538
2005,dividend_5,0.0
2005,dow_jones_12,0.0
2005,dow_jones_13,0.0
2005,dow_jones_17,0.0
2005,dow_jones_20,0.0
2005,dow_jones_4,0.0
2005,earnings_10,0.004679238398233505
2005,earnings_15,0.0
2005,earnings_16,0.0
2005,earnings_20,0.0
2005,earnings_4,0.0
2005,earnings_5,0.004478599347390277
2005,earnings_7,0.0
2005,economic_11,0.004654573680932032
2005,economic_13,0.0
2005,economic_17,0.0
2005,economic_19,0.0
2005,economic_2,0.0
2005,economic_3,0.0
2005,economic_4,0.0
2005,economic_8,0.0
2005,economic_9,0.0036153888121685904
2005,economics_15,0.0
2005,economics_18,0.0
2005,economics_9,0.0
2005,economy_12,0.0
2005,economy_3,0.0
2005,economy_4,0.004221027405247134
2005,economy_5,0.0
2005,economy_8,0.0
2005,elected_4,0.0
2005,election_1,0.003329711208954388
2005,election_11,0.0
2005,election_15,0.0
2005,election_18,0.0
2005,election_2,0.0
2005,election_4,0.0
2005,election_6,0.005172631446981644
2005,election_8,0.0
2005,elections_12,0.0
2005,elections_13,0.0
2005,elections_15,0.0
2005,elections_16,0.0
2005,elections_19,0.0
2005,elections_4,0.0
2005,elections_6,0.0
2005,elections_7,0.0
2005,energy_12,0.0
2005,energy_2,0.0
2005,energy_20,0.0
2005,energy_4,0.0
2005,energy_6,0.0
