feature,mean_r2
DOW_JONES_4,0.03394494491654317
act_7,0.021205455217070106
BUY_AND_HOLD_18,0.017720399392648727
BUY_AND_HOLD_3,0.015835066220404165
BUY_AND_HOLD_4,0.014959787803483393
act_5,0.008842409734368376
DOW_JONES_11,0.008698739404682724
BUY_AND_HOLD_5,0.007919497574720139
DOW_JONES_12,0.0050788998931040235
DOW_JONES_1,0.004628186639114758
BUY_AND_HOLD_22,-0.002273099967295189
DOW_JONES_5,-0.004211772579177708
DOW_JONES_7,-0.005769413300314848
BUY_AND_HOLD_24,-0.0073207150074477605
BUY_AND_HOLD_9,-0.008133151627971902
DOW_JONES_6,-0.008549268735640917
DOW_JONES_8,-0.00971226462433794
DOW_JONES_10,-0.013048883948238924
DOW_JONES_26,-0.01338891031112007
BUY_AND_HOLD_2,-0.014107449163144844
act_13,-0.014420883940940432
DOW_JONES_30,-0.014677437823494585
DOW_JONES_15,-0.014755611895933218
DOW_JONES_20,-0.015153841061071427
act_19,-0.01667818415042588
act_6,-0.017390431345029933
BUY_AND_HOLD_6,-0.017609482636512446
BUY_AND_HOLD_17,-0.017697476968427012
DOW_JONES_21,-0.019453280094554198
DOW_JONES_13,-0.020017250891402383
DOW_JONES_19,-0.022842130532049604
BUY_AND_HOLD_14,-0.023432058299314606
BUY_AND_HOLD_8,-0.026193732789023965
DOW_JONES_24,-0.02628240395429419
DOW_JONES_29,-0.02702965872193645
BUY_AND_HOLD_30,-0.032872450901536454
BUY_AND_HOLD_13,-0.03643515320774796
act_20,-0.036888097534848674
BUY_AND_HOLD_20,-0.03760030718663265
DOW_JONES_2,-0.04024926516043673
BUY_AND_HOLD_23,-0.04087017626482625
DOW_JONES_14,-0.04264552728365171
DOW_JONES_22,-0.044560105252534475
act_10,-0.046142267341971244
act_14,-0.04634713704564608
BUY_AND_HOLD_29,-0.048772433390424995
act_11,-0.052843534821562343
BUY_AND_HOLD_10,-0.053300579266128446
BUY_AND_HOLD_27,-0.053376417216433415
act_27,-0.05626189874709531
act_29,-0.058268543341957114
DOW_JONES_16,-0.05852755899272203
act_4,-0.05903081914915894
DOW_JONES_27,-0.05924492358235282
BUY_AND_HOLD_26,-0.059952528823205266
DOW_JONES_3,-0.06318375669507015
BUY_AND_HOLD_16,-0.06347675773288579
BUY_AND_HOLD_11,-0.06442757734994342
act_22,-0.06935778597474751
BUY_AND_HOLD_28,-0.07002042274998073
DOW_JONES_25,-0.07021021115971542
DOW_JONES_17,-0.0710200395203641
DOW_JONES_18,-0.0713476446686927
BUY_AND_HOLD_19,-0.07384427959345834
BUY_AND_HOLD_21,-0.07508953318332116
act_21,-0.07869056144460056
act_2,-0.07886781518512631
act_26,-0.0801389753592822
act_12,-0.08288271675682612
act_18,-0.08360031459528254
act_15,-0.08594049069717213
DOW_JONES_28,-0.09361895909846292
DOW_JONES_23,-0.09638571026516625
act_23,-0.10824294507555206
act_17,-0.11501302713393917
BUY_AND_HOLD_1,-0.11612123128019665
act_16,-0.123454809057488
BUY_AND_HOLD_12,-0.12382463027509771
DOW_JONES_9,-0.14025999606051984
BUY_AND_HOLD_25,-0.14064499306085118
act_28,-0.16204582686808264
BUY_AND_HOLD_15,-0.16206132612715396
act_30,-0.1816103402717517
BUY_AND_HOLD_7,-0.18552390225953985
act_25,-0.18748671327547037
act_3,-0.21191622570795154
act_8,-0.2290329784325443
act_1,-0.27489637606859163
act_24,-0.2785027468692887
act_9,-0.30395126982664405
