ticker,MDP UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.2984
2000-01-04,-2.3256
2000-01-05,-1.1111
2000-01-06,-1.4445999999999999
2000-01-07,-0.3257
2000-01-10,5.2288
2000-01-11,-0.9317
2000-01-12,-0.4702
2000-01-13,2.8346
2000-01-14,-3.3691
2000-01-18,-3.1696
2000-01-19,-0.491
2000-01-20,-1.6447
2000-01-21,0.8361
2000-01-24,-3.4826
2000-01-25,-1.3746
2000-01-26,1.2195
2000-01-27,0.0
2000-01-28,-2.5818
2000-01-31,-1.0601
2000-02-01,-2.1429
2000-02-02,0.5474
2000-02-03,1.2704
2000-02-04,0.0
2000-02-07,-1.0753
2000-02-08,0.9058
2000-02-09,-0.8977
2000-02-10,-1.9928
2000-02-11,-2.0333
2000-02-14,-0.9434
2000-02-15,-5.3333
2000-02-16,-5.835
2000-02-17,-3.4188
2000-02-18,-1.5487
2000-02-22,0.6742
2000-02-23,-0.2232
2000-02-24,-1.7896999999999998
2000-02-25,2.3417
2000-02-28,2.4554
2000-02-29,-0.2179
2000-03-01,-0.2183
2000-03-02,-0.4376
2000-03-03,1.978
2000-03-06,-1.5086
2000-03-07,-5.6893
2000-03-08,-10.6729
2000-03-09,-0.5195
2000-03-10,-6.2663
2000-03-13,1.6713
2000-03-14,0.274
2000-03-15,5.4645
2000-03-16,8.5492
2000-03-17,-1.6705999999999999
2000-03-20,-1.2136
2000-03-21,-0.9828
2000-03-22,0.7444
2000-03-23,2.4631
2000-03-24,1.6827
2000-03-27,0.2364
2000-03-28,1.4151
2000-03-29,-0.6977
2000-03-30,0.2342
2000-03-31,3.5047
2000-04-03,-0.4515
2000-04-04,-1.1338
2000-04-05,-1.8349
2000-04-06,2.5701
2000-04-07,0.2278
2000-04-10,-0.4545
2000-04-11,-0.4566
2000-04-12,0.6881
2000-04-13,0.0
2000-04-14,-3.4169
2000-04-17,-1.6509
2000-04-18,2.6379
2000-04-19,1.8692
2000-04-20,1.3761
2000-04-24,0.6787
2000-04-25,-0.6742
2000-04-26,1.1312
2000-04-27,-2.6846
2000-04-28,2.2989
2000-05-01,-1.573
2000-05-02,-2.5114
2000-05-03,-0.4684
2000-05-04,2.3529
2000-05-05,0.2299
2000-05-08,-0.4587
2000-05-09,-0.4608
2000-05-10,-0.6944
2000-05-11,0.6993
2000-05-12,0.0
2000-05-15,3.7037
2000-05-16,0.4464
2000-05-17,-0.4444
2000-05-18,0.8929
2000-05-19,-1.9912
2000-05-22,0.0
