ticker,STX UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-09-17,-3.9967
2008-09-18,1.3594
2008-09-19,7.7117
2008-09-22,-5.1362
2008-09-23,-0.1641
2008-09-24,1.2325
2008-09-25,1.2175
2008-09-26,-0.401
2008-09-29,-5.475
2008-09-30,3.2368
2008-10-01,-4.703
2008-10-02,-2.9436999999999998
2008-10-03,-2.4978
2008-10-06,-1.0064
2008-10-07,-8.5028
2008-10-08,-2.2222
2008-10-09,-3.719
2008-10-10,-7.0815
2008-10-13,7.5058
2008-10-14,-5.3706
2008-10-15,-3.1782
2008-10-16,0.0
2008-10-17,3.0481
2008-10-20,-2.9579
2008-10-21,-4.9238
2008-10-22,-2.4661
2008-10-23,-10.8723
2008-10-24,-0.1418
2008-10-27,-4.9716000000000005
2008-10-28,-1.1958
2008-10-29,-1.3616
2008-10-30,-1.6871
2008-10-31,5.6162
2008-11-03,4.4313
2008-11-04,6.5064
2008-11-05,-5.3121
2008-11-06,-8.2739
2008-11-07,2.6439
2008-11-10,-6.0606
2008-11-11,-11.4516
2008-11-12,-12.3862
2008-11-13,4.3659
2008-11-14,-2.988
2008-11-17,-2.0534
2008-11-18,-9.434
2008-11-19,-9.4907
2008-11-20,-2.046
2008-11-21,14.8825
2008-11-24,1.3636
2008-11-25,-0.8969
2008-11-26,2.0362
2008-11-28,-6.6519
2008-12-01,-8.5511
2008-12-02,11.9481
2008-12-03,2.0882
2008-12-04,-2.2727
2008-12-05,5.1163
2008-12-08,14.1593
2008-12-09,-1.3566
2008-12-10,7.8585
2008-12-11,-13.2969
2008-12-12,10.7143
2008-12-15,-9.6774
2008-12-16,-6.5126
2008-12-17,7.191
2008-12-18,-4.8218
2008-12-19,0.2203
2008-12-22,-3.0769
2008-12-23,-1.3605
2008-12-24,-4.8276
2008-12-26,0.4831
2008-12-29,-1.6827
2008-12-30,1.2225
2008-12-31,7.0048
2009-01-02,14.6727
2009-01-05,1.1811
2009-01-06,12.4514
2009-01-07,-7.0934
2009-01-08,4.2831
2009-01-09,0.7143
2009-01-12,-15.6028
2009-01-13,-3.7815
2009-01-14,-6.3319
2009-01-15,0.9324
2009-01-16,1.3857
2009-01-20,-11.6173
2009-01-21,9.5361
2009-01-22,-24.0
2009-01-23,-3.7152
2009-01-26,9.9678
2009-01-27,5.848
2009-01-28,9.116
2009-01-29,2.2785
2009-01-30,-6.1881
2009-02-02,4.7493
2009-02-03,-3.5263999999999998
2009-02-04,12.5326
2009-02-05,2.5701
