ticker,SGP UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.2593
2000-01-04,-6.4319
2000-01-05,5.2373
2000-01-06,6.8429
2000-01-07,11.3537
2000-01-10,-6.4052
2000-01-11,0.9777
2000-01-12,-0.6916
2000-01-13,-3.6212
2000-01-14,0.289
2000-01-18,-1.8732
2000-01-19,2.0558
2000-01-20,1.1511
2000-01-21,-3.2717
2000-01-24,-6.7647
2000-01-25,2.9968
2000-01-26,0.1531
2000-01-27,0.1529
2000-01-28,3.9695
2000-01-31,3.3774
2000-02-01,2.6989
2000-02-02,2.0747
2000-02-03,1.6303999999999998
2000-02-04,-0.4011
2000-02-07,-1.4765
2000-02-08,2.4523
2000-02-09,-3.5904
2000-02-10,-4.2759
2000-02-11,-6.6282
2000-02-14,0.0
2000-02-15,1.8519
2000-02-16,-1.8182
2000-02-17,-4.0123
2000-02-18,-8.0386
2000-02-22,5.5944
2000-02-23,-0.4967
2000-02-24,-1.3311
2000-02-25,-6.4081
2000-02-28,0.5405
2000-02-29,0.0
2000-03-01,-1.2545
2000-03-02,1.4519
2000-03-03,-0.7156
2000-03-06,-4.6847
2000-03-07,-7.5614
2000-03-08,10.6339
2000-03-09,8.8725
2000-03-10,1.6978
2000-03-13,-4.5075
2000-03-14,-3.6713
2000-03-15,10.3448
2000-03-16,3.9474
2000-03-17,-5.6962
2000-03-20,-1.1745
2000-03-21,4.9236
2000-03-22,-1.6181
2000-03-23,-1.6447
2000-03-24,-3.01
2000-03-27,-3.6207000000000003
2000-03-28,-0.3578
2000-03-29,3.5907
2000-03-30,3.2929
2000-03-31,-1.3423
2000-04-03,6.6327
2000-04-04,4.1467
2000-04-05,0.4594
2000-04-06,-5.4878
2000-04-07,0.0
2000-04-10,-0.8065
2000-04-11,9.1057
2000-04-12,0.0
2000-04-13,0.0
2000-04-14,-2.8316
2000-04-17,-0.7669
2000-04-18,-1.2365
2000-04-19,1.4085
2000-04-20,-1.2346
2000-04-24,3.4375
2000-04-25,0.9063
2000-04-26,-1.3473
2000-04-27,0.4552
2000-04-28,-2.568
2000-05-01,1.3953
2000-05-02,-2.4465
2000-05-03,-0.5893
2000-05-04,-0.4747
2000-05-05,6.0413
2000-05-08,4.6477
2000-05-09,-0.2865
2000-05-10,-0.7184
2000-05-11,-2.8944
2000-05-12,0.0
2000-05-15,3.5768
2000-05-16,1.0072
2000-05-17,0.9972
2000-05-18,0.7052
2000-05-19,-0.5602
2000-05-22,-1.2676
2000-05-23,3.8516
