ticker,LB UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.3492
2000-01-04,-2.0031
2000-01-05,-1.4151
2000-01-06,-1.5949
2000-01-07,0.6483
2000-01-10,-1.2882
2000-01-11,-3.0995
2000-01-12,-1.1785
2000-01-13,-4.4293
2000-01-14,0.1783
2000-01-18,-2.669
2000-01-19,-0.5484
2000-01-20,0.1838
2000-01-21,-2.2018
2000-01-24,-1.6886
2000-01-25,-0.5725
2000-01-26,0.1919
2000-01-27,-2.4904
2000-01-28,-4.1257
2000-01-31,0.6148
2000-02-01,1.4257
2000-02-02,6.8273
2000-02-03,4.6992
2000-02-04,1.9748999999999999
2000-02-07,-1.5845
2000-02-08,1.6099999999999999
2000-02-09,-2.8169
2000-02-10,-0.5435
2000-02-11,-2.9144
2000-02-14,0.5629
2000-02-15,0.9328
2000-02-16,-7.9482
2000-02-17,-1.4056
2000-02-18,-0.611
2000-02-22,3.0738
2000-02-23,-2.3857
2000-02-24,-4.888
2000-02-25,2.9979
2000-02-28,4.158
2000-02-29,8.5828
2000-03-01,-0.6618
2000-03-02,0.0
2000-03-03,0.5576
2000-03-06,-0.9242
2000-03-07,-4.6642
2000-03-08,0.9785
2000-03-09,5.4264
2000-03-10,0.0
2000-03-13,-1.6543999999999999
2000-03-14,-0.1869
2000-03-15,6.9288
2000-03-16,10.683
2000-03-17,-5.3797
2000-03-20,1.505
2000-03-21,1.6474
2000-03-22,-0.8104
2000-03-23,0.1634
2000-03-24,0.9788
2000-03-27,1.7771
2000-03-28,-2.5397
2000-03-29,2.443
2000-03-30,5.0874
2000-03-31,1.9667
2000-04-03,3.1157
2000-04-04,-5.1799
2000-04-05,1.214
2000-04-06,12.2939
2000-04-07,4.1389
2000-04-10,0.1282
2000-04-11,5.3777
2000-04-12,-7.0474
2000-04-13,-1.9607999999999999
2000-04-14,-5.7333
2000-04-17,-2.8289
2000-04-18,2.4745
2000-04-19,1.7045
2000-04-20,-1.8155999999999999
2000-04-24,4.8364
2000-04-25,1.3569
2000-04-26,0.0
2000-04-27,-3.7483
2000-04-28,0.5563
2000-05-01,7.6072
2000-05-02,-1.1568
2000-05-03,-7.4122
2000-05-04,2.6685
2000-05-05,3.6936
2000-05-08,0.9235
2000-05-09,3.268
2000-05-10,-0.5063
2000-05-11,0.5089
2000-05-12,0.5063
2000-05-15,0.8816
2000-05-16,-0.8739
2000-05-17,-2.5189
2000-05-18,0.2584
2000-05-19,0.2577
2000-05-22,1.2852999999999999
