ticker,SBUX UQ Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.6753
2000-01-04,-3.1686
2000-01-05,1.3089
2000-01-06,3.6176
2000-01-07,-0.4988
2000-01-10,4.2607
2000-01-11,-2.8846
2000-01-12,0.2475
2000-01-13,7.1605
2000-01-14,-2.5346
2000-01-18,-1.4184
2000-01-19,-2.1583
2000-01-20,-1.7157
2000-01-21,-0.3741
2000-01-24,-1.627
2000-01-25,5.8524
2000-01-26,11.538499999999999
2000-01-27,-0.431
2000-01-28,3.2468
2000-01-31,7.3375
2000-02-01,0.9766
2000-02-02,-1.5474
2000-02-03,-1.1788
2000-02-04,9.3439
2000-02-07,-0.3636
2000-02-08,2.1898
2000-02-09,-1.4285999999999999
2000-02-10,-7.2464
2000-02-11,2.7344
2000-02-14,3.2319
2000-02-15,2.0258
2000-02-16,-1.2635
2000-02-17,1.2797
2000-02-18,-4.3321
2000-02-22,0.1887
2000-02-23,5.0847
2000-02-24,0.5376
2000-02-25,-3.7433
2000-02-28,0.9259
2000-02-29,3.1193
2000-03-01,-1.0676
2000-03-02,-4.3165
2000-03-03,11.8421
2000-03-06,-3.5294
2000-03-07,-4.878
2000-03-08,-0.7326
2000-03-09,6.6421
2000-03-10,-1.3841
2000-03-13,-2.4561
2000-03-14,-3.777
2000-03-15,5.2336
2000-03-16,9.0586
2000-03-17,-3.4202
2000-03-20,-5.059
2000-03-21,10.8348
2000-03-22,0.3205
2000-03-23,0.639
2000-03-24,-1.9048
2000-03-27,1.2945
2000-03-28,-3.0351
2000-03-29,4.6129
2000-03-30,0.1575
2000-03-31,12.7358
2000-04-03,-7.5314
2000-04-04,4.8265
2000-04-05,-8.9209
2000-04-06,-5.0553
2000-04-07,6.6556
2000-04-10,-8.5803
2000-04-11,3.5836
2000-04-12,-0.8237
2000-04-13,5.8555
2000-04-14,-11.6516
2000-04-17,2.6643
2000-04-18,3.6332
2000-04-19,-0.5008
2000-04-20,0.5034
2000-04-24,6.6777999999999995
2000-04-25,-4.3818
2000-04-26,-2.7823
2000-04-27,-0.1684
2000-04-28,-18.4233
2000-05-01,2.3256
2000-05-02,3.2323
2000-05-03,-0.3914
2000-05-04,5.1081
2000-05-05,0.7477
2000-05-08,-2.0408
2000-05-09,1.1364
2000-05-10,-2.4345
2000-05-11,2.1113
2000-05-12,-2.0677
2000-05-15,-0.1919
2000-05-16,2.3077
2000-05-17,-2.4436
2000-05-18,-5.395
2000-05-19,-1.833
2000-05-22,-0.8299
