ticker,COST UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.4657999999999998
2000-01-04,-5.4775
2000-01-05,1.7088
2000-01-06,2.0088
2000-01-07,6.6237
2000-01-10,2.0819
2000-01-11,-3.5526
2000-01-12,-0.1364
2000-01-13,3.7568
2000-01-14,3.3575
2000-01-18,4.4586
2000-01-19,1.2195
2000-01-20,-3.6145
2000-01-21,-3.0
2000-01-24,-3.0928
2000-01-25,5.7181
2000-01-26,1.5093999999999999
2000-01-27,-2.974
2000-01-28,-6.0026
2000-01-31,6.3859
2000-02-01,6.0026
2000-02-02,3.9759
2000-02-03,0.4635
2000-02-04,-2.1915
2000-02-07,-3.3019
2000-02-08,3.5366
2000-02-09,-0.3534
2000-02-10,-1.4184
2000-02-11,-0.8393
2000-02-14,-1.8138
2000-02-15,-2.7094
2000-02-16,-3.2911
2000-02-17,-7.8534
2000-02-18,2.1307
2000-02-22,-2.0862
2000-02-23,1.2784
2000-02-24,-0.4208
2000-02-25,7.3239
2000-02-28,2.7559
2000-02-29,1.4049
2000-03-01,-6.2972
2000-03-02,6.7204
2000-03-03,0.6297
2000-03-06,0.3755
2000-03-07,-9.4763
2000-03-08,0.551
2000-03-09,-2.3288
2000-03-10,-0.9818
2000-03-13,-2.5496
2000-03-14,0.7267
2000-03-15,15.0072
2000-03-16,12.3275
2000-03-17,-3.6023
2000-03-20,-3.0127
2000-03-21,-0.2389
2000-03-22,1.3174000000000001
2000-03-23,1.4184
2000-03-24,0.4662
2000-03-27,-0.8121
2000-03-28,-4.3275
2000-03-29,-1.2225
2000-03-30,-0.495
2000-03-31,4.602
2000-04-03,-0.1189
2000-04-04,2.9762
2000-04-05,-1.0405
2000-04-06,-3.0374
2000-04-07,1.8072
2000-04-10,2.7218999999999998
2000-04-11,5.8756
2000-04-12,-4.1349
2000-04-13,-0.7946
2000-04-14,-6.865
2000-04-17,-3.4398
2000-04-18,3.6896
2000-04-19,2.5766999999999998
2000-04-20,4.9043
2000-04-24,2.1665
2000-04-25,1.7856999999999998
2000-04-26,-3.6184
2000-04-27,2.0478
2000-04-28,-3.5674
2000-05-01,8.0925
2000-05-02,-6.3102
2000-05-03,-4.6804
2000-05-04,-6.2275
2000-05-05,-0.2554
2000-05-08,-2.8169
2000-05-09,3.6891
2000-05-10,-0.5083
2000-05-11,1.788
2000-05-12,-4.0151
2000-05-15,2.3529
2000-05-16,4.8530999999999995
2000-05-17,-6.9732
2000-05-18,-2.0622
2000-05-19,-3.7433
