ticker,ROST UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.1359
2000-01-04,-4.3165
2000-01-05,2.2556
2000-01-06,-10.6618
2000-01-07,-1.2346
2000-01-10,1.6667
2000-01-11,-4.5082
2000-01-12,-6.6524
2000-01-13,-3.908
2000-01-14,4.3062000000000005
2000-01-18,-5.9633
2000-01-19,-4.3902
2000-01-20,6.3776
2000-01-21,3.1175
2000-01-24,-6.5116
2000-01-25,0.0
2000-01-26,4.9751
2000-01-27,-1.8957000000000002
2000-01-28,-0.4831
2000-01-31,-0.9709
2000-02-01,-0.4902
2000-02-02,-0.9852
2000-02-03,23.3831
2000-02-04,-3.2258
2000-02-07,0.0
2000-02-08,2.0833
2000-02-09,-1.2245
2000-02-10,-1.6529
2000-02-11,-1.2605
2000-02-14,0.0
2000-02-15,-3.8298
2000-02-16,-3.9823
2000-02-17,-5.9908
2000-02-18,2.451
2000-02-22,0.0
2000-02-23,1.4354
2000-02-24,-0.9434
2000-02-25,4.2857
2000-02-28,13.242
2000-02-29,-6.4516
2000-03-01,0.6897
2000-03-02,20.6009
2000-03-03,-3.9146
2000-03-06,3.7037
2000-03-07,-3.2143
2000-03-08,-0.738
2000-03-09,-1.1152
2000-03-10,-1.1278
2000-03-13,0.5703
2000-03-14,5.482
2000-03-15,8.6022
2000-03-16,16.5017
2000-03-17,-7.0822
2000-03-20,-4.878
2000-03-21,8.3333
2000-03-22,-3.2544
2000-03-23,0.0
2000-03-24,-0.9174
2000-03-27,4.0123
2000-03-28,0.2967
2000-03-29,10.0592
2000-03-30,-4.5699
2000-03-31,8.4507
2000-04-03,-7.013
2000-04-04,-2.2346
2000-04-05,-1.1429
2000-04-06,1.1561
2000-04-07,0.8571
2000-04-10,2.8329
2000-04-11,4.9587
2000-04-12,-0.5249
2000-04-13,0.2639
2000-04-14,-4.7368
2000-04-17,-4.4199
2000-04-18,-1.4451
2000-04-19,4.9853
2000-04-20,-6.1453
2000-04-24,-0.5952
2000-04-25,0.5988
2000-04-26,-1.1905000000000001
2000-04-27,-3.6145
2000-04-28,3.75
2000-05-01,3.3133
2000-05-02,-2.0408
2000-05-03,-6.5476
2000-05-04,4.4586
2000-05-05,2.7439
2000-05-08,-0.2967
2000-05-09,3.5714
2000-05-10,-1.7241
2000-05-11,1.462
2000-05-12,2.5937
2000-05-15,3.0899
2000-05-16,-1.6349
2000-05-17,-8.0332
2000-05-18,0.3012
2000-05-19,0.9009
2000-05-22,1.7856999999999998
