ticker,DLR UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-11-01,0.0
2004-11-02,0.0
2004-11-03,1.25
2004-11-04,-0.7407
2004-11-05,0.1658
2004-11-08,-0.5795
2004-11-09,0.0
2004-11-10,0.0
2004-11-11,0.0833
2004-11-12,2.2463
2004-11-15,0.8137
2004-11-16,0.8878
2004-11-17,0.08
2004-11-18,1.6787
2004-11-19,-0.0786
2004-11-22,-0.6294
2004-11-23,1.346
2004-11-24,-0.0781
2004-11-26,-1.0946
2004-11-29,0.2372
2004-11-30,0.6309
2004-12-01,3.0564
2004-12-02,-1.5209000000000001
2004-12-03,1.5444
2004-12-06,-0.2281
2004-12-07,-0.9146
2004-12-08,-1.0769
2004-12-09,-0.0778
2004-12-10,0.9339
2004-12-13,-0.4626
2004-12-14,-0.0775
2004-12-15,1.1628
2004-12-16,0.0
2004-12-17,2.682
2004-12-20,-0.4478
2004-12-21,0.8246
2004-12-22,1.8587
2004-12-23,1.7518
2004-12-27,-2.439
2004-12-28,-0.5147
2004-12-29,-0.6924
2004-12-30,0.1506
2004-12-31,1.2782
2005-01-03,0.8909
2005-01-04,0.4415
2005-01-05,-3.2967
2005-01-06,1.4394
2005-01-07,-0.9709
2005-01-10,0.3017
2005-01-11,-0.3008
2005-01-12,0.3017
2005-01-13,0.5263
2005-01-14,1.6455
2005-01-18,0.8094
2005-01-19,-0.365
2005-01-20,-0.6593
2005-01-21,0.295
2005-01-24,-0.5882
2005-01-25,-0.1479
2005-01-26,1.5556
2005-01-27,-0.0729
2005-01-28,0.7299
2005-01-31,0.0
2005-02-01,0.0
2005-02-02,1.087
2005-02-03,0.2151
2005-02-04,-0.1431
2005-02-07,0.6447
2005-02-08,-0.3559
2005-02-09,-1.0714
2005-02-10,1.8773
2005-02-11,3.1892
2005-02-14,-0.4121
2005-02-15,-0.2069
2005-02-16,0.2073
2005-02-17,-3.4483
2005-02-18,0.0
2005-02-22,-0.8571
2005-02-23,-0.2161
2005-02-24,0.9386
2005-02-25,0.5007
2005-02-28,1.9929000000000001
2005-03-01,-0.5583
2005-03-02,1.7544
2005-03-03,-0.6207
2005-03-04,0.5552
2005-03-07,0.207
2005-03-08,-1.8595000000000002
2005-03-09,0.0702
2005-03-10,0.3506
2005-03-11,-0.6027
2005-03-14,4.721
2005-03-15,-3.2104
2005-03-16,-1.1997
2005-03-17,-0.2143
2005-03-18,0.9306
2005-03-21,0.2837
2005-03-22,-1.6266
2005-03-23,2.4443
2005-03-24,1.8246
