ticker,NAVI UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-21,-1.0006
2014-04-22,-0.1189
2014-04-23,-0.0595
2014-04-24,-0.9529
2014-04-25,1.5634000000000001
2014-04-28,-1.3025
2014-04-29,0.06
2014-04-30,-0.7794
2014-05-01,2.719
2014-05-02,-0.2941
2014-05-05,-0.826
2014-05-06,-2.7960000000000003
2014-05-07,1.5912
2014-05-08,-0.9036
2014-05-09,-1.0334
2014-05-12,-2.027
2014-05-13,-0.627
2014-05-14,-0.694
2014-05-15,0.0
2014-05-16,0.7624
2014-05-19,1.0088
2014-05-20,-0.4994
2014-05-21,-0.0627
2014-05-22,0.2511
2014-05-23,0.6262
2014-05-27,-0.56
2014-05-28,-1.8773
2014-05-29,0.0
2014-05-30,0.7653
2014-06-02,0.0633
2014-06-03,0.1265
2014-06-04,1.3266
2014-06-05,4.9087
2014-06-06,0.0
2014-06-09,0.8398
2014-06-10,-0.0595
2014-06-11,0.4762
2014-06-12,-0.8294
2014-06-13,-0.4182
2014-06-16,0.6599
2014-06-17,0.3576
2014-06-18,1.3064
2014-06-19,0.762
2014-06-20,1.5707
2014-06-23,1.26
2014-06-24,-0.1414
2014-06-25,-0.2549
2014-06-26,0.3407
2014-06-27,0.9621
2014-06-30,-0.7287
2014-07-01,0.3953
2014-07-02,-0.0562
2014-07-03,-0.3939
2014-07-07,-0.2825
2014-07-08,-0.2833
2014-07-09,0.6818
2014-07-10,0.3386
2014-07-11,0.6187
2014-07-14,0.6149
2014-07-15,-1.6667
2014-07-16,0.678
2014-07-17,-0.6734
2014-07-18,-0.0565
2014-07-21,0.961
2014-07-22,0.6719
2014-07-23,0.0
2014-07-24,-0.0556
2014-07-25,-0.5565
2014-07-28,0.6715
2014-07-29,-1.612
2014-07-30,-0.678
2014-07-31,-2.1615
2014-08-01,0.814
2014-08-04,-0.9804
2014-08-05,-1.2812999999999999
2014-08-06,0.236
2014-08-07,-0.7652
2014-08-08,2.4911
2014-08-11,-1.0417
2014-08-12,0.0
2014-08-13,0.4094
2014-08-14,-0.1165
2014-08-15,-0.758
2014-08-18,2.1152
2014-08-19,-0.3452
2014-08-20,1.0393
2014-08-21,-0.2286
2014-08-22,-0.0573
2014-08-25,1.0315
2014-08-26,-0.1134
2014-08-27,0.5679
2014-08-28,0.0565
2014-08-29,1.2415
2014-09-02,0.223
2014-09-03,0.0
2014-09-04,-0.1112
2014-09-05,-0.9465
2014-09-08,-0.5621
2014-09-09,-1.1871
