ticker,COF UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.1505
2000-01-04,-6.2246
2000-01-05,-2.3088
2000-01-06,4.579
2000-01-07,2.8249
2000-01-10,-1.2363
2000-01-11,-3.1989
2000-01-12,1.7241
2000-01-13,2.1186
2000-01-14,3.5961
2000-01-18,-10.1469
2000-01-19,3.1204
2000-01-20,-2.3055
2000-01-21,-2.9499
2000-01-24,0.0
2000-01-25,-2.5836
2000-01-26,4.6802
2000-01-27,-1.0432
2000-01-28,-3.4638999999999998
2000-01-31,2.3401
2000-02-01,-1.9817
2000-02-02,-0.9331
2000-02-03,-1.7268
2000-02-04,-1.4377
2000-02-07,-1.5516
2000-02-08,-1.4827
2000-02-09,-6.3545
2000-02-10,-4.2857
2000-02-11,0.3731
2000-02-14,1.6729
2000-02-15,8.4095
2000-02-16,1.5177
2000-02-17,-2.3256
2000-02-18,-6.1224
2000-02-22,-1.6303999999999998
2000-02-23,-2.5783
2000-02-24,5.482
2000-02-25,1.6129
2000-02-28,6.8783
2000-02-29,-2.8053
2000-03-01,2.3769
2000-03-02,-2.1559
2000-03-03,2.8814
2000-03-06,-2.4712
2000-03-07,-6.25
2000-03-08,1.8018
2000-03-09,3.8938
2000-03-10,0.3407
2000-03-13,2.5467
2000-03-14,0.9934
2000-03-15,7.2131
2000-03-16,13.9144
2000-03-17,-1.6107
2000-03-20,-9.2769
2000-03-21,6.1654
2000-03-22,4.8159
2000-03-23,-0.9459
2000-03-24,-1.6371
2000-03-27,-0.8322
2000-03-28,1.5385
2000-03-29,-0.2755
2000-03-30,2.4862
2000-03-31,3.3693
2000-04-03,2.2164
2000-04-04,-4.9745
2000-04-05,-0.5369
2000-04-06,1.2146
2000-04-07,0.8
2000-04-10,1.8519
2000-04-11,2.3377
2000-04-12,2.0305
2000-04-13,-7.0896
2000-04-14,-8.166
2000-04-17,0.2915
2000-04-18,4.7965
2000-04-19,0.9709
2000-04-20,3.9835000000000003
2000-04-24,-0.3963
2000-04-25,3.7135
2000-04-26,-2.046
2000-04-27,-3.6554
2000-04-28,-5.1491
2000-05-01,2.8571
2000-05-02,0.8333
2000-05-03,-6.4738
2000-05-04,-3.8292
2000-05-05,-2.2971
2000-05-08,5.7095
2000-05-09,-0.8902
2000-05-10,-1.6467
2000-05-11,5.6317
2000-05-12,0.5764
2000-05-15,3.8682
2000-05-16,0.4138
2000-05-17,-3.2967
2000-05-18,3.9773
2000-05-19,-3.8251
2000-05-22,-0.2841
