ticker,NEBLQ UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.8702
2000-01-04,-1.0246
2000-01-05,-1.2422
2000-01-06,7.3375
2000-01-07,1.5625
2000-01-10,-4.6154
2000-01-11,6.0484
2000-01-12,-4.3726
2000-01-13,1.9881
2000-01-14,1.5594999999999999
2000-01-18,3.6468
2000-01-19,-2.2222
2000-01-20,-4.1667
2000-01-21,0.9881
2000-01-24,-5.2838
2000-01-25,0.4132
2000-01-26,-1.2346
2000-01-27,-7.0833
2000-01-28,4.0359
2000-01-31,1.0776
2000-02-01,4.2644
2000-02-02,1.8405
2000-02-03,-0.2008
2000-02-04,-1.6097000000000001
2000-02-07,4.499
2000-02-08,-2.544
2000-02-09,-0.6024
2000-02-10,3.2323
2000-02-11,-0.9785
2000-02-14,6.5217
2000-02-15,2.2263
2000-02-16,0.1815
2000-02-17,-2.8986
2000-02-18,-3.3582
2000-02-22,-2.8958
2000-02-23,0.3976
2000-02-24,3.7624
2000-02-25,-0.1908
2000-02-28,4.2065
2000-02-29,5.6881
2000-03-01,4.8611
2000-03-02,6.7881
2000-03-03,-2.7907
2000-03-06,3.1898
2000-03-07,3.0912
2000-03-08,-7.6462
2000-03-09,-2.4351
2000-03-10,1.6639
2000-03-13,-2.2913
2000-03-14,-1.005
2000-03-15,-2.7073
2000-03-16,9.0435
2000-03-17,-3.1898
2000-03-20,-3.9539
2000-03-21,2.5728999999999997
2000-03-22,3.01
2000-03-23,-1.461
2000-03-24,7.9077
2000-03-27,-5.0382
2000-03-28,0.6431
2000-03-29,3.3546
2000-03-30,-2.7821
2000-03-31,5.4054
2000-04-03,2.5641
2000-04-04,-5.8824
2000-04-05,-3.5938
2000-04-06,4.8622
2000-04-07,-0.9274
2000-04-10,-10.2964
2000-04-11,8.6957
2000-04-12,-0.32
2000-04-13,-4.9759
2000-04-14,-1.6892
2000-04-17,-5.3265
2000-04-18,5.9891
2000-04-19,-0.8562
2000-04-20,3.9724
2000-04-24,0.6645
2000-04-25,-3.7954
2000-04-26,1.2006999999999999
2000-04-27,2.7119
2000-04-28,5.4455
2000-05-01,-1.8779
2000-05-02,1.4354
2000-05-03,-7.2327
2000-05-04,7.2881
2000-05-05,2.2117
2000-05-08,2.3184
2000-05-09,1.2085
2000-05-10,-2.2388
2000-05-11,1.8321
2000-05-12,1.4993
2000-05-15,2.5111
2000-05-16,-2.1614
2000-05-17,5.4492
2000-05-18,-0.5587
2000-05-19,-0.2809
2000-05-22,-4.2254
