ticker,BKNG UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,8.1794
2000-01-04,5.3659
2000-01-05,10.9954
2000-01-06,-4.0667
2000-01-07,-0.4348
2000-01-10,-5.2402
2000-01-11,-2.6498
2000-01-12,-3.1953
2000-01-13,0.978
2000-01-14,10.1695
2000-01-18,4.0659
2000-01-19,5.491
2000-01-20,-0.8008
2000-01-21,2.5227
2000-01-24,-5.6102
2000-01-25,5.0052
2000-01-26,5.2632
2000-01-27,-3.2075
2000-01-28,-7.0175
2000-01-31,-2.7254
2000-02-01,-1.2931
2000-02-02,4.0393
2000-02-03,0.0
2000-02-04,1.3641
2000-02-07,-0.207
2000-02-08,-3.6307
2000-02-09,0.6459
2000-02-10,-3.7433
2000-02-11,-4.2222
2000-02-14,0.9281
2000-02-15,-2.5286999999999997
2000-02-16,-0.1179
2000-02-17,3.8961
2000-02-18,-7.2727
2000-02-22,-1.7157
2000-02-23,3.4913
2000-02-24,9.3976
2000-02-25,0.3304
2000-02-28,-5.3787
2000-02-29,3.8283
2000-03-01,15.0838
2000-03-02,11.068
2000-03-03,4.8951
2000-03-06,20.25
2000-03-07,-12.8205
2000-03-08,11.3672
2000-03-09,6.995
2000-03-10,0.8672
2000-03-13,1.5211999999999999
2000-03-14,-1.0423
2000-03-15,-6.2541
2000-03-16,-1.1938
2000-03-17,2.3454
2000-03-20,-13.6806
2000-03-21,4.5857
2000-03-22,7.0769
2000-03-23,1.1494
2000-03-24,2.8409
2000-03-27,1.6575
2000-03-28,-5.5027
2000-03-29,-5.895
2000-03-30,-0.8403
2000-03-31,-1.3867
2000-04-03,-18.2812
2000-04-04,15.1052
2000-04-05,-4.402
2000-04-06,7.2111
2000-04-07,1.2156
2000-04-10,-6.6453
2000-04-11,-10.7204
2000-04-12,-7.5889
2000-04-13,3.3264
2000-04-14,-5.7596
2000-04-17,-11.0755
2000-04-18,22.9292
2000-04-19,1.6602000000000001
2000-04-20,4.3228
2000-04-24,-9.0239
2000-04-25,4.5547
2000-04-26,-1.0649
2000-04-27,1.6634
2000-04-28,-2.5987
2000-05-01,0.4941
2000-05-02,-6.3913
2000-05-03,-2.4947
2000-05-04,-0.1347
2000-05-05,-0.863
2000-05-08,-4.4614
2000-05-09,-3.5308
2000-05-10,-2.5974
2000-05-11,-4.0
2000-05-12,0.3788
2000-05-15,1.5093999999999999
2000-05-16,7.1871
2000-05-17,-6.2428
2000-05-18,-7.1517
2000-05-19,-4.9137
2000-05-22,-0.6983
