ticker,DPHIQ UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.7619
2000-01-04,-1.25
2000-01-05,-1.2658
2000-01-06,6.4103
2000-01-07,11.6466
2000-01-10,4.3165
2000-01-11,-6.8966
2000-01-12,3.7037
2000-01-13,6.7857
2000-01-14,-4.3478
2000-01-18,4.5455
2000-01-19,-5.0167
2000-01-20,1.7606000000000002
2000-01-21,-2.4221
2000-01-24,-2.8369
2000-01-25,-3.6496
2000-01-26,7.9545
2000-01-27,-2.1053
2000-01-28,-2.509
2000-01-31,1.8382
2000-02-01,0.722
2000-02-02,2.509
2000-02-03,-0.6993
2000-02-04,-1.4085
2000-02-07,0.3571
2000-02-08,0.3559
2000-02-09,-2.4823
2000-02-10,4.3636
2000-02-11,-6.6202
2000-02-14,5.9701
2000-02-15,-3.5211
2000-02-16,1.0949
2000-02-17,1.444
2000-02-18,-3.9146
2000-02-22,2.963
2000-02-23,2.1583
2000-02-24,-3.169
2000-02-25,-1.8182
2000-02-28,0.0
2000-02-29,-1.1111
2000-03-01,-2.6217
2000-03-02,-2.3077
2000-03-03,0.0
2000-03-06,3.9370000000000003
2000-03-07,-4.5455
2000-03-08,4.7619
2000-03-09,-3.7879
2000-03-10,1.9685000000000001
2000-03-13,-0.7722
2000-03-14,-2.3346
2000-03-15,2.3904
2000-03-16,2.3346
2000-03-17,-1.9011
2000-03-20,0.0
2000-03-21,-3.4884
2000-03-22,2.4577999999999998
2000-03-23,-1.5748
2000-03-24,0.4
2000-03-27,-0.7968
2000-03-28,0.8032
2000-03-29,1.5936
2000-03-30,1.1764999999999999
2000-03-31,-0.7752
2000-04-03,5.4687
2000-04-04,-3.7037
2000-04-05,0.3846
2000-04-06,8.4291
2000-04-07,-5.3004
2000-04-10,4.4776
2000-04-11,1.7856999999999998
2000-04-12,5.9649
2000-04-13,3.3113
2000-04-14,-9.9359
2000-04-17,8.8968
2000-04-18,7.8431
2000-04-19,-3.3333
2000-04-20,-1.5674000000000001
2000-04-24,1.2739
2000-04-25,4.717
2000-04-26,-3.3033
2000-04-27,-0.3106
2000-04-28,-4.6729
2000-05-01,2.9412000000000003
2000-05-02,-0.6349
2000-05-03,4.7923
2000-05-04,-2.439
2000-05-05,-5.9375
2000-05-08,3.9867
2000-05-09,1.278
2000-05-10,-3.1546
2000-05-11,-0.6515
2000-05-12,-0.3279
2000-05-15,-0.6579
2000-05-16,0.3311
2000-05-17,-2.9703
2000-05-18,0.0
2000-05-19,-4.4218
