ticker,CELG UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.3036
2000-01-04,-8.0332
2000-01-05,1.004
2000-01-06,-2.1869
2000-01-07,-0.813
2000-01-10,0.2049
2000-01-11,-4.499
2000-01-12,-2.7837
2000-01-13,5.0661
2000-01-14,6.7086
2000-01-18,0.0982
2000-01-19,-1.0795
2000-01-20,6.746
2000-01-21,-3.5316
2000-01-24,5.2023
2000-01-25,-1.4652
2000-01-26,19.7026
2000-01-27,-6.2112
2000-01-28,-2.9801
2000-01-31,-4.7782
2000-02-01,2.6882
2000-02-02,4.712
2000-02-03,3.1667
2000-02-04,17.7706
2000-02-07,5.0069
2000-02-08,4.2456
2000-02-09,7.7694
2000-02-10,-4.186
2000-02-11,14.9272
2000-02-14,-2.1119
2000-02-15,-1.8338999999999999
2000-02-16,17.8022
2000-02-17,6.7164
2000-02-18,-4.1958
2000-02-22,-1.4599
2000-02-23,4.2593
2000-02-24,-0.6217
2000-02-25,1.6533
2000-02-28,11.8242
2000-02-29,4.0881
2000-03-01,0.1511
2000-03-02,2.5641
2000-03-03,5.8824
2000-03-06,2.2569
2000-03-07,-3.4975
2000-03-08,-4.0113
2000-03-09,3.2625
2000-03-10,-4.2953
2000-03-13,-3.2641
2000-03-14,-19.1718
2000-03-15,-5.5977
2000-03-16,-3.1156
2000-03-17,6.1722
2000-03-20,-13.532
2000-03-21,6.4972
2000-03-22,11.1936
2000-03-23,-4.5802
2000-03-24,-1.5
2000-03-27,3.2487
2000-03-28,-17.9941
2000-03-29,-8.753
2000-03-30,-8.3443
2000-03-31,14.1935
2000-04-03,-4.5825
2000-04-04,-18.0263
2000-04-05,10.3531
2000-04-06,15.4182
2000-04-07,3.8437
2000-04-10,-3.6408
2000-04-11,1.8892
2000-04-12,-1.3597000000000001
2000-04-13,6.391
2000-04-14,-15.0766
2000-04-17,-7.2122
2000-04-18,20.6278
2000-04-19,11.5242
2000-04-20,-4.0
2000-04-24,-11.1111
2000-04-25,17.1875
2000-04-26,10.3333
2000-04-27,13.2931
2000-04-28,0.4
2000-05-01,0.664
2000-05-02,0.3958
2000-05-03,0.9198
2000-05-04,0.0
2000-05-05,5.7292
2000-05-08,-2.4631
2000-05-09,-2.5253
2000-05-10,-4.1451
2000-05-11,-0.5405
2000-05-12,2.8533
2000-05-15,-1.9815
2000-05-16,-0.2695
2000-05-17,-2.5676
2000-05-18,-7.767
2000-05-19,-6.4662
2000-05-22,-0.8039
2000-05-23,-4.5381
