ticker,CMCSA UA Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-11-19,1.3771
2002-11-26,-2.8765
2002-11-27,0.4114
2002-11-29,-3.5641
2002-12-02,2.5913
2002-12-03,-2.6501
2002-12-04,-0.9783
2002-12-05,2.7062
2002-12-06,3.0949
2002-12-10,-7.4239
2002-12-12,3.4181
2002-12-13,-2.3729
2002-12-16,5.599
2002-12-17,-0.9864
2002-12-19,1.0793
2002-12-23,-0.9856
2002-12-27,-3.1522
2002-12-30,-0.1285
2002-12-31,1.2006999999999999
2003-01-02,5.8051
2003-01-06,4.205
2003-01-07,-0.9992
2003-01-10,6.7547
2003-01-16,1.2727
2003-01-23,-5.7451
2003-01-27,-1.5619
2003-01-29,6.5402000000000005
2003-01-30,-3.1965
2003-02-04,-5.591
2003-02-05,2.4245
2003-02-06,1.9014
2003-02-07,1.409
2003-02-10,-5.5952
2003-02-11,3.4208
2003-02-18,2.7308
2003-02-21,-2.7331
2003-02-25,4.311
2003-02-27,2.5092
2003-03-06,1.5119
2003-03-10,-2.1986
2003-03-11,-1.0515
2003-03-14,3.6643
2003-03-17,5.6911000000000005
2003-03-21,2.0067
2003-03-28,-3.082
2003-04-02,0.3721
2003-04-04,-0.1011
2003-04-08,0.1012
2003-04-15,0.6404
2003-04-17,1.8418999999999999
2003-04-21,0.6248
2003-04-23,4.085
2003-04-24,0.1256
2003-04-25,-0.8153
2003-05-06,-5.1533
2003-05-29,1.6667
2003-06-02,-0.0984
2003-06-03,0.7877
2003-06-10,2.084
2003-06-11,3.7959
2003-06-16,5.04
2003-06-17,-1.9017
2003-06-19,-4.742
2003-06-20,-1.4715
2003-06-25,-1.3346
2003-07-02,-3.0596
2003-07-03,3.8205999999999998
2003-07-07,5.44
2003-07-09,-0.4552
2003-07-16,-2.7744
2003-07-22,-4.4842
2003-07-23,-2.8234
2003-07-24,0.8108
2003-07-29,3.6193
2003-08-01,-1.0349
2003-08-05,-2.7451
2003-08-13,-0.2016
2003-08-19,-1.6835
2003-08-26,0.137
2003-08-29,0.513
2003-09-09,4.5934
2003-09-15,-1.8542999999999998
2003-10-03,7.4909
2003-10-09,-1.3259
2003-10-13,0.3125
2003-10-30,4.0498
2003-11-05,-2.0958
2003-11-06,-0.8257
2003-11-07,2.8369
2003-11-13,-4.9475
2003-11-14,1.1987
2003-11-20,-2.6808
2003-12-03,1.8898000000000001
2003-12-05,-1.3832
2003-12-11,0.1594
2003-12-16,0.8912
2003-12-18,-0.7571
2003-12-19,0.6039
