ticker,2307532Q UQ Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.1327
2000-01-04,-1.3921000000000001
2000-01-05,0.8235
2000-01-06,0.3501
2000-01-07,-5.1163
2000-01-10,-0.9804
2000-01-11,-2.2277
2000-01-12,-5.3165
2000-01-13,9.893
2000-01-14,1.9465
2000-01-18,2.864
2000-01-19,-3.0162
2000-01-20,4.7847
2000-01-21,3.4247
2000-01-24,-10.1545
2000-01-25,7.6167
2000-01-26,0.0
2000-01-27,0.0
2000-01-28,0.2283
2000-01-31,0.5695
2000-02-01,4.1903
2000-02-02,3.9130000000000003
2000-02-03,5.0209
2000-02-04,-0.5976
2000-02-07,2.2044
2000-02-08,0.3922
2000-02-09,-7.0313
2000-02-10,3.3613
2000-02-11,-2.9472
2000-02-14,4.6073
2000-02-15,2.5025
2000-02-16,-1.7578
2000-02-17,7.9523
2000-02-18,-2.5783
2000-02-22,-1.7013
2000-02-23,0.5769
2000-02-24,4.2065
2000-02-25,-1.6514
2000-02-28,-4.4776
2000-02-29,6.0547
2000-03-01,-4.7882
2000-03-02,-2.0309
2000-03-03,7.0089
2000-03-06,-4.797
2000-03-07,-2.1318
2000-03-08,7.3267
2000-03-09,-0.9225
2000-03-10,-0.9311
2000-03-13,-4.5113
2000-03-14,-1.9685000000000001
2000-03-15,2.4096
2000-03-16,7.0588
2000-03-17,0.3663
2000-03-20,4.3796
2000-03-21,14.8601
2000-03-22,-2.1309
2000-03-23,-2.0218
2000-03-24,-0.3175
2000-03-27,0.6369
2000-03-28,6.3291
2000-03-29,-3.8689999999999998
2000-03-30,-4.644
2000-03-31,11.3636
2000-04-03,-3.207
2000-04-04,-3.7651
2000-04-05,-5.3208
2000-04-06,3.4711
2000-04-07,11.3419
2000-04-10,-4.4475999999999996
2000-04-11,1.3514
2000-04-12,-2.3704
2000-04-13,-3.7936
2000-04-14,-10.4101
2000-04-17,18.3099
2000-04-18,-1.0417
2000-04-19,3.0075
2000-04-20,-6.7153
2000-04-24,-2.0344
2000-04-25,11.5016
2000-04-26,-5.5874
2000-04-27,-1.3657
2000-04-28,-13.0769
2000-05-01,1.0619
2000-05-02,-9.6322
2000-05-03,-6.5891
2000-05-04,9.3361
2000-05-05,2.277
2000-05-08,-3.154
2000-05-09,1.5326
2000-05-10,-6.0377
2000-05-11,6.6265
2000-05-12,-2.4482
2000-05-15,5.4054
2000-05-16,-0.1832
2000-05-17,-0.9174
2000-05-18,-5.0
2000-05-19,-3.8986
2000-05-22,0.2028
