ticker,IBM UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,7.0023
2000-01-04,-3.0287
2000-01-05,5.5215
2000-01-06,-0.8457
2000-01-07,-3.1983
2000-01-10,4.3502
2000-01-11,0.3694
2000-01-12,0.8412
2000-01-13,-1.3556
2000-01-14,1.2156
2000-01-18,-3.4465
2000-01-19,-0.0541
2000-01-20,5.5195
2000-01-21,-0.5128
2000-01-24,-2.6289
2000-01-25,1.2176
2000-01-26,-2.1967
2000-01-27,-2.8342
2000-01-28,-1.7610999999999999
2000-01-31,0.5602
2000-02-01,-2.2841
2000-02-02,3.5918
2000-02-03,3.2471
2000-02-04,-1.3859
2000-02-07,-1.2973
2000-02-08,4.3768
2000-02-09,-1.5756000000000001
2000-02-10,1.7076
2000-02-11,-3.2004
2000-02-14,0.5962
2000-02-15,0.7543
2000-02-16,-1.0695000000000001
2000-02-17,1.1892
2000-02-18,-3.7393
2000-02-22,-1.3873
2000-02-23,-2.0822
2000-02-24,1.954
2000-02-25,-4.7351
2000-02-28,-1.1243
2000-02-29,-2.3339
2000-03-01,-1.5319
2000-03-02,2.9247
2000-03-03,5.4414
2000-03-06,-5.4472
2000-03-07,-0.3032
2000-03-08,3.0414
2000-03-09,1.6529
2000-03-10,-2.3810000000000002
2000-03-13,2.4985
2000-03-14,1.2187999999999999
2000-03-15,-2.2936
2000-03-16,2.4061
2000-03-17,0.8023
2000-03-20,2.6151
2000-03-21,0.554
2000-03-22,0.8264
2000-03-23,0.4918
2000-03-24,5.2746
2000-03-27,4.5971
2000-03-28,-3.4074
2000-03-29,-2.454
2000-03-30,2.7254
2000-03-31,-3.6734999999999998
2000-04-03,3.2839
2000-04-04,-0.7179
2000-04-05,2.0145
2000-04-06,-0.2532
2000-04-07,-0.0508
2000-04-10,-0.711
2000-04-11,-2.6087
2000-04-12,-5.5147
2000-04-13,-1.7231999999999998
2000-04-14,-5.8824
2000-04-17,7.9327
2000-04-18,2.5612
2000-04-19,-9.2291
2000-04-20,-0.4785
2000-04-24,1.9231
2000-04-25,5.7783
2000-04-26,-1.1706
2000-04-27,-0.3384
2000-04-28,1.0753
2000-05-01,0.28
2000-05-02,-0.5025
2000-05-03,-3.0303
2000-05-04,-0.3472
2000-05-05,0.2904
2000-05-08,2.0313
2000-05-09,-0.9091
2000-05-10,-4.7592
2000-05-11,0.2408
2000-05-12,0.4204
2000-05-15,-0.299
2000-05-16,4.6190999999999995
2000-05-17,-1.3761
2000-05-18,-1.3372
