ticker,CIEN UA Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-10-25,-0.2695
2002-10-28,-4.0541
2002-10-29,-11.5493
2002-10-30,13.3758
2002-10-31,7.5843
2002-11-01,13.8381
2002-11-04,-9.862400000000001
2002-11-05,4.8346
2002-11-06,4.3689
2002-11-07,-6.0465
2002-11-08,-1.2376
2002-11-11,-11.7794
2002-11-12,4.5455
2002-11-13,11.1413
2002-11-14,18.3374
2002-11-15,-4.5455
2002-11-18,-2.1645
2002-11-19,-6.4159
2002-11-20,5.4374
2002-11-21,8.520199999999999
2002-11-22,14.876
2002-11-25,8.4532
2002-11-26,-5.6385
2002-11-27,11.9508
2002-11-29,2.3548
2002-12-02,1.5337
2002-12-03,-9.6677
2002-12-04,-2.8428
2002-12-05,2.2375
2002-12-06,0.1684
2002-12-09,-12.7731
2002-12-10,2.8902
2002-12-11,-3.5581
2002-12-12,18.6408
2002-12-13,-2.1277
2002-12-16,-3.8462
2002-12-17,3.1304
2002-12-18,-6.7454
2002-12-19,2.8933
2002-12-20,-3.3392
2002-12-23,0.3636
2002-12-24,1.2681
2002-12-26,-1.9678
2002-12-27,-1.4599
2002-12-30,-2.4074
2002-12-31,-2.6565
2003-01-02,10.3314
2003-01-03,-0.3534
2003-01-06,13.6525
2003-01-07,-0.312
2003-01-08,-1.5649
2003-01-09,6.3593
2003-01-10,10.6129
2003-01-13,0.5405
2003-01-14,-0.5376
2003-01-15,-4.4595
2003-01-16,-2.9703
2003-01-17,-8.7464
2003-01-21,3.8339
2003-01-22,-3.5385
2003-01-23,-1.2759
2003-01-24,3.0695
2003-01-27,-6.1129
2003-01-28,6.5109
2003-01-29,-3.7618
2003-01-30,-2.443
2003-01-31,0.1669
2003-02-03,-2.1667
2003-02-04,-5.1107
2003-02-05,1.0772
2003-02-06,-2.8419
2003-02-07,0.5484
2003-02-10,2.1818
2003-02-11,2.669
2003-02-12,-3.9861
2003-02-13,-1.444
2003-02-14,1.6484
2003-02-18,3.6036
2003-02-19,-3.6522
2003-02-20,-1.9856
2003-02-21,-3.4991
2003-02-24,0.7634
2003-02-25,-2.2727
2003-02-26,5.0388
2003-02-27,-2.0295
2003-02-28,1.1299
2003-03-03,1.8622
2003-03-04,-3.6563
2003-03-05,-0.9488
2003-03-06,0.1916
2003-03-07,0.7648
2003-03-10,-2.0873
2003-03-11,-5.4264
2003-03-12,-9.8361
2003-03-13,5.6818
2003-03-14,4.5161
2003-03-17,4.9383
2003-03-18,0.1961
