ticker,WBA UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-01-02,-0.2625
2015-01-05,-1.9737
2015-01-06,0.255
2015-01-07,2.5572
2015-01-08,1.2402
2015-01-09,-2.4242
2015-01-12,0.0396
2015-01-13,-0.5812
2015-01-14,-0.3588
2015-01-15,-0.28
2015-01-16,1.6716
2015-01-20,0.0263
2015-01-21,-0.6049
2015-01-22,0.5689
2015-01-23,-0.5656
2015-01-26,0.3307
2015-01-27,-1.1999
2015-01-28,-1.5481
2015-01-29,1.0845
2015-01-30,-1.0996
2015-02-02,1.5457999999999998
2015-02-03,-0.1335
2015-02-04,-0.1604
2015-02-05,0.1607
2015-02-06,1.8184
2015-02-09,0.3283
2015-02-10,0.3796
2015-02-11,3.7032
2015-02-12,0.5407
2015-02-13,-1.1162
2015-02-17,-0.9272
2015-02-18,-0.2692
2015-02-19,-0.887
2015-02-20,0.0389
2015-02-23,1.8929
2015-02-24,2.2904
2015-02-25,-0.4727
2015-02-26,2.0497
2015-02-27,1.7513999999999998
2015-03-02,0.65
2015-03-03,-0.4903
2015-03-04,-0.2283
2015-03-05,0.2168
2015-03-06,-1.0216
2015-03-09,1.3965
2015-03-10,-0.9341
2015-03-11,-0.2539
2015-03-12,2.1088
2015-03-13,-0.6291
2015-03-16,3.6431
2015-03-17,-0.5878
2015-03-18,1.0665
2015-03-19,0.2065
2015-03-20,0.9959
2015-03-23,-0.3514
2015-03-24,0.091
2015-03-25,-2.4091
2015-03-26,-1.6768
2015-03-27,1.0066
2015-03-30,0.8207
2015-03-31,-1.5234
2015-04-01,-0.496
2015-04-02,2.0294
2015-04-06,2.3729
2015-04-07,-0.8295
2015-04-08,0.4583
2015-04-09,5.6341
2015-04-10,-0.6478
2015-04-13,-0.3369
2015-04-14,0.2944
2015-04-15,-0.4784
2015-04-16,-2.2067
2015-04-17,-2.8597
2015-04-20,0.184
2015-04-21,-0.0344
2015-04-22,-0.0804
2015-04-23,-0.3792
2015-04-24,-0.819
2015-04-27,0.1628
2015-04-28,-0.0464
2015-04-29,-1.7542
2015-04-30,-1.9392
2015-05-01,0.6391
2015-05-04,0.8028
2015-05-05,-1.1768
2015-05-06,-0.0481
2015-05-07,1.3598
2015-05-08,0.9379
2015-05-11,-0.9057
2015-05-12,-0.0831
2015-05-13,-0.1307
2015-05-14,1.5225
2015-05-15,1.3122
2015-05-18,-0.1272
2015-05-19,-0.2113
2015-05-20,-1.1067
2015-05-21,2.6505
2015-05-22,-0.7918
