ticker,VRSK UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-10-08,-2.2777
2009-10-09,-0.7519
2009-10-12,-0.5682
2009-10-13,3.581
2009-10-14,2.9423
2009-10-15,1.1433
2009-10-16,0.9537
2009-10-19,-3.7789
2009-10-20,2.0364
2009-10-21,-0.2138
2009-10-22,-0.3929
2009-10-23,1.721
2009-10-26,0.282
2009-10-27,0.3866
2009-10-28,-3.0462
2009-10-29,0.7223
2009-10-30,-1.6493
2009-11-02,-0.2187
2009-11-03,-0.0365
2009-11-04,-1.462
2009-11-05,1.2610999999999999
2009-11-06,-0.7326
2009-11-09,1.7711999999999999
2009-11-10,0.3263
2009-11-11,4.7344
2009-11-12,-0.2761
2009-11-13,0.0
2009-11-16,-0.173
2009-11-17,-3.4662
2009-11-18,2.3339
2009-11-19,0.1404
2009-11-20,0.035
2009-11-23,-0.5254
2009-11-24,-2.1831
2009-11-25,-1.7279
2009-11-27,-1.1355
2009-11-30,-0.2964
2009-12-01,3.233
2009-12-02,-0.9719
2009-12-03,0.7634
2009-12-04,2.5613
2009-12-07,1.0904
2009-12-08,-0.4523
2009-12-09,0.1398
2009-12-10,-0.8726
2009-12-11,0.9155
2009-12-14,1.1514
2009-12-15,1.0693
2009-12-16,3.7201
2009-12-17,0.0329
2009-12-18,0.5263
2009-12-21,-0.1963
2009-12-22,0.2623
2009-12-23,0.327
2009-12-24,0.3911
2009-12-28,0.5195
2009-12-29,0.1292
2009-12-30,0.0
2009-12-31,-2.3226
2010-01-04,-1.4201
2010-01-05,0.67
2010-01-06,1.2978
2010-01-07,-0.1643
2010-01-08,-1.2833
2010-01-11,-0.2333
2010-01-12,0.7685
2010-01-13,-0.0332
2010-01-14,-0.796
2010-01-15,-3.2096
2010-01-19,-3.4542
2010-01-20,0.1431
2010-01-21,0.1786
2010-01-22,-0.107
2010-01-25,-0.2142
2010-01-26,1.4311
2010-01-27,1.94
2010-01-28,-0.4498
2010-01-29,-2.2593
2010-02-01,1.0313
2010-02-02,-1.5838999999999999
2010-02-03,0.1073
2010-02-04,-1.0004
2010-02-05,-0.0361
2010-02-08,-0.2527
2010-02-09,0.76
2010-02-10,0.0
2010-02-11,0.6466
2010-02-12,1.035
2010-02-16,-0.2119
2010-02-17,-1.0973
2010-02-18,0.2147
2010-02-19,0.0357
2010-02-22,0.8211
2010-02-23,-0.8144
2010-02-24,-0.1785
2010-02-25,0.0715
2010-02-26,1.1437
2010-03-01,0.3534
2010-03-02,-1.338
