ticker,ADBE UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.5093
2000-01-04,-8.3889
2000-01-05,1.9771
2000-01-06,0.8163
2000-01-07,4.8583
2000-01-10,3.8609999999999998
2000-01-11,-6.8773
2000-01-12,-0.499
2000-01-13,5.3159
2000-01-14,1.0476
2000-01-18,-3.4873
2000-01-19,-1.3672
2000-01-20,1.0891
2000-01-21,-1.4691
2000-01-24,-3.6779
2000-01-25,4.0248
2000-01-26,-2.877
2000-01-27,2.4515000000000002
2000-01-28,-8.1755
2000-01-31,-4.3431
2000-02-01,1.4756
2000-02-02,9.7315
2000-02-03,12.6402
2000-02-04,7.1493
2000-02-07,4.1385
2000-02-08,8.678
2000-02-09,4.5522
2000-02-10,4.2113
2000-02-11,-0.8904
2000-02-14,-0.8984
2000-02-15,-0.8368
2000-02-16,10.4782
2000-02-17,3.4373
2000-02-18,-3.2615
2000-02-22,0.0318
2000-02-23,1.3672
2000-02-24,6.7754
2000-02-25,-7.4031
2000-02-28,-0.698
2000-02-29,4.2812
2000-03-01,-1.5931
2000-03-02,-19.6762
2000-03-03,12.4031
2000-03-06,-5.3103
2000-03-07,-5.3897
2000-03-08,-2.6174
2000-03-09,-1.1858
2000-03-10,6.5600000000000005
2000-03-13,-1.3514
2000-03-14,-0.8371
2000-03-15,2.6094
2000-03-16,13.0142
2000-03-17,-7.1476
2000-03-20,-0.2851
2000-03-21,4.8606
2000-03-22,11.2474
2000-03-23,4.4975
2000-03-24,1.5249000000000001
2000-03-27,5.026
2000-03-28,-2.2002
2000-03-29,0.225
2000-03-30,-3.7598000000000003
2000-03-31,3.8484
2000-04-03,-5.1656
2000-04-04,-3.6116
2000-04-05,5.344
2000-04-06,6.9388
2000-04-07,9.0513
2000-04-10,-6.25
2000-04-11,1.9733
2000-04-12,-6.2238
2000-04-13,1.3385
2000-04-14,-13.869
2000-04-17,15.8466
2000-04-18,3.2543
2000-04-19,-3.7393
2000-04-20,0.0
2000-04-24,-6.9922
2000-04-25,14.5585
2000-04-26,-4.2708
2000-04-27,7.4538
2000-04-28,-2.0253
2000-05-01,8.062
2000-05-02,-11.6212
2000-05-03,-2.3810000000000002
2000-05-04,1.0532
2000-05-05,5.0466
2000-05-08,-8.6162
2000-05-09,2.6856999999999998
2000-05-10,-5.4535
2000-05-11,2.06
2000-05-12,-0.173
2000-05-15,1.6753
2000-05-16,12.6136
2000-05-17,-2.8759
2000-05-18,-4.4156
2000-05-19,-4.7283
2000-05-22,0.1141
