ticker,EMR UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.3268
2000-01-04,-1.1944
2000-01-05,1.8681
2000-01-06,2.8047
2000-01-07,4.5121
2000-01-10,-5.2209
2000-01-11,-0.2119
2000-01-12,1.38
2000-01-13,3.0366
2000-01-14,-0.9146
2000-01-18,-1.2308
2000-01-19,2.4922
2000-01-20,-2.0263
2000-01-21,-0.6205
2000-01-24,-2.8096
2000-01-25,-2.0343
2000-01-26,-1.2022
2000-01-27,-1.4381
2000-01-28,0.5612
2000-01-31,-1.6741000000000001
2000-02-01,-0.7946
2000-02-02,-2.0595
2000-02-03,1.4019
2000-02-04,-4.9539
2000-02-07,-3.1515
2000-02-08,-0.1252
2000-02-09,-3.7594
2000-02-10,-2.7344
2000-02-11,-0.6693
2000-02-14,0.0
2000-02-15,3.6388
2000-02-16,2.5644
2000-02-17,0.894
2000-02-18,1.2658
2000-02-22,-0.5
2000-02-23,-2.3869
2000-02-24,-0.2574
2000-02-25,-1.6774
2000-02-28,-2.3622
2000-02-29,-2.0161
2000-03-01,-2.0576
2000-03-02,-1.2605
2000-03-03,-0.9929
2000-03-06,-3.7249
2000-03-07,-0.2976
2000-03-08,0.2985
2000-03-09,-1.1905000000000001
2000-03-10,-0.9036
2000-03-13,3.7994
2000-03-14,-0.8785
2000-03-15,2.3634
2000-03-16,6.0606
2000-03-17,-2.0408
2000-03-20,4.3056
2000-03-21,-1.7309999999999999
2000-03-22,-2.168
2000-03-23,3.7396000000000003
2000-03-24,1.3351
2000-03-27,-1.054
2000-03-28,0.5326
2000-03-29,3.1788
2000-03-30,9.371
2000-03-31,-0.7042
2000-04-03,0.591
2000-04-04,4.1128
2000-04-05,-1.3544
2000-04-06,1.0297
2000-04-07,-0.6795
2000-04-10,0.114
2000-04-11,4.2141
2000-04-12,-1.2022
2000-04-13,0.885
2000-04-14,-4.7149
2000-04-17,1.3809
2000-04-18,-1.7026
2000-04-19,-3.3487
2000-04-20,0.4779
2000-04-24,2.497
2000-04-25,4.2923
2000-04-26,-3.1146
2000-04-27,0.3444
2000-04-28,0.4577
2000-05-01,1.5945
2000-05-02,-0.5605
2000-05-03,-3.1567
2000-05-04,1.0477
2000-05-05,0.3456
2000-05-08,1.3777
2000-05-09,1.0193
2000-05-10,-0.8161
2000-05-11,1.5927
2000-05-12,0.4479
2000-05-15,3.5674
2000-05-16,0.1076
2000-05-17,-2.2580999999999998
2000-05-18,0.44
2000-05-19,0.1095
2000-05-22,0.0
