date,CDW UW Equity
2013-07-01,-1.5038
2013-07-02,4.7983
2013-07-03,-0.7284
2013-07-04,
2013-07-05,0.7338
2013-07-06,
2013-07-07,
2013-07-08,0.052
2013-07-09,1.4041000000000001
2013-07-10,-2.0513
2013-07-11,2.5131
2013-07-12,-0.3575
2013-07-13,
2013-07-14,
2013-07-15,0.2563
2013-07-16,2.7607
2013-07-17,1.3433
2013-07-18,2.2582
2013-07-19,0.048
2013-07-20,
2013-07-21,
2013-07-22,-2.3992
2013-07-23,-0.59
2013-07-24,1.7309999999999999
2013-07-25,6.8546
2013-07-26,-1.7743
2013-07-27,
2013-07-28,
2013-07-29,0.5095
2013-07-30,-0.4608
2013-07-31,-0.463
2013-08-01,0.7442
2013-08-02,3.5549
2013-08-03,
2013-08-04,
2013-08-05,1.605
2013-08-06,0.0878
2013-08-07,0.6138
2013-08-08,0.5229
2013-08-09,-0.0867
2013-08-10,
2013-08-11,
2013-08-12,0.4772
2013-08-13,1.0363
2013-08-14,-0.1709
2013-08-15,-1.5411000000000001
2013-08-16,0.2174
2013-08-17,
2013-08-18,
2013-08-19,0.1735
2013-08-20,0.0866
2013-08-21,-0.3462
2013-08-22,-0.0868
2013-08-23,1.1299
2013-08-24,
2013-08-25,
2013-08-26,-1.2462
2013-08-27,-3.3072
2013-08-28,-1.0801
2013-08-29,0.455
2013-08-30,-0.6793
2013-08-31,
2013-09-01,
2013-09-02,
2013-09-03,2.7359999999999998
2013-09-04,2.1305
2013-09-05,1.3472
2013-09-06,-0.3431
2013-09-07,
2013-09-08,
2013-09-09,-1.2048
2013-09-10,0.3049
2013-09-11,1.6934
2013-09-12,-1.4518
2013-09-13,1.8197999999999999
2013-09-14,
2013-09-15,
2013-09-16,1.5745
2013-09-17,-2.6812
2013-09-18,2.4107
2013-09-19,-1.3871
2013-09-20,-2.4297
2013-09-21,
2013-09-22,
2013-09-23,4.1066
2013-09-24,1.9723000000000002
2013-09-25,-0.6996
2013-09-26,-0.5802
2013-09-27,-0.0417
2013-09-28,
2013-09-29,
2013-09-30,-4.7957
2013-10-01,1.6207
2013-10-02,-1.8103
2013-10-03,2.3705
2013-10-04,0.1286
2013-10-05,
2013-10-06,
2013-10-07,-1.2848
2013-10-08,0.3037
2013-10-09,-1.9031
2013-10-10,1.6314
2013-10-11,-0.2603
2013-10-12,
2013-10-13,
2013-10-14,-0.9134
2013-10-15,-0.5707
2013-10-16,0.0883
2013-10-17,0.4852
2013-10-18,0.9219
2013-10-19,
2013-10-20,
2013-10-21,-1.8704
2013-10-22,1.0638
2013-10-23,-0.3509
2013-10-24,-3.125
2013-10-25,0.6361
2013-10-26,
2013-10-27,
2013-10-28,-0.4515
2013-10-29,-0.4535
2013-10-30,0.6834
2013-10-31,-0.4977
2013-11-01,0.2729
2013-11-02,
2013-11-03,
2013-11-04,4.0363
2013-11-05,0.2616
2013-11-06,-0.0435
2013-11-07,-0.0435
2013-11-08,-0.1305
2013-11-09,
2013-11-10,
2013-11-11,-5.3595
2013-11-12,-2.9006
2013-11-13,-1.1261
2013-11-14,-0.7208
2013-11-15,4.453
2013-11-16,
2013-11-17,
2013-11-18,-1.2048
2013-11-19,-0.2814
2013-11-20,2.2107
2013-11-21,1.1965
2013-11-22,0.8186
2013-11-23,
2013-11-24,
2013-11-25,0.5864
2013-11-26,-0.4036
2013-11-27,-0.045
2013-11-28,
2013-11-29,0.4505
2013-11-30,
2013-12-01,
2013-12-02,0.7175
2013-12-03,0.0
2013-12-04,1.959
2013-12-05,-1.7031
2013-12-06,0.3554
2013-12-07,
2013-12-08,
2013-12-09,0.1328
2013-12-10,-0.5747
2013-12-11,-0.6225
2013-12-12,0.8949
2013-12-13,-1.3304
2013-12-14,
2013-12-15,
2013-12-16,0.8989
2013-12-17,-1.3363
2013-12-18,1.0835
2013-12-19,-1.4739
2013-12-20,1.7226
2013-12-21,
2013-12-22,
2013-12-23,-0.6684
2013-12-24,1.4805
2013-12-25,
2013-12-26,1.2378
2013-12-27,0.4367
2013-12-28,
2013-12-29,
2013-12-30,0.9565
2013-12-31,0.6029
2014-01-01,
2014-01-02,0.0856
2014-01-03,-0.0428
2014-01-04,
2014-01-05,
2014-01-06,1.626
2014-01-07,0.9684
2014-01-08,0.0
2014-01-09,2.1685
2014-01-10,1.5510000000000002
2014-01-11,
2014-01-12,
2014-01-13,-0.7637
2014-01-14,-0.8505
2014-01-15,-0.0817
2014-01-16,0.0409
2014-01-17,-0.1226
2014-01-18,
2014-01-19,
2014-01-20,
2014-01-21,1.4729999999999999
2014-01-22,-1.2097
2014-01-23,-0.6122
2014-01-24,-2.9979
2014-01-25,
2014-01-26,
2014-01-27,-1.3548
2014-01-28,1.7167
2014-01-29,-3.038
2014-01-30,2.5674
2014-01-31,0.4243
2014-02-01,
2014-02-02,
2014-02-03,-2.4926
2014-02-04,1.2565
2014-02-05,-0.2995
2014-02-06,0.4292
2014-02-07,0.641
2014-02-08,
2014-02-09,
2014-02-10,-1.741
2014-02-11,-0.2593
2014-02-12,2.5563000000000002
2014-02-13,4.943
2014-02-14,-2.1337
2014-02-15,
2014-02-16,
2014-02-17,
2014-02-18,1.4397
2014-02-19,0.1622
2014-02-20,0.2429
2014-02-21,-0.2726
2014-02-22,
2014-02-23,
2014-02-24,-0.0406
2014-02-25,-1.4205
2014-02-26,1.8114
2014-02-27,3.2754
2014-02-28,2.4667
2014-03-01,
2014-03-02,
2014-03-03,-0.9171
2014-03-04,0.8099
2014-03-05,2.1423
2014-03-06,0.3745
2014-03-07,-3.9179
2014-03-08,
2014-03-09,
2014-03-10,-0.2718
2014-03-11,-0.3505
2014-03-12,-0.7816
2014-03-13,-2.1268
2014-03-14,-0.2414
2014-03-15,
2014-03-16,
2014-03-17,2.743
2014-03-18,-0.1178
2014-03-19,0.2358
2014-03-20,-0.4314
2014-03-21,-0.2757
2014-03-22,
2014-03-23,
2014-03-24,-0.1185
2014-03-25,3.7960000000000003
2014-03-26,0.2667
2014-03-27,0.152
2014-03-28,1.3277999999999999
2014-03-29,
2014-03-30,
2014-03-31,2.7331
2014-04-01,3.6079
2014-04-02,0.598
2014-04-03,-1.8881000000000001
2014-04-04,-0.3207
2014-04-05,
2014-04-06,
2014-04-07,-1.4659
2014-04-08,-0.6894
2014-04-09,3.2517
2014-04-10,-1.1677
2014-04-11,-1.9334
2014-04-12,
2014-04-13,
2014-04-14,0.5842
2014-04-15,0.98
2014-04-16,1.9051
2014-04-17,0.3175
2014-04-18,
2014-04-19,
2014-04-20,
2014-04-21,-0.1055
2014-04-22,0.88
2014-04-23,-0.3489
2014-04-24,-0.5602
2014-04-25,-1.9718
2014-04-26,
2014-04-27,
2014-04-28,0.431
2014-04-29,-0.2504
2014-04-30,1.0757
2014-05-01,0.0709
2014-05-02,0.4608
2014-05-03,
2014-05-04,
2014-05-05,0.7057
2014-05-06,-1.4015
2014-05-07,-1.3859
2014-05-08,3.3514
2014-05-09,2.1618
2014-05-10,
2014-05-11,
2014-05-12,2.4573
2014-05-13,-0.433
2014-05-14,-0.8029
2014-05-15,0.2024
2014-05-16,0.4376
2014-05-17,
2014-05-18,
2014-05-19,-1.4075
