date,CSX UW Equity
2015-12-24,-0.0383
2015-12-25,
2015-12-26,
2015-12-27,
2015-12-28,-0.7271
2015-12-29,1.6962000000000002
2015-12-30,-1.8195999999999999
2015-12-31,0.1931
2016-01-01,
2016-01-02,
2016-01-03,
2016-01-04,-0.6166
2016-01-05,-1.0081
2016-01-06,-4.5437
2016-01-07,-3.0776
2016-01-08,-0.5927
2016-01-09,
2016-01-10,
2016-01-11,0.1704
2016-01-12,0.7653
2016-01-13,-5.6962
2016-01-14,4.0716
2016-01-15,-2.1496
2016-01-16,
2016-01-17,
2016-01-18,
2016-01-19,-0.1318
2016-01-20,-1.9358
2016-01-21,0.314
2016-01-22,0.2683
2016-01-23,
2016-01-24,
2016-01-25,-2.0071
2016-01-26,1.3655
2016-01-27,-1.3471
2016-01-28,1.8207
2016-01-29,2.9057
2016-01-30,
2016-01-31,
2016-02-01,-0.695
2016-02-02,-3.6308
2016-02-03,1.498
2016-02-04,3.0859
2016-02-05,-0.9544
2016-02-06,
2016-02-07,
2016-02-08,0.7884
2016-02-09,3.781
2016-02-10,1.0469
2016-02-11,-2.9838
2016-02-12,3.3319
2016-02-13,
2016-02-14,
2016-02-15,
2016-02-16,2.3563
2016-02-17,0.2827
2016-02-18,-0.0403
2016-02-19,-1.249
2016-02-20,
2016-02-21,
2016-02-22,3.2232
2016-02-23,-3.6364
2016-02-24,0.4512
2016-02-25,0.2042
2016-02-26,-0.2053
2016-02-27,
2016-02-28,
2016-02-29,-0.6993
2016-03-01,2.0713
2016-03-02,-0.3653
2016-03-03,1.4257
2016-03-04,1.3253
2016-03-05,
2016-03-06,
2016-03-07,1.2287
2016-03-08,-3.289
2016-03-09,1.5385
2016-03-10,0.8373
2016-03-11,3.2028
2016-03-12,
2016-03-13,
2016-03-14,0.3065
2016-03-15,-0.8785
2016-03-16,0.8863
2016-03-17,1.9481000000000002
2016-03-18,1.2364
2016-03-19,
2016-03-20,
2016-03-21,-1.3323
2016-03-22,-1.0878
2016-03-23,-1.9340000000000002
2016-03-24,1.1988
2016-03-25,
2016-03-26,
2016-03-27,
