date,CSRA UN Equity
2015-11-18,2.4
2015-11-19,-1.262
2015-11-20,-2.0085
2015-11-21,
2015-11-22,
2015-11-23,0.9006
2015-11-24,0.0308
2015-11-25,-6.4923
2015-11-26,
2015-11-27,-3.8829000000000002
2015-11-28,
2015-11-29,
2015-11-30,7.874
2015-12-01,-2.9832
2015-12-02,0.6215
2015-12-03,-4.4213000000000005
2015-12-04,-1.3605
2015-12-05,
2015-12-06,
2015-12-07,-1.2759
2015-12-08,-2.5148
2015-12-09,0.6091
2015-12-10,1.6381999999999999
2015-12-11,1.3315000000000001
2015-12-12,
2015-12-13,
2015-12-14,-1.7288999999999999
2015-12-15,-3.1316
2015-12-16,-0.3269
2015-12-17,-2.8061
2015-12-18,2.9621
2015-12-19,
2015-12-20,
2015-12-21,-0.3642
2015-12-22,-1.0234
2015-12-23,-0.2585
2015-12-24,3.7394
2015-12-25,
2015-12-26,
2015-12-27,
2015-12-28,5.2463
2015-12-29,0.3391
2015-12-30,0.8787
2015-12-31,0.8375
2016-01-01,
2016-01-02,
2016-01-03,
2016-01-04,-2.7333
2016-01-05,-2.2961
2016-01-06,-1.5784
2016-01-07,-2.1026
2016-01-08,0.8009
2016-01-09,
2016-01-10,
2016-01-11,1.4445999999999999
2016-01-12,3.3108
2016-01-13,-0.8959
2016-01-14,1.3561
2016-01-15,-2.5042999999999997
2016-01-16,
2016-01-17,
2016-01-18,
2016-01-19,1.4075
2016-01-20,-3.1228
2016-01-21,-4.0115
2016-01-22,3.9179
2016-01-23,
2016-01-24,
2016-01-25,-4.8474
2016-01-26,1.1698
2016-01-27,-2.6109999999999998
2016-01-28,-0.8426
2016-01-29,3.4375999999999998
2016-01-30,
2016-01-31,
2016-02-01,0.112
2016-02-02,-1.3054999999999999
2016-02-03,-1.096
2016-02-04,-1.2610000000000001
2016-02-05,-4.644
2016-02-06,
2016-02-07,
2016-02-08,-7.1023
2016-02-09,-2.4028
2016-02-10,0.0
2016-02-11,10.8326
2016-02-12,3.9984
2016-02-13,
2016-02-14,
2016-02-15,
2016-02-16,-1.7086999999999999
2016-02-17,0.2371
2016-02-18,1.8526
2016-02-19,1.1223
2016-02-20,
2016-02-21,
2016-02-22,2.1431
2016-02-23,-1.8359
2016-02-24,-1.7176
2016-02-25,3.068
2016-02-26,0.2261
2016-02-27,
2016-02-28,
2016-02-29,-2.4436
2016-03-01,-0.5395
2016-03-02,-0.0387
2016-03-03,1.2403
2016-03-04,-1.1485
2016-03-05,
2016-03-06,
2016-03-07,1.4717
2016-03-08,-2.6336
2016-03-09,-0.7056
2016-03-10,-2.6451000000000002
2016-03-11,1.4193
2016-03-12,
2016-03-13,
2016-03-14,0.5998
2016-03-15,-0.3577
2016-03-16,-1.6354
2016-03-17,0.5677
2016-03-18,-1.1694
2016-03-19,
2016-03-20,
2016-03-21,0.3264
2016-03-22,-1.6267
2016-03-23,-0.0827
2016-03-24,0.7861
2016-03-25,
2016-03-26,
2016-03-27,
2016-03-28,6.1576
2016-03-29,2.7069
2016-03-30,2.372
2016-03-31,-1.0666
2016-04-01,1.7471999999999999
2016-04-02,
2016-04-03,
2016-04-04,-1.4301
2016-04-05,-1.8229
2016-04-06,0.2274
2016-04-07,-2.6465
2016-04-08,-0.2718
2016-04-09,
2016-04-10,
2016-04-11,1.986
2016-04-12,-0.1527
2016-04-13,1.3002
2016-04-14,1.6987999999999999
2016-04-15,0.8909
2016-04-16,
2016-04-17,
2016-04-18,-0.1104
2016-04-19,-0.0737
2016-04-20,-2.3959
2016-04-21,0.4532
2016-04-22,0.2256
2016-04-23,
2016-04-24,
2016-04-25,1.3128
2016-04-26,-1.9252
2016-04-27,0.3398
2016-04-28,0.0376
2016-04-29,-2.3693
2016-04-30,
2016-05-01,
2016-05-02,0.2696
2016-05-03,-2.6892
2016-05-04,0.7896
2016-05-05,-1.4493
2016-05-06,2.5835
2016-05-07,
2016-05-08,
2016-05-09,1.5885
2016-05-10,-0.3051
2016-05-11,-3.6725
2016-05-12,-3.7728
2016-05-13,0.1651
2016-05-14,
2016-05-15,
2016-05-16,0.6593
2016-05-17,-1.1871
2016-05-18,1.1599
2016-05-19,0.6552
2016-05-20,1.7494
2016-05-21,
2016-05-22,
2016-05-23,-0.5598
2016-05-24,2.2919
2016-05-25,0.7862
2016-05-26,-5.7332
2016-05-27,2.9375
2016-05-28,
2016-05-29,
2016-05-30,
2016-05-31,-0.4421
2016-06-01,1.4534
2016-06-02,2.1488
2016-06-03,-1.3635
2016-06-04,
2016-06-05,
2016-06-06,-1.5403
2016-06-07,-0.6017
2016-06-08,-1.0896
2016-06-09,-2.8968
2016-06-10,2.3529
2016-06-11,
2016-06-12,
2016-06-13,-1.69
2016-06-14,-1.0063
2016-06-15,-1.8636
2016-06-16,-0.5611
2016-06-17,-1.6059
2016-06-18,
2016-06-19,
2016-06-20,0.9704
2016-06-21,3.5387
2016-06-22,2.827
2016-06-23,0.9848
2016-06-24,-4.7948
2016-06-25,
2016-06-26,
2016-06-27,-5.4631
2016-06-28,0.9029
2016-06-29,1.4318
2016-06-30,3.3524
2016-07-01,0.2561
2016-07-02,
2016-07-03,
2016-07-04,
2016-07-05,-1.3197
2016-07-06,1.8982
2016-07-07,0.6351
2016-07-08,1.0097
2016-07-09,
2016-07-10,
2016-07-11,1.5827
2016-07-12,3.321
