date,MA UN Equity
2006-05-30,-2.0699
2006-05-31,2.1364
2006-06-01,5.7187
2006-06-02,-1.0945
2006-06-03,
2006-06-04,
2006-06-05,4.5967
2006-06-06,-1.7294
2006-06-07,-1.4493
2006-06-08,0.2521
2006-06-09,0.1257
2006-06-10,
2006-06-11,
2006-06-12,-1.7370999999999999
2006-06-13,-3.0884
2006-06-14,-0.8352
2006-06-15,1.8395000000000001
2006-06-16,-2.0239
2006-06-17,
2006-06-18,
2006-06-19,-1.5104
2006-06-20,-0.7217
2006-06-21,2.9078
2006-06-22,2.8698
2006-06-23,0.7511
2006-06-24,
2006-06-25,
2006-06-26,1.1715
2006-06-27,-0.4
2006-06-28,-0.7398
2006-06-29,2.2147
2006-06-30,0.0
2006-07-01,
2006-07-02,
2006-07-03,-1.4583
2006-07-04,
2006-07-05,0.6342
2006-07-06,-1.6806999999999999
2006-07-07,-1.453
2006-07-08,
2006-07-09,
2006-07-10,0.8023
2006-07-11,-0.3011
2006-07-12,-1.726
2006-07-13,-1.8222
2006-07-14,-1.7218
2006-07-15,
2006-07-16,
2006-07-17,0.091
2006-07-18,-0.2046
2006-07-19,3.1435
2006-07-20,0.5963
2006-07-21,-0.5928
2006-07-22,
2006-07-23,
2006-07-24,-0.6184
2006-07-25,2.4
2006-07-26,1.3021
2006-07-27,-0.3428
2006-07-28,-0.4729
2006-07-29,
2006-07-30,
2006-07-31,-0.9287
2006-08-01,-1.8967
2006-08-02,11.1556
2006-08-03,-0.06
2006-08-04,0.12
2006-08-05,
2006-08-06,
2006-08-07,2.0979
2006-08-08,2.8767
2006-08-09,0.5326
2006-08-10,1.3434
2006-08-11,0.224
2006-08-12,
2006-08-13,
2006-08-14,1.0246
2006-08-15,0.4794
2006-08-16,-0.4037
2006-08-17,-1.4925
2006-08-18,-0.0187
2006-08-19,
2006-08-20,
2006-08-21,1.5154
2006-08-22,1.7877
2006-08-23,-1.1407
2006-08-24,1.9231
2006-08-25,-1.168
2006-08-26,
2006-08-27,
2006-08-28,0.0364
2006-08-29,0.5998
2006-08-30,-0.1807
2006-08-31,1.1764999999999999
2006-09-01,1.1628
2006-09-02,
2006-09-03,
2006-09-04,
2006-09-05,0.5305
2006-09-06,3.5708
2006-09-07,2.106
2006-09-08,-0.6154
2006-09-09,
2006-09-10,
2006-09-11,3.5481
2006-09-12,0.3717
2006-09-13,-1.2077
2006-09-14,2.3472
2006-09-15,3.4718999999999998
2006-09-16,
2006-09-17,
2006-09-18,0.2309
2006-09-19,-0.43
2006-09-20,2.6372999999999998
2006-09-21,3.7566
2006-09-22,-4.5184999999999995
2006-09-23,
2006-09-24,
2006-09-25,-2.3205999999999998
2006-09-26,2.4845
2006-09-27,2.7879
2006-09-28,1.194
2006-09-29,2.4763
2006-09-30,
2006-10-01,
2006-10-02,-0.5544
2006-10-03,-0.4002
2006-10-04,-0.0861
2006-10-05,4.3953
2006-10-06,3.5267
2006-10-07,
2006-10-08,
2006-10-09,-3.1271
2006-10-10,-1.2225
2006-10-11,-3.3514
2006-10-12,1.3094000000000001
2006-10-13,-0.4545
2006-10-14,
2006-10-15,
2006-10-16,1.7264
2006-10-17,-2.5244999999999997
2006-10-18,1.3669
2006-10-19,2.6686
2006-10-20,-1.5346
2006-10-21,
2006-10-22,
2006-10-23,-1.362
2006-10-24,1.3523
2006-10-25,-0.632
2006-10-26,2.0495
2006-10-27,0.6094
2006-10-28,
2006-10-29,
2006-10-30,-0.1377
2006-10-31,2.1505
2006-11-01,14.8043
2006-11-02,2.974
2006-11-03,2.1804
2006-11-04,
2006-11-05,
2006-11-06,7.5857
2006-11-07,-3.9459999999999997
2006-11-08,-4.3892
2006-11-09,-0.2714
2006-11-10,1.1338
