date,DISCA UW Equity
2005-07-25,-6.2708
2005-07-26,-0.3559
2005-07-27,0.0
2005-07-28,1.7856999999999998
2005-07-29,0.1404
2005-07-30,
2005-07-31,
2005-08-01,-1.6118000000000001
2005-08-02,-0.4274
2005-08-03,1.7883
2005-08-04,-0.4919
2005-08-05,-0.4237
2005-08-06,
2005-08-07,
2005-08-08,-0.3546
2005-08-09,-0.5694
2005-08-10,1.0021
2005-08-11,3.4018
2005-08-12,0.8225
2005-08-13,
2005-08-14,
2005-08-15,2.9232
2005-08-16,0.3963
2005-08-17,-0.6579
2005-08-18,-0.5298
2005-08-19,1.3316
2005-08-20,
2005-08-21,
2005-08-22,1.8397000000000001
2005-08-23,1.1613
2005-08-24,0.9566
2005-08-25,-0.5054
2005-08-26,-1.0794
2005-08-27,
2005-08-28,
2005-08-29,-1.2837
2005-08-30,-0.3901
2005-08-31,-1.1749
2005-09-01,0.1321
2005-09-02,-0.066
2005-09-03,
2005-09-04,
2005-09-05,
2005-09-06,0.396
2005-09-07,0.0657
2005-09-08,-0.7884
2005-09-09,-0.6623
2005-09-10,
2005-09-11,
2005-09-12,-0.2
2005-09-13,-0.8684
2005-09-14,0.5391
2005-09-15,0.6032
2005-09-16,-0.3331
2005-09-17,
2005-09-18,
2005-09-19,0.6016
2005-09-20,-0.0664
2005-09-21,-1.6622
2005-09-22,-0.6085
2005-09-23,-0.4762
2005-09-24,
2005-09-25,
2005-09-26,-0.3418
2005-09-27,-0.0686
2005-09-28,-1.0981
2005-09-29,-1.1103
2005-09-30,1.3333
2005-10-01,
2005-10-02,
2005-10-03,0.6233
2005-10-04,-3.51
2005-10-05,-0.8559
2005-10-06,-0.6475
2005-10-07,1.231
2005-10-08,
2005-10-09,
2005-10-10,-0.0715
2005-10-11,0.5727
2005-10-12,-0.2135
2005-10-13,1.6404999999999998
2005-10-14,1.6842000000000001
2005-10-15,
2005-10-16,
2005-10-17,-1.7943
2005-10-18,-0.4216
2005-10-19,-1.1291
2005-10-20,-0.9279
2005-10-21,1.4409
2005-10-22,
2005-10-23,
2005-10-24,1.1364
2005-10-25,-1.4045
2005-10-26,-0.4274
2005-10-27,-1.7167
2005-10-28,3.2751
2005-10-29,
2005-10-30,
2005-10-31,-0.7047
2005-11-01,0.9226
2005-11-02,1.1252
2005-11-03,-1.2517
2005-11-04,-0.6338
2005-11-05,
2005-11-06,
2005-11-07,0.2835
2005-11-08,1.4134
2005-11-09,-0.0697
2005-11-10,3.1381
2005-11-11,3.1778
2005-11-12,
2005-11-13,
2005-11-14,0.3277
2005-11-15,0.0
2005-11-16,-2.0248
2005-11-17,-0.7333
2005-11-18,2.3506
2005-11-19,
2005-11-20,
2005-11-21,2.3622
2005-11-22,0.9615
2005-11-23,0.381
