date,APTV UN Equity
2011-11-21,-3.3333
2011-11-22,-1.9704000000000002
2011-11-23,-1.3568
2011-11-24,
2011-11-25,0.1019
2011-11-26,
2011-11-27,
2011-11-28,1.9847000000000001
2011-11-29,-0.2495
2011-11-30,4.2521
2011-12-01,-0.144
2011-12-02,2.691
2011-12-03,
2011-12-04,
2011-12-05,1.8718
2011-12-06,1.6537
2011-12-07,-0.5874
2011-12-08,-1.4091
2011-12-09,0.2766
2011-12-10,
2011-12-11,
2011-12-12,-1.1034
2011-12-13,-0.9298
2011-12-14,-3.1441
2011-12-15,1.5504
2011-12-16,0.0477
2011-12-17,
2011-12-18,
2011-12-19,0.0954
2011-12-20,2.4297
2011-12-21,-0.4651
2011-12-22,1.7757
2011-12-23,0.7346
2011-12-24,
2011-12-25,
2011-12-26,
2011-12-27,-1.3218
2011-12-28,-2.1247
2011-12-29,1.0854
2011-12-30,0.5602
2011-12-31,
2012-01-01,
2012-01-02,
2012-01-03,3.2498
2012-01-04,1.3489
2012-01-05,-1.7746
2012-01-06,1.8519
2012-01-07,
2012-01-08,
2012-01-09,0.7095
2012-01-10,4.9317
2012-01-11,0.5036
2012-01-12,3.0898
2012-01-13,0.4455
2012-01-14,
2012-01-15,
2012-01-16,
2012-01-17,-1.7742
2012-01-18,0.5747
2012-01-19,2.3265000000000002
2012-01-20,0.1197
2012-01-21,
2012-01-22,
2012-01-23,1.5139
2012-01-24,1.2951
2012-01-25,-0.1937
2012-01-26,0.7376
2012-01-27,4.6628
2012-01-28,
2012-01-29,
2012-01-30,-0.2946
2012-01-31,-0.9232
2012-02-01,6.5598
2012-02-02,1.3291
2012-02-03,6.1443
2012-02-04,
2012-02-05,
2012-02-06,-0.748
2012-02-07,-1.4417
2012-02-08,-0.5984
2012-02-09,-0.3344
2012-02-10,0.8054
2012-02-11,
2012-02-12,
2012-02-13,-0.0999
2012-02-14,-3.1656
2012-02-15,1.1012
2012-02-16,3.1995
2012-02-17,3.1992
2012-02-18,
2012-02-19,
2012-02-20,
2012-02-21,-1.1505
2012-02-22,0.291
2012-02-23,-0.0645
2012-02-24,1.2581
2012-02-25,
2012-02-26,
2012-02-27,-0.3186
2012-02-28,1.8856000000000002
2012-02-29,0.3764
2012-03-01,0.0
2012-03-02,1.0312
2012-03-03,
2012-03-04,
2012-03-05,-2.1342
2012-03-06,-5.2465
2012-03-07,0.1001
2012-03-08,5.6315
2012-03-09,0.4101
2012-03-10,
2012-03-11,
2012-03-12,0.2828
2012-03-13,0.094
2012-03-14,-0.5321
2012-03-15,-0.1888
2012-03-16,0.8827
2012-03-17,
2012-03-18,
2012-03-19,-1.4062999999999999
2012-03-20,-1.2995
2012-03-21,0.3854
2012-03-22,-0.9277
2012-03-23,0.0
2012-03-24,
2012-03-25,
2012-03-26,3.1966
2012-03-27,-0.1564
2012-03-28,-1.0968
2012-03-29,0.6654
2012-03-30,-0.5351
2012-03-31,
2012-04-01,
2012-04-02,-0.1582
2012-04-03,-0.8875
2012-04-04,1.1513
2012-04-05,0.411
2012-04-06,
2012-04-07,
2012-04-08,
2012-04-09,-1.5428
2012-04-10,-1.3751
2012-04-11,2.1077
2012-04-12,0.8892
2012-04-13,0.2518
2012-04-14,
2012-04-15,
2012-04-16,0.4396
2012-04-17,0.3751
2012-04-18,0.2803
2012-04-19,-1.0559
2012-04-20,0.0314
2012-04-21,
2012-04-22,
2012-04-23,-1.161
2012-04-24,-4.0635
