date,QRVO UW Equity
2015-01-06,-4.3768
2015-01-07,3.0617
2015-01-08,1.5604
2015-01-09,-0.8568
2015-01-10,
2015-01-11,
2015-01-12,-2.3692
2015-01-13,-0.7631
2015-01-14,-0.6613
2015-01-15,-0.3096
2015-01-16,2.2053
2015-01-17,
2015-01-18,
2015-01-19,
2015-01-20,3.267
2015-01-21,1.2949
2015-01-22,2.5712
2015-01-23,3.9088000000000003
2015-01-24,
2015-01-25,
2015-01-26,-0.2999
2015-01-27,0.8202
2015-01-28,2.3729
2015-01-29,0.3444
2015-01-30,-2.4947
2015-01-31,
2015-02-01,
2015-02-02,-6.9717
2015-02-03,-0.291
2015-02-04,-0.2773
2015-02-05,-1.3757
2015-02-06,-2.2258
2015-02-07,
2015-02-08,
2015-02-09,-3.263
2015-02-10,2.0082
2015-02-11,-0.4153
2015-02-12,2.2394
2015-02-13,5.7855
2015-02-14,
2015-02-15,
2015-02-16,
2015-02-17,-0.8425
2015-02-18,-2.7362
2015-02-19,-3.3166
2015-02-20,-0.1991
2015-02-21,
2015-02-22,
2015-02-23,-0.1841
2015-02-24,6.5949
2015-02-25,-3.0718
2015-02-26,6.4276
2015-02-27,-2.9778000000000002
2015-02-28,
2015-03-01,
2015-03-02,-0.072
2015-03-03,2.1485
2015-03-04,1.6657
2015-03-05,3.4574
2015-03-06,-2.0534
2015-03-07,
2015-03-08,
2015-03-09,2.5349
2015-03-10,-3.5815
2015-03-11,1.1088
2015-03-12,0.6443
2015-03-13,-1.1577
2015-03-14,
2015-03-15,
2015-03-16,5.1812
2015-03-17,1.8079
2015-03-18,2.8954
2015-03-19,0.5253
2015-03-20,0.5225
2015-03-21,
2015-03-22,
2015-03-23,4.0718
2015-03-24,-1.0465
2015-03-25,-7.3068
2015-03-26,0.0778
2015-03-27,2.7076000000000002
2015-03-28,
2015-03-29,
2015-03-30,2.6741
2015-03-31,-2.0885
2015-04-01,-1.1292
2015-04-02,-1.2817
2015-04-03,
2015-04-04,
2015-04-05,
2015-04-06,-1.6455
2015-04-07,-4.287
2015-04-08,-0.5326
2015-04-09,2.4574
2015-04-10,-1.4069
2015-04-11,
2015-04-12,
2015-04-13,-1.2911000000000001
2015-04-14,-2.9327
2015-04-15,0.5816
2015-04-16,0.7756
2015-04-17,-1.9451
2015-04-18,
2015-04-19,
2015-04-20,2.7687
2015-04-21,2.8607
2015-04-22,0.5535
2015-04-23,-1.6246
2015-04-24,-4.2992
2015-04-25,
2015-04-26,
2015-04-27,-1.0695999999999999
2015-04-28,-2.1767
2015-04-29,1.1642000000000001
2015-04-30,-3.9913
2015-05-01,5.5985
2015-05-02,
2015-05-03,
2015-05-04,-0.8764
2015-05-05,-2.783
2015-05-06,2.967
2015-05-07,9.4121
2015-05-08,1.3235000000000001
2015-05-09,
2015-05-10,
2015-05-11,-2.6123
2015-05-12,0.2548
2015-05-13,0.2809
2015-05-14,2.6948
