date,ANET UN Equity
2014-06-10,8.6957
2014-06-11,5.8333
2014-06-12,3.9370000000000003
2014-06-13,5.4242
2014-06-14,
2014-06-15,
2014-06-16,2.7594
2014-06-17,-2.5035
2014-06-18,-1.0759
2014-06-19,-4.7709
2014-06-20,-0.7918
2014-06-21,
2014-06-22,
2014-06-23,0.8596
2014-06-24,-2.1762
2014-06-25,0.3267
2014-06-26,-1.0544
2014-06-27,-1.9746000000000001
2014-06-28,
2014-06-29,
2014-06-30,-0.2558
2014-07-01,21.8144
2014-07-02,-0.8553
2014-07-03,1.4068
2014-07-04,
2014-07-05,
2014-07-06,
2014-07-07,-5.549
2014-07-08,-3.7965999999999998
2014-07-09,3.5575
2014-07-10,-5.7858
2014-07-11,2.7901
2014-07-12,
2014-07-13,
2014-07-14,-0.9766
2014-07-15,-3.2777
2014-07-16,-3.2389
2014-07-17,-1.1932
2014-07-18,0.3764
2014-07-19,
2014-07-20,
2014-07-21,-1.2031
2014-07-22,3.6059
2014-07-23,-1.0533
2014-07-24,-0.8794
2014-07-25,-0.9494
2014-07-26,
2014-07-27,
2014-07-28,-0.3614
2014-07-29,0.6939
2014-07-30,6.1707
2014-07-31,-2.4635
2014-08-01,-0.7713
2014-08-02,
2014-08-03,
2014-08-04,5.5175
2014-08-05,4.1312
2014-08-06,-1.7617
2014-08-07,1.9768
2014-08-08,-0.2631
2014-08-09,
2014-08-10,
2014-08-11,-3.0126
2014-08-12,1.7893
2014-08-13,-1.786
2014-08-14,1.3889
2014-08-15,-1.3981
2014-08-16,
2014-08-17,
2014-08-18,0.9883
2014-08-19,6.3679
2014-08-20,1.8667
2014-08-21,1.2435
2014-08-22,-2.2366
2014-08-23,
2014-08-24,
2014-08-25,-0.0529
2014-08-26,0.7806
2014-08-27,9.1768
2014-08-28,0.3487
2014-08-29,0.4793
2014-08-30,
2014-08-31,
2014-09-01,
2014-09-02,2.6834
2014-09-03,-0.5691
2014-09-04,2.196
2014-09-05,4.149
2014-09-06,
2014-09-07,
2014-09-08,-3.7972
2014-09-09,-3.8558
2014-09-10,5.3037
2014-09-11,0.0
2014-09-12,-2.7944
2014-09-13,
2014-09-14,
2014-09-15,-3.9875
2014-09-16,1.4125
2014-09-17,-0.5833
2014-09-18,3.1373
2014-09-19,1.7648000000000001
2014-09-20,
2014-09-21,
