date,CBOE UW Equity
2010-06-17,-1.7774
2010-06-18,-1.5556
2010-06-19,
2010-06-20,
2010-06-21,3.3215
2010-06-22,2.0287
2010-06-23,2.4166
2010-06-24,-0.5675
2010-06-25,-3.6648
2010-06-26,
2010-06-27,
2010-06-28,2.2139
2010-06-29,-3.1117
2010-06-30,2.4874
2010-07-01,-6.8817
2010-07-02,1.8146
2010-07-03,
2010-07-04,
2010-07-05,
2010-07-06,-3.4349
2010-07-07,-1.9127999999999998
2010-07-08,-0.7527
2010-07-09,-0.1379
2010-07-10,
2010-07-11,
2010-07-12,-7.4905
2010-07-13,3.9179
2010-07-14,-1.8312
2010-07-15,-3.0724
2010-07-16,-0.1887
2010-07-17,
2010-07-18,
2010-07-19,0.1512
2010-07-20,-1.5478
2010-07-21,2.0322
2010-07-22,1.5784
2010-07-23,0.444
2010-07-24,
2010-07-25,
2010-07-26,-2.3941
2010-07-27,2.6038
2010-07-28,-0.1471
2010-07-29,-1.768
2010-07-30,-0.2625
2010-07-31,
2010-08-01,
2010-08-02,3.5338000000000003
2010-08-03,-1.053
2010-08-04,-1.9817
2010-08-05,-7.1509
2010-08-06,-4.0323
2010-08-07,
2010-08-08,
2010-08-09,0.7143
2010-08-10,-4.0467
2010-08-11,-0.2174
2010-08-12,1.5686
2010-08-13,-1.3299
2010-08-14,
2010-08-15,
2010-08-16,-0.913
2010-08-17,1.448
2010-08-18,-0.0433
2010-08-19,-0.5625
2010-08-20,-0.4787
2010-08-21,
2010-08-22,
2010-08-23,0.5684
2010-08-24,-5.2609
2010-08-25,-0.5507
2010-08-26,-1.7997
2010-08-27,-1.9266999999999999
2010-08-28,
2010-08-29,
2010-08-30,-1.1979
2010-08-31,1.4064
2010-09-01,3.8737
2010-09-02,0.2313
2010-09-03,2.3073
2010-09-04,
2010-09-05,
2010-09-06,
2010-09-07,0.2706
2010-09-08,-0.8097
2010-09-09,-1.1338
2010-09-10,0.6422
2010-09-11,
2010-09-12,
2010-09-13,-0.5014
2010-09-14,1.5575
2010-09-15,0.7668
2010-09-16,-0.1791
2010-09-17,0.7175
2010-09-18,
2010-09-19,
2010-09-20,-2.3152
2010-09-21,-1.9143
2010-09-22,-0.8829
2010-09-23,-3.5162
2010-09-24,0.1458
2010-09-25,
2010-09-26,
2010-09-27,2.2319
2010-09-28,1.1865
2010-09-29,-2.5328
2010-09-30,-3.5611
2010-10-01,2.7944
2010-10-02,
2010-10-03,
2010-10-04,-1.0194
2010-10-05,2.1579
2010-10-06,0.0
2010-10-07,-1.1042
2010-10-08,1.2136
2010-10-09,
2010-10-10,
2010-10-11,1.0072
2010-10-12,5.5556
2010-10-13,-0.09
2010-10-14,1.891
2010-10-15,-0.6628
2010-10-16,
2010-10-17,
2010-10-18,3.2028
2010-10-19,-0.3017
2010-10-20,2.594
2010-10-21,0.7585
2010-10-22,2.6349
2010-10-23,
2010-10-24,
2010-10-25,-0.6927
2010-10-26,-0.5745
2010-10-27,-0.2476
2010-10-28,-0.7034
2010-10-29,0.0417
2010-10-30,
2010-10-31,
2010-11-01,-1.7492999999999999
2010-11-02,2.2043
2010-11-03,-0.4562
2010-11-04,0.0417
2010-11-05,2.6656
2010-11-06,
2010-11-07,
2010-11-08,1.3793
2010-11-09,-0.2801
2010-11-10,-0.321
2010-11-11,-0.5233
2010-11-12,-2.2663
2010-11-13,
2010-11-14,
2010-11-15,0.7867
2010-11-16,1.0682
2010-11-17,-0.813
2010-11-18,1.2705
2010-11-19,1.2546
2010-11-20,
2010-11-21,
2010-11-22,-0.8793
2010-11-23,-0.4435
2010-11-24,-3.3212
2010-11-25,
2010-11-26,-1.5082
2010-11-27,
2010-11-28,
2010-11-29,0.5104
2010-11-30,0.6771
2010-12-01,0.9248
2010-12-02,1.7984
2010-12-03,0.2465
2010-12-04,
2010-12-05,
2010-12-06,1.7213
2010-12-07,-0.1209
2010-12-08,-2.259
2010-12-09,-2.8890000000000002
2010-12-10,-2.3799
2010-12-11,
2010-12-12,
2010-12-13,0.1741
2010-12-14,-0.2608
2010-12-15,-0.3922
2010-12-16,-3.6089
2010-12-17,0.3404
2010-12-18,
2010-12-19,
2010-12-20,0.4071
2010-12-21,0.0
2010-12-22,-0.4505
