date,BIVV UW Equity
2017-01-17,-2.6218
2017-01-18,-0.4263
2017-01-19,-2.411
2017-01-20,-1.1083
2017-01-21,
2017-01-22,
2017-01-23,-1.2841
2017-01-24,-1.088
2017-01-25,0.7891
2017-01-26,3.7485
2017-01-27,2.1724
2017-01-28,
2017-01-29,
2017-01-30,-1.5443
2017-01-31,2.296
2017-02-01,-1.2222
2017-02-02,1.1924
2017-02-03,-1.3338999999999999
2017-02-04,
2017-02-05,
2017-02-06,-3.4926
2017-02-07,3.759
2017-02-08,-3.3303
2017-02-09,-1.3035
2017-02-10,2.4057
2017-02-11,
2017-02-12,
2017-02-13,2.1879
2017-02-14,0.3155
2017-02-15,-0.9211
2017-02-16,0.0
2017-02-17,7.5964
2017-02-18,
2017-02-19,
2017-02-20,
2017-02-21,1.5806
2017-02-22,-0.9129
2017-02-23,3.7688
2017-02-24,2.8249
2017-02-25,
2017-02-26,
2017-02-27,-0.7261
2017-02-28,2.9452
2017-03-01,2.5538
2017-03-02,-1.1234
2017-03-03,-0.5681
2017-03-04,
2017-03-05,
2017-03-06,-0.1904
2017-03-07,-2.4614
2017-03-08,3.4038
2017-03-09,1.3432
2017-03-10,-1.0827
2017-03-11,
2017-03-12,
2017-03-13,-1.6418
2017-03-14,-1.3239
2017-03-15,0.0389
2017-03-16,-1.4383
2017-03-17,-2.6425
2017-03-18,
2017-03-19,
2017-03-20,-0.4051
2017-03-21,-0.4068
2017-03-22,4.758
2017-03-23,-1.6179000000000001
2017-03-24,-0.3368
2017-03-25,
2017-03-26,
2017-03-27,1.2326
2017-03-28,2.3959
2017-03-29,2.0713
2017-03-30,-0.9019
2017-03-31,3.2613
2017-04-01,
2017-04-02,
2017-04-03,-1.4322
2017-04-04,1.9933
2017-04-05,-1.9361000000000002
2017-04-06,3.1663
2017-04-07,2.69
2017-04-08,
2017-04-09,
2017-04-10,-0.9494
2017-04-11,0.994
2017-04-12,-0.3339
2017-04-13,0.2116
2017-04-14,
2017-04-15,
2017-04-16,
2017-04-17,-0.9678
2017-04-18,-0.4087
2017-04-19,-0.107
2017-04-20,2.9112
2017-04-21,-0.7636
2017-04-22,
2017-04-23,
2017-04-24,1.7664
2017-04-25,-0.7046
2017-04-26,0.2769
2017-04-27,0.2589
2017-04-28,1.2395
2017-04-29,
2017-04-30,
2017-05-01,0.3911
2017-05-02,-2.6423
2017-05-03,-2.6096
2017-05-04,-1.3397999999999999
2017-05-05,1.7925
2017-05-06,
2017-05-07,
2017-05-08,-1.2095
2017-05-09,0.7382
2017-05-10,1.0366
2017-05-11,-2.6358
2017-05-12,0.0727
2017-05-13,
2017-05-14,
2017-05-15,1.3435000000000001
2017-05-16,-1.0749
2017-05-17,-6.0123
2017-05-18,3.6802
2017-05-19,1.9513
2017-05-20,
2017-05-21,
2017-05-22,-0.3099
2017-05-23,-4.0044
2017-05-24,3.4286
2017-05-25,1.2707
2017-05-26,3.1642
2017-05-27,
2017-05-28,
2017-05-29,
2017-05-30,-1.6040999999999999
2017-05-31,-1.3078
2017-06-01,1.9423
2017-06-02,3.49
2017-06-03,
2017-06-04,
2017-06-05,-1.1356
2017-06-06,0.6439
2017-06-07,-0.7436
2017-06-08,-0.0697
2017-06-09,-0.6625
2017-06-10,
2017-06-11,
2017-06-12,-3.0537
2017-06-13,5.449
2017-06-14,-1.4249
2017-06-15,-1.5326
2017-06-16,2.989
2017-06-17,
2017-06-18,
2017-06-19,3.9499
2017-06-20,0.9912
2017-06-21,-0.1145
2017-06-22,-0.1474
2017-06-23,2.6242
2017-06-24,
2017-06-25,
2017-06-26,-2.8288
2017-06-27,-0.8388
2017-06-28,-0.7796
2017-06-29,0.7857
2017-06-30,-0.199
2017-07-01,
2017-07-02,
2017-07-03,3.2741
2017-07-04,
2017-07-05,-0.3379
2017-07-06,-1.1465
2017-07-07,-1.4864
2017-07-08,
2017-07-09,
2017-07-10,3.0177
2017-07-11,-0.5794
2017-07-12,0.2914
2017-07-13,-1.8885999999999998
2017-07-14,-0.2797
2017-07-15,
2017-07-16,
2017-07-17,0.4785
2017-07-18,-0.6404
2017-07-19,0.8594
2017-07-20,2.8674
2017-07-21,0.7009
2017-07-22,
2017-07-23,
2017-07-24,0.6327
2017-07-25,0.1572
2017-07-26,-0.4237
2017-07-27,-2.3168
2017-07-28,0.8874
2017-07-29,
2017-07-30,
2017-07-31,-0.8956
2017-08-01,-1.7428
2017-08-02,0.5584
2017-08-03,-0.0327
2017-08-04,-4.019
2017-08-05,
2017-08-06,
2017-08-07,3.2851
2017-08-08,-2.1259
2017-08-09,-0.5388
2017-08-10,-4.3338
2017-08-11,2.7782999999999998
2017-08-12,
2017-08-13,
2017-08-14,-0.3099
2017-08-15,-1.1917
2017-08-16,-0.0524
2017-08-17,-3.795
2017-08-18,0.0727
2017-08-19,
2017-08-20,
2017-08-21,-0.4905
2017-08-22,2.8478
2017-08-23,-1.9879
2017-08-24,0.6882
2017-08-25,0.018
2017-08-26,
2017-08-27,
2017-08-28,1.5824
2017-08-29,0.1239
2017-08-30,-0.9724
2017-08-31,1.2141
2017-09-01,-1.2877
2017-09-02,
2017-09-03,
2017-09-04,
2017-09-05,-0.6254
2017-09-06,1.4566
2017-09-07,0.5672
2017-09-08,0.5992
2017-09-09,
2017-09-10,
2017-09-11,-0.8059
2017-09-12,0.9184
