date,VIAC UW Equity
2019-12-09,-2.719
2019-12-10,-2.6398
2019-12-11,-0.8772
2019-12-12,1.314
2019-12-13,2.2763
2019-12-14,
2019-12-15,
2019-12-16,2.8727
2019-12-17,1.3333
2019-12-18,2.1599
2019-12-19,1.9441000000000002
2019-12-20,1.0489
2019-12-21,
2019-12-22,
2019-12-23,-0.4718
2019-12-24,-0.4029
2019-12-25,
2019-12-26,1.5231
2019-12-27,-1.5471
2019-12-28,
2019-12-29,
2019-12-30,-0.6705
2019-12-31,1.1813
2020-01-01,
2020-01-02,0.2859
2020-01-03,-1.5206
2020-01-04,
2020-01-05,
2020-01-06,1.4717
2020-01-07,0.1664
2020-01-08,-0.6171
2020-01-09,-2.5316
2020-01-10,-1.2252
2020-01-11,
2020-01-12,
2020-01-13,1.2156
2020-01-14,-1.152
2020-01-15,-1.5869
2020-01-16,0.8818
2020-01-17,-1.3736
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,-1.9245
2020-01-22,-0.723
2020-01-23,-3.7971
2020-01-24,-3.2441
2020-01-25,
2020-01-26,
2020-01-27,-1.8441
2020-01-28,0.6547
2020-01-29,-1.8948
2020-01-30,-1.4413
2020-01-31,-0.1755
2020-02-01,
2020-02-02,
2020-02-03,-3.0765
2020-02-04,1.4813
2020-02-05,2.2937
2020-02-06,0.7571
2020-02-07,0.3179
2020-02-08,
2020-02-09,
2020-02-10,-1.4405000000000001
2020-02-11,2.2216
2020-02-12,0.9151
2020-02-13,-0.8784
2020-02-14,0.0
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,0.3431
2020-02-19,1.6239
2020-02-20,-17.8862
2020-02-21,-3.5166
2020-02-22,
2020-02-23,
2020-02-24,-4.7063
2020-02-25,-5.8299
2020-02-26,-3.6278
2020-02-27,-2.2504
2020-02-28,3.0138
2020-02-29,
2020-03-01,
2020-03-02,-1.219
2020-03-03,-5.0596
2020-03-04,0.0867
2020-03-05,-7.013
2020-03-06,0.419
2020-03-07,
2020-03-08,
2020-03-09,-11.1266
2020-03-10,7.0944
2020-03-11,-3.5558
2020-03-12,-18.4848
2020-03-13,3.0979
2020-03-14,
2020-03-15,
2020-03-16,-17.0122
2020-03-17,-6.3924
2020-03-18,-4.1601
2020-03-19,3.3579
2020-03-20,-5.1506
2020-03-21,
2020-03-22,
2020-03-23,-5.7644
2020-03-24,30.7624
2020-03-25,-0.0678
2020-03-26,-5.0882
2020-03-27,-8.5776
2020-03-28,
2020-03-29,
2020-03-30,10.1251
2020-03-31,-0.5325
2020-04-01,-8.7794
2020-04-02,-0.1565
2020-04-03,-2.5862
2020-04-04,
2020-04-05,
2020-04-06,12.148
2020-04-07,5.3802
2020-04-08,7.5221
2020-04-09,4.8433
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,-3.0193
2020-04-14,1.3075999999999999
2020-04-15,-6.5765
2020-04-16,-3.75
2020-04-17,7.9973
2020-04-18,
2020-04-19,
2020-04-20,-1.7722
2020-04-21,-2.384
2020-04-22,-1.4521
2020-04-23,3.9183
2020-04-24,0.7412
2020-04-25,
2020-04-26,
2020-04-27,8.6372
2020-04-28,2.768
2020-04-29,8.8252
2020-04-30,-9.1101
2020-05-01,-4.635
2020-05-02,
2020-05-03,
2020-05-04,-2.2175
2020-05-05,-5.1879
2020-05-06,-2.4902
2020-05-07,10.3495
2020-05-08,10.1096
2020-05-09,
2020-05-10,
2020-05-11,-0.2212
2020-05-12,1.1641
2020-05-13,-7.6712
2020-05-14,1.8397999999999999
2020-05-15,0.8159
2020-05-16,
2020-05-17,
2020-05-18,10.1156
2020-05-19,3.0971
2020-05-20,-0.0509
2020-05-21,1.0698
2020-05-22,-1.2601
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,3.9816000000000003
2020-05-27,8.0511
2020-05-28,-3.6801
2020-05-29,-2.1698
2020-05-30,
2020-05-31,
2020-06-01,3.8091
2020-06-02,1.4399
2020-06-03,4.0293
2020-06-04,6.162
2020-06-05,2.9022
2020-06-06,
2020-06-07,
2020-06-08,14.867
2020-06-09,-8.7338
2020-06-10,-7.7633
2020-06-11,-1.7083
2020-06-12,-1.9076
2020-06-13,
2020-06-14,
2020-06-15,8.69
2020-06-16,-2.8124000000000002
2020-06-17,-3.6792
2020-06-18,5.1502
2020-06-19,-3.3061
2020-06-20,
2020-06-21,
2020-06-22,-0.8442
2020-06-23,0.9366
2020-06-24,-0.5483
2020-06-25,-2.5869
2020-06-26,-2.8298
2020-06-27,
2020-06-28,
2020-06-29,3.2706
2020-06-30,1.1714
2020-07-01,1.2006999999999999
2020-07-02,-1.4830999999999999
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,1.8925
2020-07-07,-3.1237
2020-07-08,-0.1307
2020-07-09,-3.5777
2020-07-10,3.7557
2020-07-11,
2020-07-12,
2020-07-13,3.4017
2020-07-14,2.2775
