date,CFN UN Equity
2009-08-25,-0.7279
2009-08-26,2.0869
2009-08-27,4.1436
2009-08-28,1.3263
2009-08-29,
2009-08-30,
2009-08-31,2.0942
2009-09-01,2.0513
2009-09-02,-6.2814
2009-09-03,0.2145
2009-09-04,-1.0166
2009-09-05,
2009-09-06,
2009-09-07,
2009-09-08,-0.2703
2009-09-09,1.084
2009-09-10,2.6273
2009-09-11,0.7315
2009-09-12,
2009-09-13,
2009-09-14,1.1929
2009-09-15,6.1507
2009-09-16,5.6494
2009-09-17,-2.0567
2009-09-18,1.7732
2009-09-19,
2009-09-20,
2009-09-21,-2.2467
2009-09-22,0.5629
2009-09-23,-2.6586
2009-09-24,-1.725
2009-09-25,3.0717
2009-09-26,
2009-09-27,
2009-09-28,3.122
2009-09-29,0.8716
2009-09-30,-0.864
2009-10-01,-1.1468
2009-10-02,-0.0464
2009-10-03,
2009-10-04,
2009-10-05,-1.3463
2009-10-06,3.5765000000000002
2009-10-07,-0.0454
2009-10-08,3.9091
2009-10-09,1.706
2009-10-10,
2009-10-11,
2009-10-12,-1.1183
2009-10-13,-1.6964000000000001
2009-10-14,0.4425
2009-10-15,0.7489
2009-10-16,-0.7433
2009-10-17,
2009-10-18,
2009-10-19,1.1454
2009-10-20,-2.5697
2009-10-21,-2.6375
2009-10-22,4.3159
2009-10-23,-0.3961
2009-10-24,
2009-10-25,
2009-10-26,0.2209
2009-10-27,-0.7937
2009-10-28,0.0
2009-10-29,5.2889
2009-10-30,-5.572
2009-10-31,
2009-11-01,
2009-11-02,-0.1341
2009-11-03,-1.4324
2009-11-04,2.4069
2009-11-05,6.3858
2009-11-06,-2.7095000000000002
2009-11-07,
2009-11-08,
2009-11-09,2.9563
2009-11-10,3.0795
2009-11-11,1.5745
2009-11-12,-1.3514
2009-11-13,0.6044
2009-11-14,
2009-11-15,
2009-11-16,2.1225
2009-11-17,0.1961
2009-11-18,-0.0391
2009-11-19,-1.4096
2009-11-20,-0.4766
2009-11-21,
2009-11-22,
2009-11-23,3.8308
2009-11-24,2.3444
2009-11-25,-0.9388
2009-11-26,
2009-11-27,-2.2365
2009-11-28,
2009-11-29,
2009-11-30,0.1551
2009-12-01,0.0774
2009-12-02,0.1547
2009-12-03,-4.6736
2009-12-04,-0.6888
2009-12-05,
2009-12-06,
2009-12-07,0.8568
2009-12-08,-1.4563
2009-12-09,-1.2726
2009-12-10,-0.0416
2009-12-11,1.6639
2009-12-12,
2009-12-13,
2009-12-14,0.8183
2009-12-15,-1.461
2009-12-16,0.0824
2009-12-17,-0.9877
2009-12-18,5.1122
2009-12-19,
2009-12-20,
2009-12-21,1.1072
2009-12-22,1.9945
2009-12-23,0.2684
2009-12-24,0.7648
2009-12-25,
2009-12-26,
2009-12-27,
2009-12-28,0.5313
2009-12-29,-2.265
2009-12-30,-3.0127
2009-12-31,-0.3982
2010-01-01,
2010-01-02,
2010-01-03,
2010-01-04,-0.3199
2010-01-05,-1.083
2010-01-06,0.5677
2010-01-07,1.2903
2010-01-08,4.1401
2010-01-09,
2010-01-10,
2010-01-11,1.8349
2010-01-12,-3.979
2010-01-13,0.6646
2010-01-14,0.932
2010-01-15,-1.5391
2010-01-16,
2010-01-17,
2010-01-18,
2010-01-19,1.7976
2010-01-20,2.8023
2010-01-21,1.4563
2010-01-22,1.3986
2010-01-23,
2010-01-24,
2010-01-25,-0.1815
2010-01-26,0.0727
2010-01-27,-2.1076
2010-01-28,-2.9696
2010-01-29,-1.492
2010-01-30,
2010-01-31,
2010-02-01,1.0097
2010-02-02,3.4218
2010-02-03,-2.0818
2010-02-04,-1.6705
2010-02-05,0.3089
2010-02-06,
2010-02-07,
2010-02-08,-0.5389
2010-02-09,1.5867
2010-02-10,0.7619
2010-02-11,-2.4575
2010-02-12,-2.4419
2010-02-13,
2010-02-14,
2010-02-15,
2010-02-16,0.5959
2010-02-17,3.515
2010-02-18,0.0
2010-02-19,0.1908
2010-02-20,
2010-02-21,
2010-02-22,0.495
2010-02-23,-1.7431
2010-02-24,-0.3471
2010-02-25,-1.8189
2010-02-26,-0.5124
2010-02-27,
2010-02-28,
2010-03-01,3.3677
2010-03-02,-1.2649
2010-03-03,-1.4752
2010-03-04,0.2364
2010-03-05,2.0833
2010-03-06,
2010-03-07,
2010-03-08,-0.154
2010-03-09,-0.4628
2010-03-10,-0.5812
2010-03-11,-0.1169
2010-03-12,0.6633
2010-03-13,
2010-03-14,
2010-03-15,-0.0388
2010-03-16,-0.1163
2010-03-17,-1.3975
2010-03-18,0.1181
2010-03-19,-0.9831
2010-03-20,
2010-03-21,
2010-03-22,0.3574
2010-03-23,-0.3957
2010-03-24,-0.7549
2010-03-25,0.0801
2010-03-26,1.8
2010-03-27,
2010-03-28,
2010-03-29,1.3752
2010-03-30,3.0233
2010-03-31,-0.5643
2010-04-01,-0.9837
2010-04-02,
2010-04-03,
2010-04-04,
2010-04-05,0.726
2010-04-06,0.0759
2010-04-07,-0.4928
2010-04-08,0.0381
2010-04-09,1.1804999999999999
2010-04-10,
2010-04-11,
2010-04-12,-0.4893
2010-04-13,2.0802
2010-04-14,-0.5558
2010-04-15,0.2981
2010-04-16,0.9287
2010-04-17,
2010-04-18,
2010-04-19,1.8771
2010-04-20,0.4697
2010-04-21,0.9349
2010-04-22,-0.4631
2010-04-23,-0.4653
2010-04-24,
2010-04-25,
2010-04-26,-2.0856
2010-04-27,-2.13
2010-04-28,1.9887000000000001
2010-04-29,1.1405
2010-04-30,0.3274
2010-05-01,
2010-05-02,
2010-05-03,-1.0152
2010-05-04,4.6154
2010-05-05,1.3305
2010-05-06,-4.5612
2010-05-07,-5.286
2010-05-08,
2010-05-09,
2010-05-10,1.7966
2010-05-11,-0.6008
2010-05-12,-0.34
2010-05-13,-1.2889
2010-05-14,-0.768
2010-05-15,
2010-05-16,
2010-05-17,-1.1223
2010-05-18,-0.6654
2010-05-19,-0.1182
2010-05-20,-2.5247
2010-05-21,0.0405
2010-05-22,
2010-05-23,
2010-05-24,1.2136
2010-05-25,-0.9992
2010-05-26,-0.1615
2010-05-27,3.4371
2010-05-28,-0.6255
2010-05-29,
2010-05-30,
2010-05-31,
2010-06-01,-1.4162
2010-06-02,3.352
2010-06-03,0.1158
2010-06-04,-4.3579
2010-06-05,
2010-06-06,
2010-06-07,-0.1613
2010-06-08,1.4136
2010-06-09,-0.0796
2010-06-10,0.8768
2010-06-11,0.7507
2010-06-12,
2010-06-13,
2010-06-14,0.1961
2010-06-15,-0.0783
2010-06-16,-0.1567
2010-06-17,-0.7454
2010-06-18,-2.4506
2010-06-19,
2010-06-20,
2010-06-21,-0.5267
2010-06-22,-2.3625
2010-06-23,-0.5006
2010-06-24,-1.174
2010-06-25,-0.9758
2010-06-26,
2010-06-27,
2010-06-28,1.2852999999999999
2010-06-29,-3.3418
2010-06-30,-0.6565
2010-07-01,-1.2775
2010-07-02,0.0446
2010-07-03,
2010-07-04,
2010-07-05,
2010-07-06,1.3381
2010-07-07,0.1761
2010-07-08,-0.0439
2010-07-09,-0.6154
2010-07-10,
2010-07-11,
2010-07-12,-0.575
2010-07-13,1.6904
2010-07-14,-1.3123
2010-07-15,-0.6206
2010-07-16,-3.8805
2010-07-17,
2010-07-18,
2010-07-19,1.2993000000000001
2010-07-20,-0.7787
2010-07-21,-4.5245
2010-07-22,2.4662
2010-07-23,1.7461
2010-07-24,
2010-07-25,
2010-07-26,1.3451
2010-07-27,-1.5103
2010-07-28,-0.9758
2010-07-29,-0.9855
2010-07-30,-0.1422
2010-07-31,
2010-08-01,
2010-08-02,1.7086000000000001
2010-08-03,-1.3532
2010-08-04,1.4664
2010-08-05,0.1865
2010-08-06,0.0
2010-08-07,
2010-08-08,
2010-08-09,1.0703
2010-08-10,-1.4733
2010-08-11,8.6916
2010-08-12,-2.1926
2010-08-13,0.4396
2010-08-14,
2010-08-15,
2010-08-16,-1.1379
2010-08-17,-0.2656
2010-08-18,-0.2219
