date,FLT UN Equity
2010-12-17,2.6325
2010-12-18,
2010-12-19,
2010-12-20,1.6388
2010-12-21,4.2762
2010-12-22,-2.2521
2010-12-23,5.9491
2010-12-24,
2010-12-25,
2010-12-26,
2010-12-27,0.5842
2010-12-28,0.2259
2010-12-29,-0.1932
2010-12-30,-0.6452
2010-12-31,0.3896
2011-01-01,
2011-01-02,
2011-01-03,-1.4554
2011-01-04,-1.6080999999999999
2011-01-05,1.4009
2011-01-06,-1.2171
2011-01-07,-0.1332
2011-01-08,
2011-01-09,
2011-01-10,0.0333
2011-01-11,3.8333
2011-01-12,-0.6742
2011-01-13,-2.3917
2011-01-14,0.1656
2011-01-15,
2011-01-16,
2011-01-17,
2011-01-18,-0.0661
2011-01-19,-0.1323
2011-01-20,-0.4637
2011-01-21,1.4975
2011-01-22,
2011-01-23,
2011-01-24,3.5082
2011-01-25,-1.6471
2011-01-26,0.8052
2011-01-27,-3.738
2011-01-28,-0.4978
2011-01-29,
2011-01-30,
2011-01-31,0.0667
2011-02-01,0.1333
2011-02-02,-0.1332
2011-02-03,0.0
2011-02-04,-0.0333
2011-02-05,
2011-02-06,
2011-02-07,1.7339
2011-02-08,2.1304
2011-02-09,0.3851
2011-02-10,-0.032
2011-02-11,0.7675
2011-02-12,
2011-02-13,
2011-02-14,-1.6185
2011-02-15,0.0
2011-02-16,1.5484
2011-02-17,3.2402
2011-02-18,3.1077
2011-02-19,
2011-02-20,
2011-02-21,
2011-02-22,-4.6255
2011-02-23,0.1252
2011-02-24,1.5312999999999999
2011-02-25,-1.3235000000000001
2011-02-26,
2011-02-27,
2011-02-28,-0.2183
2011-03-01,-4.0325
2011-03-02,-2.0521
2011-03-03,2.0951
2011-03-04,0.1629
2011-03-05,
2011-03-06,
2011-03-07,-1.2683
2011-03-08,0.2635
2011-03-09,-0.887
2011-03-10,0.2652
2011-03-11,0.8595
2011-03-12,
2011-03-13,
2011-03-14,2.6875999999999998
2011-03-15,0.7022
2011-03-16,-0.3803
2011-03-17,-0.2545
2011-03-18,0.7337
2011-03-19,
2011-03-20,
2011-03-21,4.9715
2011-03-22,-1.267
2011-03-23,1.7721
2011-03-24,-0.4203
2011-03-25,-0.2412
2011-03-26,
2011-03-27,
2011-03-28,3.9589
2011-03-29,-4.9419
2011-03-30,-0.7034
2011-03-31,0.5852
2011-04-01,4.3478
2011-04-02,
2011-04-03,
2011-04-04,-0.2347
2011-04-05,-0.5294
2011-04-06,-3.0455
2011-04-07,1.6468
2011-04-08,-0.7201
2011-04-09,
2011-04-10,
2011-04-11,0.8462
2011-04-12,-0.2397
2011-04-13,0.6008
2011-04-14,0.5375
2011-04-15,1.7523
2011-04-16,
2011-04-17,
2011-04-18,-1.4594
2011-04-19,1.3626
2011-04-20,1.7534
2011-04-21,-0.5169
2011-04-22,
2011-04-23,
2011-04-24,
2011-04-25,-1.0104
2011-04-26,0.9915
2011-04-27,0.5198
2011-04-28,5.688
2011-04-29,1.9571
2011-04-30,
2011-05-01,
2011-05-02,-3.6790000000000003
2011-05-03,-5.5632
2011-05-04,-0.0879
2011-05-05,1.8479999999999999
2011-05-06,-4.4355
2011-05-07,
2011-05-08,
2011-05-09,-0.1808
2011-05-10,1.9928
2011-05-11,-1.1545
2011-05-12,0.6589
2011-05-13,5.2663
2011-05-14,
2011-05-15,
2011-05-16,-0.6501
2011-05-17,-3.0725
2011-05-18,2.7297000000000002
2011-05-19,2.8571
2011-05-20,-1.3889
2011-05-21,
2011-05-22,
2011-05-23,-1.7746
2011-05-24,-1.5199
2011-05-25,-1.8054999999999999
2011-05-26,-0.089
2011-05-27,-0.9498
2011-05-28,
2011-05-29,
2011-05-30,
2011-05-31,1.1088
2011-06-01,-2.1932
2011-06-02,-0.2727
2011-06-03,-3.4032
2011-06-04,
2011-06-05,
2011-06-06,-2.2334
2011-06-07,-1.4801
2011-06-08,-2.0248
2011-06-09,0.1333
2011-06-10,-2.9294000000000002
2011-06-11,
2011-06-12,
2011-06-13,2.915
2011-06-14,0.4998
2011-06-15,-0.2321
2011-06-16,-0.0665
2011-06-17,0.5321
2011-06-18,
2011-06-19,
2011-06-20,-0.7608
2011-06-21,1.1667
2011-06-22,-0.8237
2011-06-23,0.1993
2011-06-24,-0.3979
2011-06-25,
2011-06-26,
2011-06-27,-0.3662
2011-06-28,-0.2005
2011-06-29,-1.1383
2011-06-30,0.3725
2011-07-01,0.2024
2011-07-02,
2011-07-03,
2011-07-04,
2011-07-05,-0.5724
2011-07-06,1.9302000000000001
2011-07-07,-1.3289
2011-07-08,0.3367
2011-07-09,
2011-07-10,
2011-07-11,0.604
2011-07-12,0.0667
2011-07-13,0.5
2011-07-14,-0.796
2011-07-15,-0.9696
2011-07-16,
2011-07-17,
2011-07-18,-0.3714
2011-07-19,0.7116
2011-07-20,-0.572
2011-07-21,-0.1354
2011-07-22,-0.4066
2011-07-23,
2011-07-24,
2011-07-25,-0.7826
2011-07-26,0.583
2011-07-27,-0.1023
2011-07-28,0.6143
2011-07-29,0.5427
2011-07-30,
2011-07-31,
2011-08-01,-0.0675
2011-08-02,-1.4517
2011-08-03,-0.2741
2011-08-04,-2.439
2011-08-05,5.6690000000000005
2011-08-06,
2011-08-07,
2011-08-08,-10.13
2011-08-09,7.0078
2011-08-10,-1.5246
2011-08-11,-3.4131
2011-08-12,-1.7851
2011-08-13,
2011-08-14,
2011-08-15,0.1855
2011-08-16,-2.6657
2011-08-17,2.7006
2011-08-18,-5.2593
2011-08-19,-1.251
2011-08-20,
2011-08-21,
2011-08-22,-0.0396
2011-08-23,6.2178
2011-08-24,3.9523
2011-08-25,0.1076
2011-08-26,0.3225
2011-08-27,
2011-08-28,
2011-08-29,1.6785999999999999
2011-08-30,-1.405
2011-08-31,1.2113
2011-09-01,-0.528
2011-09-02,-1.3093
2011-09-03,
2011-09-04,
2011-09-05,
2011-09-06,-0.2868
2011-09-07,0.7911
2011-09-08,-0.8205
2011-09-09,-0.4317
2011-09-10,
2011-09-11,
2011-09-12,0.7225
2011-09-13,0.5022
2011-09-14,1.4276
2011-09-15,1.513
2011-09-16,0.8666
2011-09-17,
2011-09-18,
2011-09-19,-3.0241
2011-09-20,-1.3111
2011-09-21,-3.9497
2011-09-22,-1.9064999999999999
2011-09-23,1.4101
2011-09-24,
2011-09-25,
2011-09-26,-1.4656
2011-09-27,3.2037
2011-09-28,-0.9239
2011-09-29,-2.1261
2011-09-30,0.0762
2011-10-01,
2011-10-02,
2011-10-03,-1.8279
2011-10-04,5.896
2011-10-05,1.6484
2011-10-06,1.009
2011-10-07,-0.8205
2011-10-08,
2011-10-09,
2011-10-10,0.7554
2011-10-11,-0.0357
2011-10-12,0.7857
2011-10-13,-0.3898
2011-10-14,-0.1067
2011-10-15,
2011-10-16,
2011-10-17,-2.9202
2011-10-18,1.6875
2011-10-19,0.6494
2011-10-20,-0.6093
2011-10-21,0.0721
2011-10-22,
2011-10-23,
2011-10-24,1.0811
2011-10-25,-0.3922
2011-10-26,0.2147
2011-10-27,0.7857
2011-10-28,-0.1063
2011-10-29,
2011-10-30,
2011-10-31,-0.8159
2011-11-01,-2.3605
2011-11-02,1.9414
2011-11-03,1.581
2011-11-04,-1.0612
2011-11-05,
2011-11-06,
2011-11-07,0.286
2011-11-08,-0.713
2011-11-09,-3.3752
2011-11-10,5.6485
2011-11-11,3.9395
2011-11-12,
2011-11-13,
2011-11-14,-2.7411
2011-11-15,0.8003
2011-11-16,-0.5523
2011-11-17,-2.2561999999999998
2011-11-18,0.2486
2011-11-19,
2011-11-20,
2011-11-21,-1.169
2011-11-22,-0.5376
2011-11-23,-2.018
2011-11-24,
2011-11-25,-0.7723
2011-11-26,
2011-11-27,
2011-11-28,1.4455
2011-11-29,1.3153000000000001
2011-11-30,2.4162
2011-12-01,0.0352
2011-12-02,0.9504
2011-12-03,
2011-12-04,
