date,CME UW Equity
2008-07-16,7.2825
2008-07-17,1.1419
2008-07-18,-0.6362
2008-07-19,
2008-07-20,
2008-07-21,-2.1463
2008-07-22,12.515
2008-07-23,6.6481
2008-07-24,-5.8625
2008-07-25,0.3019
2008-07-26,
2008-07-27,
2008-07-28,-4.8206
2008-07-29,6.5888
2008-07-30,-0.2379
2008-07-31,-3.5254
2008-08-01,-7.5501000000000005
2008-08-02,
2008-08-03,
2008-08-04,-3.2108
2008-08-05,5.0427
2008-08-06,1.2496
2008-08-07,-4.1549
2008-08-08,4.1523
2008-08-09,
2008-08-10,
2008-08-11,2.3558
2008-08-12,-3.5781
2008-08-13,0.2428
2008-08-14,1.6072
2008-08-15,3.998
2008-08-16,
2008-08-17,
2008-08-18,-5.8797
2008-08-19,-0.0267
2008-08-20,1.6164
2008-08-21,0.0351
2008-08-22,4.405
2008-08-23,
2008-08-24,
2008-08-25,-4.6335
2008-08-26,-5.3401
2008-08-27,2.4997
2008-08-28,4.233
2008-08-29,-2.6445
2008-08-30,
2008-08-31,
2008-09-01,
2008-09-02,0.808
2008-09-03,2.8838
2008-09-04,-5.8044
2008-09-05,0.3907
2008-09-06,
2008-09-07,
2008-09-08,7.0106
2008-09-09,-7.0288
2008-09-10,1.8487
2008-09-11,2.4472
2008-09-12,2.9177
2008-09-13,
2008-09-14,
2008-09-15,-3.8399
2008-09-16,2.2089
2008-09-17,-6.559
2008-09-18,11.9125
2008-09-19,12.5
2008-09-20,
2008-09-21,
2008-09-22,-2.2222
2008-09-23,-5.1389
2008-09-24,-1.0468
2008-09-25,3.2963
2008-09-26,5.3159
2008-09-27,
2008-09-28,
2008-09-29,-19.7995
2008-09-30,16.0969
2008-10-01,7.0631
2008-10-02,-6.0541
2008-10-03,-3.0428
2008-10-04,
2008-10-05,
2008-10-06,9.8565
2008-10-07,-0.505
2008-10-08,2.4343
2008-10-09,-12.3854
2008-10-10,10.6134
2008-10-11,
2008-10-12,
2008-10-13,4.8026
2008-10-14,-3.301
2008-10-15,-9.4654
2008-10-16,3.5072
2008-10-17,-2.1803
2008-10-18,
2008-10-19,
2008-10-20,-1.3363
2008-10-21,-8.7783
2008-10-22,-7.9406
2008-10-23,-8.2389
2008-10-24,-9.5296
2008-10-25,
2008-10-26,
2008-10-27,-7.1696
2008-10-28,14.2802
2008-10-29,0.3602
2008-10-30,3.0735
2008-10-31,2.3506
2008-11-01,
2008-11-02,
2008-11-03,6.7446
2008-11-04,6.0396
2008-11-05,-11.6855
2008-11-06,-7.9454
2008-11-07,3.6242
2008-11-08,
2008-11-09,
2008-11-10,-9.7082
2008-11-11,-2.6839
2008-11-12,-4.9786
2008-11-13,0.2493
2008-11-14,-7.1803
2008-11-15,
2008-11-16,
2008-11-17,-9.147
2008-11-18,-1.5796999999999999
2008-11-19,-8.5763
2008-11-20,-8.386
2008-11-21,12.2836
2008-11-22,
2008-11-23,
2008-11-24,13.9948
2008-11-25,-0.2196
2008-11-26,5.9118
2008-11-27,
2008-11-28,0.0897
2008-11-29,
2008-11-30,
2008-12-01,-18.5468
2008-12-02,-0.0232
2008-12-03,5.6141
2008-12-04,-2.6496
2008-12-05,9.6416
2008-12-06,
2008-12-07,
2008-12-08,15.3518
2008-12-09,-2.4139
2008-12-10,1.5925
2008-12-11,-3.4648
2008-12-12,-1.6004
2008-12-13,
2008-12-14,
2008-12-15,-3.2813
2008-12-16,9.4257
2008-12-17,0.1932
2008-12-18,-0.148
2008-12-19,-4.2264
2008-12-20,
2008-12-21,
2008-12-22,-9.1165
2008-12-23,-4.3447
2008-12-24,1.1058
2008-12-25,
2008-12-26,-2.8491
2008-12-27,
2008-12-28,
2008-12-29,0.9007
2008-12-30,8.9479
2008-12-31,3.9666
2009-01-01,
2009-01-02,2.1479
2009-01-03,
2009-01-04,
2009-01-05,-1.0537
2009-01-06,-3.4896
2009-01-07,-2.1232
2009-01-08,-3.2563
2009-01-09,-2.0757
2009-01-10,
2009-01-11,
2009-01-12,0.5047
2009-01-13,-2.199
2009-01-14,-4.9832
2009-01-15,-4.5791
2009-01-16,4.0238
2009-01-17,
2009-01-18,
2009-01-19,
2009-01-20,-8.8424
2009-01-21,13.5223
2009-01-22,-6.7615
2009-01-23,0.2198
2009-01-24,
2009-01-25,
2009-01-26,-1.2801
2009-01-27,1.2366
2009-01-28,9.979800000000001
2009-01-29,-6.373
2009-01-30,0.1497
2009-01-31,
2009-02-01,
2009-02-02,-3.2488
2009-02-03,1.9375
2009-02-04,0.6122
2009-02-05,3.1755
2009-02-06,6.15
2009-02-07,
2009-02-08,
2009-02-09,-0.5397
2009-02-10,-4.7292
2009-02-11,3.4564
2009-02-12,4.1991
2009-02-13,-1.2587
2009-02-14,
2009-02-15,
2009-02-16,
2009-02-17,-6.3736
2009-02-18,-0.4874
2009-02-19,0.6419
2009-02-20,1.7231
2009-02-21,
2009-02-22,
2009-02-23,-4.8837
2009-02-24,6.5337
2009-02-25,-1.2266
2009-02-26,1.1264
2009-02-27,-0.8911
2009-02-28,
2009-03-01,
2009-03-02,-4.9945
2009-03-03,2.643
2009-03-04,5.802
2009-03-05,-3.0607
2009-03-06,0.6413
2009-03-07,
2009-03-08,
2009-03-09,0.7728
2009-03-10,5.651
2009-03-11,-0.5405
2009-03-12,4.0114
2009-03-13,-1.3934
2009-03-14,
2009-03-15,
2009-03-16,-1.7058
2009-03-17,14.9612
2009-03-18,6.2972
2009-03-19,-4.2351
2009-03-20,0.3027
2009-03-21,
