date,ADNT UN Equity
2016-10-19,0.2234
2016-10-20,-1.7025000000000001
2016-10-21,-1.5464
2016-10-22,
2016-10-23,
2016-10-24,-2.0942
2016-10-25,-5.1337
2016-10-26,2.593
2016-10-27,-0.5495
2016-10-28,1.6133
2016-10-29,
2016-10-30,
2016-10-31,-1.0222
2016-11-01,-0.4614
2016-11-02,-0.6623
2016-11-03,-0.5556
2016-11-04,-1.2291
2016-11-05,
2016-11-06,
2016-11-07,0.905
2016-11-08,3.7443999999999997
2016-11-09,-4.3441
2016-11-10,3.7054
2016-11-11,1.4815
2016-11-12,
2016-11-13,
2016-11-14,-1.7389000000000001
2016-11-15,4.2604
2016-11-16,4.7779
2016-11-17,7.0
2016-11-18,-0.8411
2016-11-19,
2016-11-20,
2016-11-21,-0.1508
2016-11-22,6.9851
2016-11-23,-1.1999
2016-11-24,
2016-11-25,-0.2322
2016-11-26,
2016-11-27,
2016-11-28,-2.7211
2016-11-29,-0.276
2016-11-30,-1.1626
2016-12-01,2.7446
2016-12-02,-1.4356
2016-12-03,
2016-12-04,
2016-12-05,0.2212
2016-12-06,1.3061
2016-12-07,3.777
2016-12-08,0.0
2016-12-09,1.7323
2016-12-10,
2016-12-11,
2016-12-12,-0.8084
2016-12-13,0.2081
2016-12-14,-0.796
2016-12-15,-1.8141
2016-12-16,-3.7662
2016-12-17,
2016-12-18,
2016-12-19,-2.8614
2016-12-20,5.0741
2016-12-21,2.4055
2016-12-22,0.6711
2016-12-23,-1.0702
2016-12-24,
2016-12-25,
2016-12-26,
2016-12-27,2.1458
2016-12-28,0.2778
2016-12-29,0.1904
2016-12-30,1.2614
2016-12-31,
2017-01-01,
2017-01-02,
2017-01-03,-1.4846
2017-01-04,0.7795
2017-01-05,-2.0282
2017-01-06,-0.8947
2017-01-07,
2017-01-08,
2017-01-09,-1.0798
2017-01-10,4.7602
2017-01-11,5.1589
2017-01-12,-2.4042
2017-01-13,2.2304
2017-01-14,
2017-01-15,
2017-01-16,
2017-01-17,2.3771
2017-01-18,3.0057
2017-01-19,-2.2541
2017-01-20,1.3900000000000001
2017-01-21,
2017-01-22,
2017-01-23,-0.1869
2017-01-24,2.825
2017-01-25,-0.7741
2017-01-26,0.2754
2017-01-27,-1.8458999999999999
2017-01-28,
2017-01-29,
2017-01-30,-0.4974
2017-01-31,-0.8279
2017-02-01,1.0238
2017-02-02,1.5123
2017-02-03,-3.21
2017-02-04,
2017-02-05,
2017-02-06,-1.2377
2017-02-07,-3.3419
2017-02-08,1.0306
2017-02-09,0.6746
2017-02-10,0.0981
2017-02-11,
2017-02-12,
2017-02-13,-0.1796
2017-02-14,1.5537999999999998
2017-02-15,3.0279
2017-02-16,1.1412
2017-02-17,-1.0665
2017-02-18,
2017-02-19,
2017-02-20,
2017-02-21,4.6087
2017-02-22,0.8513
2017-02-23,-2.3397
2017-02-24,0.8036
2017-02-25,
2017-02-26,
2017-02-27,1.5794000000000001
2017-02-28,-0.5923
2017-03-01,0.8789
2017-03-02,-0.694
2017-03-03,0.9219
2017-03-04,
2017-03-05,
2017-03-06,-0.1179
2017-03-07,0.7671
2017-03-08,0.9515
2017-03-09,0.7976
2017-03-10,0.8488
2017-03-11,
2017-03-12,
2017-03-13,3.2668
2017-03-14,2.4451
2017-03-15,2.0631
2017-03-16,-2.3649
2017-03-17,-1.4614
2017-03-18,
2017-03-19,
2017-03-20,-0.9887
2017-03-21,-3.5229
2017-03-22,0.7763
2017-03-23,-2.6106
2017-03-24,0.769
2017-03-25,
2017-03-26,
2017-03-27,2.6853
2017-03-28,2.743
2017-03-29,-1.1482
2017-03-30,0.07
2017-03-31,1.6221999999999999
2017-04-01,
2017-04-02,
2017-04-03,-3.4953
2017-04-04,-2.8518
2017-04-05,-2.3191
2017-04-06,0.1052
2017-04-07,0.3452
2017-04-08,
2017-04-09,
2017-04-10,0.5236
2017-04-11,0.4613
2017-04-12,-1.422
2017-04-13,0.9467
2017-04-14,
2017-04-15,
2017-04-16,
2017-04-17,0.134
2017-04-18,-1.6501000000000001
2017-04-19,2.1463
2017-04-20,2.2344
2017-04-21,0.2171
2017-04-22,
2017-04-23,
2017-04-24,0.6355
2017-04-25,0.6889
2017-04-26,0.0713
