date,VNT UN Equity
2020-09-29,-7.5758
2020-09-30,1.6393
2020-10-01,9.6774
2020-10-02,2.9406
2020-10-03,
2020-10-04,
2020-10-05,-2.1423
2020-10-06,2.1898
2020-10-07,-2.1429
2020-10-08,-2.1898
2020-10-09,-16.0896
2020-10-10,
2020-10-11,
2020-10-12,-0.9249
2020-10-13,-3.9138
2020-10-14,4.6712
2020-10-15,-0.9282
2020-10-16,1.8378
2020-10-17,
2020-10-18,
2020-10-19,-0.0354
2020-10-20,0.6726
2020-10-21,0.3868
2020-10-22,4.5884
2020-10-23,1.4401
2020-10-24,
2020-10-25,
2020-10-26,-2.6411
2020-10-27,-2.8145
2020-10-28,-1.3957
2020-10-29,0.0708
2020-10-30,1.6266
2020-10-31,
2020-11-01,
2020-11-02,4.245
2020-11-03,-0.5007
2020-11-04,-1.0399
2020-11-05,-0.5085
2020-11-06,-1.3969
2020-11-07,
2020-11-08,
2020-11-09,-1.3822
2020-11-10,-0.9811
2020-11-11,2.6539
2020-11-12,-1.6200999999999999
2020-11-13,0.1051
2020-11-14,
2020-11-15,
2020-11-16,1.8901
2020-11-17,5.2559000000000005
2020-11-18,1.795
2020-11-19,-1.5069
2020-11-20,1.4974
2020-11-21,
2020-11-22,
2020-11-23,1.9885000000000002
2020-11-24,3.0189
2020-11-25,2.7473
2020-11-26,
2020-11-27,1.2775
2020-11-28,
2020-11-29,
2020-11-30,-2.6987
2020-12-01,-0.5125
2020-12-02,0.2727
2020-12-03,0.272
2020-12-04,-0.3315
2020-12-05,
2020-12-06,
2020-12-07,-1.6934
2020-12-08,-1.5687
2020-12-09,-0.125
2020-12-10,-0.1564
2020-12-11,-2.2877
2020-12-12,
2020-12-13,
2020-12-14,3.4317
2020-12-15,1.6434
2020-12-16,-0.2746
2020-12-17,2.4778000000000002
2020-12-18,1.2239
2020-12-19,
2020-12-20,
2020-12-21,0.7667
2020-12-22,-0.3805
2020-12-23,0.3231
2020-12-24,-0.5271
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,-1.7368000000000001
2020-12-29,-2.0971
2020-12-30,0.5508
2020-12-31,1.6433
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,-0.5689
2021-01-05,-0.4818
2021-01-06,1.6036000000000001
2021-01-07,1.9059
2021-01-08,1.7534
2021-01-09,
2021-01-10,
2021-01-11,-0.2298
2021-01-12,-2.1589
2021-01-13,1.1768
2021-01-14,4.3908
2021-01-15,-2.2284
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,-2.963
2021-01-20,0.0
2021-01-21,-0.411
2021-01-22,-0.3243
2021-01-23,
2021-01-24,
2021-01-25,1.331
2021-01-26,-0.5254
