date,CVET UW Equity
2019-02-07,-6.798
2019-02-08,-4.7387
2019-02-09,
2019-02-10,
2019-02-11,-8.4126
2019-02-12,-1.9702
2019-02-13,2.4986
2019-02-14,-3.1267
2019-02-15,-0.0274
2019-02-16,
2019-02-17,
2019-02-18,
2019-02-19,7.6607
2019-02-20,-10.8259
2019-02-21,1.0259
2019-02-22,4.9083
2019-02-23,
2019-02-24,
2019-02-25,5.1627
2019-02-26,2.0455
2019-02-27,-6.1138
2019-02-28,-4.5103
2019-03-01,1.2577
2019-03-02,
2019-03-03,
2019-03-04,-4.6646
2019-03-05,1.6213
2019-03-06,-2.7066
2019-03-07,-5.2709
2019-03-08,3.2767
2019-03-09,
2019-03-10,
2019-03-11,1.7959
2019-03-12,-0.1176
2019-03-13,2.4728
2019-03-14,3.1026
2019-03-15,-3.9844
2019-03-16,
2019-03-17,
2019-03-18,-0.6674
2019-03-19,1.5776
2019-03-20,0.8341
2019-03-21,2.8523
2019-03-22,-3.5496
2019-03-23,
2019-03-24,
2019-03-25,-3.479
2019-03-26,-0.1787
2019-03-27,-3.3423
2019-03-28,-2.686
2019-03-29,1.047
2019-03-30,
2019-03-31,
2019-04-01,1.5699
2019-04-02,0.3091
2019-04-03,-0.678
2019-04-04,0.0
2019-04-05,2.8545
2019-04-06,
2019-04-07,
2019-04-08,-1.4781
2019-04-09,-0.3368
2019-04-10,-1.6897
2019-04-11,1.5
2019-04-12,0.5234
2019-04-13,
2019-04-14,
2019-04-15,0.4594
2019-04-16,-0.4573
2019-04-17,0.9495
2019-04-18,-0.9405
2019-04-19,
2019-04-20,
2019-04-21,
2019-04-22,-0.49
2019-04-23,1.6928
2019-04-24,-0.6356
2019-04-25,0.4874
2019-04-26,-0.0303
2019-04-27,
2019-04-28,
2019-04-29,-0.0606
2019-04-30,-0.2731
2019-05-01,-0.0913
2019-05-02,0.4263
2019-05-03,0.8793
2019-05-04,
2019-05-05,
2019-05-06,-0.7514
2019-05-07,-2.5742000000000003
2019-05-08,-5.0979
2019-05-09,-2.0963
2019-05-10,-5.0853
2019-05-11,
2019-05-12,
2019-05-13,-3.2429
2019-05-14,6.2295
2019-05-15,0.4115
2019-05-16,-3.2787
2019-05-17,1.3065
2019-05-18,
2019-05-19,
2019-05-20,-1.9868000000000001
2019-05-21,-0.2489
2019-05-22,-2.4955
2019-05-23,-5.5576
2019-05-24,1.1614
2019-05-25,
2019-05-26,
2019-05-27,
2019-05-28,-1.837
2019-05-29,1.3255
2019-05-30,-3.0396
2019-05-31,-2.1429
2019-06-01,
2019-06-02,
2019-06-03,2.3925
2019-06-04,3.2871
2019-06-05,-1.0352999999999999
2019-06-06,-0.6974
2019-06-07,0.6633
2019-06-08,
2019-06-09,
2019-06-10,-1.124
2019-06-11,-1.1368
2019-06-12,-0.9913
2019-06-13,1.0412
2019-06-14,-0.872
2019-06-15,
2019-06-16,
2019-06-17,-2.2791
2019-06-18,4.2144
2019-06-19,-0.903
2019-06-20,-1.9809999999999999
2019-06-21,-4.4058
2019-06-22,
2019-06-23,
2019-06-24,-0.4228
2019-06-25,-0.2548
2019-06-26,-2.5968
2019-06-27,4.021
2019-06-28,2.7731
2019-06-29,
2019-06-30,
2019-07-01,0.5724
2019-07-02,0.3252
2019-07-03,0.2026
2019-07-04,
2019-07-05,1.1727
2019-07-06,
2019-07-07,
2019-07-08,-3.0376
2019-07-09,-1.1129
2019-07-10,1.1255
2019-07-11,3.1327
2019-07-12,0.0
2019-07-13,
2019-07-14,
2019-07-15,2.1982
2019-07-16,-0.9386
2019-07-17,-1.5002
2019-07-18,2.0441
2019-07-19,-2.9065
2019-07-20,
2019-07-21,
2019-07-22,-2.9531
2019-07-23,-0.0417
2019-07-24,0.5421
2019-07-25,-1.6176
2019-07-26,-1.0118
2019-07-27,
2019-07-28,
2019-07-29,-0.724
2019-07-30,1.8018
