date,NWS UW Equity
2013-06-21,2.3316
2013-06-22,
2013-06-23,
2013-06-24,-1.7722
2013-06-25,0.9021
2013-06-26,-1.2133
2013-06-27,-0.6464
2013-06-28,0.0651
2013-06-29,
2013-06-30,
2013-07-01,-3.316
2013-07-02,0.807
2013-07-03,-0.1334
2013-07-04,
2013-07-05,4.2752
2013-07-06,
2013-07-07,
2013-07-08,2.6265
2013-07-09,-1.8102
2013-07-10,-1.78
2013-07-11,-1.5534
2013-07-12,-1.4464000000000001
2013-07-13,
2013-07-14,
2013-07-15,-1.2675
2013-07-16,3.9865
2013-07-17,4.0936
2013-07-18,-2.6217
2013-07-19,3.3333
2013-07-20,
2013-07-21,
2013-07-22,-1.3648
2013-07-23,-0.3145
2013-07-24,0.4416
2013-07-25,-1.005
2013-07-26,2.0939
2013-07-27,
2013-07-28,
2013-07-29,-2.3617
2013-07-30,2.7371
2013-07-31,-0.3098
2013-08-01,1.8645
2013-08-02,0.6711
2013-08-03,
2013-08-04,
2013-08-05,-1.7576
2013-08-06,1.1104
2013-08-07,-1.4033
2013-08-08,1.3614
2013-08-09,-0.8547
2013-08-10,
2013-08-11,
2013-08-12,-0.8005
2013-08-13,-0.3724
2013-08-14,0.81
2013-08-15,0.8653
2013-08-16,-0.7966
2013-08-17,
2013-08-18,
2013-08-19,-1.853
2013-08-20,-0.0629
2013-08-21,0.3778
2013-08-22,-0.3764
2013-08-23,0.2519
2013-08-24,
2013-08-25,
2013-08-26,0.8794
2013-08-27,-0.7472
2013-08-28,0.1882
2013-08-29,-0.0626
2013-08-30,-0.7519
2013-08-31,
2013-09-01,
2013-09-02,
2013-09-03,1.0101
2013-09-04,1.3125
2013-09-05,1.1104
2013-09-06,-0.3051
2013-09-07,
2013-09-08,
2013-09-09,0.7956
2013-09-10,1.5179
2013-09-11,2.8708
2013-09-12,0.5814
2013-09-13,-1.0983
2013-09-14,
2013-09-15,
2013-09-16,0.3507
2013-09-17,0.2912
2013-09-18,0.2323
2013-09-19,-0.7532
2013-09-20,-1.2843
2013-09-21,
2013-09-22,
2013-09-23,-0.7096
2013-09-24,3.2162
2013-09-25,-1.3849
2013-09-26,-2.4576000000000002
2013-09-27,-0.6599
2013-09-28,
2013-09-29,
2013-09-30,-0.785
2013-10-01,-0.8521
2013-10-02,1.2277
2013-10-03,-1.3341
2013-10-04,0.0
2013-10-05,
2013-10-06,
2013-10-07,0.0
2013-10-08,-0.2459
2013-10-09,0.6778
2013-10-10,1.8972
2013-10-11,1.6216
2013-10-12,
2013-10-13,
2013-10-14,0.8274
2013-10-15,0.5862
2013-10-16,0.5828
2013-10-17,0.0
2013-10-18,0.3476
2013-10-19,
2013-10-20,
2013-10-21,-0.1155
2013-10-22,0.8671
2013-10-23,0.2292
2013-10-24,1.315
2013-10-25,-0.9029
2013-10-26,
2013-10-27,
2013-10-28,0.6834
2013-10-29,1.0747
2013-10-30,-0.6715
2013-10-31,1.0141
2013-11-01,1.0039
2013-11-02,
2013-11-03,
2013-11-04,0.1104
2013-11-05,-0.1655
2013-11-06,-1.8232
2013-11-07,-0.9004
2013-11-08,1.8739
2013-11-09,
2013-11-10,
2013-11-11,-0.8919
2013-11-12,-1.631
2013-11-13,0.2287
2013-11-14,-0.1141
2013-11-15,2.9126
2013-11-16,
2013-11-17,
2013-11-18,-1.8313000000000001
2013-11-19,0.2261
2013-11-20,0.6768
2013-11-21,-0.2801
2013-11-22,-0.5056
2013-11-23,
2013-11-24,
2013-11-25,-0.5647
2013-11-26,0.8518
2013-11-27,0.732
2013-11-28,
2013-11-29,0.4472
2013-11-30,
2013-12-01,
2013-12-02,-1.7250999999999999
2013-12-03,-0.7361
2013-12-04,-0.1711
2013-12-05,-0.7429
2013-12-06,-0.0576
2013-12-07,
2013-12-08,
2013-12-09,0.0
2013-12-10,0.8065
2013-12-11,-0.1714
2013-12-12,-0.6869
2013-12-13,0.8646
2013-12-14,
2013-12-15,
2013-12-16,0.7429
2013-12-17,-2.3823
2013-12-18,0.8135
2013-12-19,-0.8069
2013-12-20,2.1499
2013-12-21,
2013-12-22,
2013-12-23,1.1377
2013-12-24,0.225
2013-12-25,
2013-12-26,-0.6734
2013-12-27,-0.113
2013-12-28,
2013-12-29,
2013-12-30,0.3959
2013-12-31,0.4507
2014-01-01,
2014-01-02,0.3365
2014-01-03,-0.8944
2014-01-04,
2014-01-05,
2014-01-06,-1.0152
2014-01-07,-1.3105
2014-01-08,-0.4619
2014-01-09,0.348
2014-01-10,0.2312
2014-01-11,
2014-01-12,
2014-01-13,-1.4994
2014-01-14,0.9368
2014-01-15,-0.522
2014-01-16,-0.6414
2014-01-17,-0.1174
2014-01-18,
2014-01-19,
2014-01-20,
2014-01-21,-1.5276
2014-01-22,-0.537
2014-01-23,-0.7199
2014-01-24,-2.4169
2014-01-25,
2014-01-26,
2014-01-27,0.0
2014-01-28,-0.8669
2014-01-29,-0.5621
2014-01-30,-0.7538
2014-01-31,-1.2025000000000001
2014-02-01,
2014-02-02,
2014-02-03,-3.4593
2014-02-04,0.0
2014-02-05,1.5926
2014-02-06,2.2861000000000002
2014-02-07,8.556799999999999
2014-02-08,
2014-02-09,
2014-02-10,0.8824
2014-02-11,2.0408
2014-02-12,-1.1429
2014-02-13,-0.2312
2014-02-14,-0.2317
2014-02-15,
2014-02-16,
2014-02-17,
2014-02-18,0.4065
2014-02-19,-0.2313
2014-02-20,-0.8116
2014-02-21,0.6429
2014-02-22,
2014-02-23,
2014-02-24,1.626
2014-02-25,0.6857
2014-02-26,-0.1703
2014-02-27,0.398
2014-02-28,1.3024
2014-03-01,
2014-03-02,
2014-03-03,-1.062
2014-03-04,1.0734
2014-03-05,0.0
2014-03-06,-0.1677
2014-03-07,-1.7917
2014-03-08,
2014-03-09,
2014-03-10,-0.3421
2014-03-11,-0.6293
2014-03-12,0.7484
2014-03-13,-2.4571
2014-03-14,-0.1172
2014-03-15,
2014-03-16,
2014-03-17,0.176
2014-03-18,1.5808
2014-03-19,-0.634
2014-03-20,-0.7541
2014-03-21,-0.5845
2014-03-22,
2014-03-23,
2014-03-24,-0.2939
2014-03-25,-0.7075
2014-03-26,-1.9002
2014-03-27,-0.1211
2014-03-28,0.2424
2014-03-29,
2014-03-30,
2014-03-31,0.9674
2014-04-01,1.3772
2014-04-02,0.1181
2014-04-03,-1.5339
2014-04-04,0.1198
2014-04-05,
2014-04-06,
2014-04-07,0.1197
2014-04-08,-0.4782
2014-04-09,1.021
2014-04-10,-2.0214
2014-04-11,-1.335
2014-04-12,
2014-04-13,
2014-04-14,0.861
2014-04-15,-0.6707
2014-04-16,0.7366
2014-04-17,0.3656
2014-04-18,
2014-04-19,
2014-04-20,
2014-04-21,1.1536
2014-04-22,0.6002
2014-04-23,0.9547
2014-04-24,0.1773
2014-04-25,-1.0029
2014-04-26,
2014-04-27,
2014-04-28,0.0
2014-04-29,0.1788
2014-04-30,-1.6061999999999999
2014-05-01,1.3301
2014-05-02,0.4177
2014-05-03,
2014-05-04,
2014-05-05,0.0594
2014-05-06,-1.1283
2014-05-07,-0.6607
2014-05-08,0.1814
2014-05-09,5.0091
2014-05-10,
2014-05-11,
2014-05-12,0.2874
2014-05-13,-0.8023
2014-05-14,-2.8885
2014-05-15,-1.4872
2014-05-16,0.8454
2014-05-17,
2014-05-18,
2014-05-19,-0.1796
2014-05-20,-1.4397
2014-05-21,0.426
2014-05-22,1.6364
2014-05-23,-0.1789
2014-05-24,
2014-05-25,
2014-05-26,
2014-05-27,0.7168
