date,HPE UN Equity
2015-10-21,-2.3118
2015-10-22,2.2451
2015-10-23,0.8902
2015-10-24,
2015-10-25,
2015-10-26,-3.4118
2015-10-27,-4.2022
2015-10-28,3.4965
2015-10-29,-2.027
2015-10-30,-7.7116
2015-10-31,
2015-11-01,
2015-11-02,-1.5625
2015-11-03,-0.8972
2015-11-04,-4.8747
2015-11-05,-2.7818
2015-11-06,8.4337
2015-11-07,
2015-11-08,
2015-11-09,-1.3889
2015-11-10,1.4788999999999999
2015-11-11,-2.0819
2015-11-12,-2.9057
2015-11-13,-2.2628
2015-11-14,
2015-11-15,
2015-11-16,-0.0747
2015-11-17,-1.1958
2015-11-18,3.177
2015-11-19,1.0264
2015-11-20,3.1205
2015-11-21,
2015-11-22,
2015-11-23,-2.5334
2015-11-24,-1.1552
2015-11-25,3.141
2015-11-26,
2015-11-27,1.6289
2015-11-28,
2015-11-29,
2015-11-30,3.5540000000000003
2015-12-01,5.0471
2015-12-02,-4.2281
2015-12-03,-2.2074
2015-12-04,4.104
2015-12-05,
2015-12-06,
2015-12-07,1.8725
2015-12-08,-1.8123
2015-12-09,-2.1094
2015-12-10,-0.8754
2015-12-11,-3.6685
2015-12-12,
2015-12-13,
2015-12-14,1.8336000000000001
2015-12-15,0.831
2015-12-16,0.9615
2015-12-17,-2.6531000000000002
2015-12-18,-1.0482
2015-12-19,
2015-12-20,
2015-12-21,-0.9887
2015-12-22,0.2853
2015-12-23,6.0455
2015-12-24,0.7378
2015-12-25,
2015-12-26,
2015-12-27,
2015-12-28,1.3981
2015-12-29,-0.197
2015-12-30,0.5263
2015-12-31,-0.5236
2016-01-01,
2016-01-02,
2016-01-03,
2016-01-04,-0.4605
2016-01-05,-0.6609
2016-01-06,-1.5303
2016-01-07,-7.3649000000000004
2016-01-08,-1.24
2016-01-09,
2016-01-10,
2016-01-11,-2.0679
2016-01-12,0.0
2016-01-13,-3.8462
2016-01-14,1.9607999999999999
2016-01-15,-3.5385
2016-01-16,
2016-01-17,
2016-01-18,
2016-01-19,-1.7544
2016-01-20,-2.1104
2016-01-21,2.9022
2016-01-22,7.5745000000000005
2016-01-23,
2016-01-24,
2016-01-25,-0.0749
2016-01-26,1.9489999999999998
2016-01-27,-1.5441
2016-01-28,-1.4937
2016-01-29,4.3215
2016-01-30,
2016-01-31,
2016-02-01,0.218
2016-02-02,-2.4656000000000002
2016-02-03,-0.5948
2016-02-04,3.5901
2016-02-05,-4.6931
2016-02-06,
2016-02-07,
2016-02-08,-5.2273
2016-02-09,1.6787
2016-02-10,1.1006
2016-02-11,-3.577
2016-02-12,-0.8871
2016-02-13,
2016-02-14,
2016-02-15,
2016-02-16,0.3255
2016-02-17,5.5961
2016-02-18,3.9171
2016-02-19,1.0347
2016-02-20,
2016-02-21,
2016-02-22,0.951
2016-02-23,-5.1449
2016-02-24,3.3613
2016-02-25,1.1086
2016-02-26,-1.7544
2016-02-27,
2016-02-28,
2016-02-29,-1.2649
2016-03-01,0.0754
2016-03-02,4.6687
2016-03-03,-2.1583
2016-03-04,13.5294
2016-03-05,
2016-03-06,
2016-03-07,3.7889
2016-03-08,-4.6337
2016-03-09,1.7072
2016-03-10,2.6469
2016-03-11,2.7044
2016-03-12,
2016-03-13,
2016-03-14,0.4899
2016-03-15,2.1938
2016-03-16,2.5045
2016-03-17,-0.1745
2016-03-18,0.9907
2016-03-19,
2016-03-20,
2016-03-21,2.1927
2016-03-22,-1.1293
2016-03-23,-0.2856
